date	time	lat	lon	depth	ML	nstn	dmin	gap	trms	ERH	ERZ	fixed	nph	quality
2019-06-04	09:46:18.99	22.8423	121.6117	14.68	5.93	99	23.7	117	0.33	0.2	0.3	F	245	C
2019-06-29	16:20:06.10	25.0715	122.1832	152.05	5.06	99	20.1	77	0.34	0.4	0.3	F	333	B
2019-06-29	19:44:12.66	22.3208	122.3563	46.56	5.84	99	86.6	238	0.36	0.3	0.5	F	315	D
2019-07-11	21:21:56.28	23.8668	122.9665	21.52	5.25	99	66.8	225	0.38	0.6	0.6	F	249	D
2019-07-19	10:13:50.59	21.777	122.0628	28.6	5.16	99	59.3	259	0.45	0.4	0.4	F	279	D
2019-07-27	01:24:43.52	20.758	121.8568	75.39	5.8	99	140.6	290	0.48	0.6	0.9	F	187	D
2019-08-06	01:19:48.74	23.6725	121.5303	4.57	5.1	99	4.3	99	0.34	0.1	0.1	F	263	C
2019-08-07	21:28:03.56	24.4363	121.9097	24.15	6.24	99	13.4	65	0.26	0.1	0.1	F	301	B
2019-09-09	05:07:48.43	21.0908	121.5323	97.95	5.5	99	101	283	0.42	0.4	0.3	F	263	D
2019-10-07	17:17:06.62	24.657	122.3588	14.68	5.08	99	35.2	123	0.43	0.2	0.3	F	234	C
2019-10-17	11:44:33.44	24.0275	122.5007	29.62	5.64	99	21.4	151	0.38	0.2	0.1	F	298	C
2019-11-11	16:54:57.78	21.0527	121.6617	114.64	5.02	99	105.4	224	0.36	0.4	0.3	F	298	D
2019-12-06	19:32:33.19	24.558	122.6792	100.41	5.06	99	34.4	93	0.27	0.2	0.2	F	316	B
2019-12-16	11:25:57.69	24.5418	121.7618	49.73	5.25	99	9.1	43	0.26	0.1	0.1	F	276	B
2020-02-03	17:02:56.84	23.5662	121.5282	33.32	5.19	99	13.4	107	0.31	0.1	0.1	F	262	C
2020-02-13	17:49:19.43	24.293	122.1232	38.62	5.19	99	11.1	76	0.47	0.2	0.2	F	279	B
2020-02-15	11:00:06.50	23.8563	121.5107	8.32	5.73	99	8.6	68	0.34	0.1	0.1	F	263	C
2020-02-15	11:05:00.48	23.8482	121.5212	9.05	5.31	99	7.9	77	0.31	0.1	0.1	F	305	B
2020-02-15	19:20:13.85	23.8468	121.5237	8.7	5.1	99	7.7	77	0.3	0.1	0.1	F	281	B
2020-02-25	11:14:02.11	24.3915	121.4062	5.13	5.3	99	5.7	34	0.39	0.1	0.2	F	277	C
2020-04-12	11:36:41.18	24.0567	122.2023	45.44	5.29	99	13.7	137	0.35	0.3	0.3	F	298	C
2020-05-03	03:24:40.90	23.2423	121.568	40.25	5.97	99	14.5	99	0.32	0.2	0.1	F	313	C
2020-05-24	22:31:30.49	24.359	121.9538	23.78	5.24	99	18.9	66	0.5	0.1	0.1	F	262	C
