date(float),date(yyyy-mm-dd),dN,dE,dU,sN,sE,sU
2010.29589,2010-04-18,-107.1870,109.3920,10.6660,0.8580,0.8640,3.5280
2010.29863,2010-04-19,-106.4460,110.1580,14.8470,0.8410,0.8420,3.5220
2010.30137,2010-04-20,-104.2730,109.2230,7.6410,0.8720,0.8790,3.6900
2010.30411,2010-04-21,-105.4100,114.3410,-6.8610,0.9050,0.8660,3.8320
2010.30685,2010-04-22,-108.9030,112.0420,11.9300,0.8660,0.8780,3.6750
2010.30959,2010-04-23,-107.8470,113.3320,10.0810,0.8440,0.8190,3.4260
2010.31233,2010-04-24,-108.2750,111.6830,0.4720,0.8320,0.8080,3.3810
2010.31507,2010-04-25,-105.9480,110.2790,2.3060,0.8270,0.8060,3.3400
2010.31781,2010-04-26,-106.4460,108.2530,14.4760,0.9590,0.9180,3.8690
2010.32055,2010-04-27,-109.5640,111.9840,9.2550,0.8510,0.8110,3.4420
2010.32329,2010-04-28,-110.0270,108.1080,16.1910,0.9020,0.8530,3.7790
2010.32603,2010-04-29,-107.6980,108.7340,0.2250,0.9220,0.8420,3.8580
2010.32877,2010-04-30,-109.4530,109.0760,-1.0630,0.8510,0.8350,3.5150
2010.33151,2010-05-01,-108.7500,109.5460,6.7290,0.8370,0.8130,3.4210
2010.33425,2010-05-02,-105.9600,109.0610,7.2480,0.8510,0.8390,3.5450
2010.33699,2010-05-03,-107.1720,109.7000,6.3770,0.9140,0.8610,3.7210
2010.33973,2010-05-04,-110.5280,111.5580,10.5050,0.9230,0.8730,3.9130
2010.34247,2010-05-05,-108.7600,111.5930,11.4360,0.9060,0.8520,3.6930
2010.34521,2010-05-06,-108.7960,110.7080,16.0100,0.9030,0.8820,3.6950
2010.34795,2010-05-07,-107.3880,108.3920,4.3950,0.9800,0.9690,3.9030
2010.35068,2010-05-08,-107.4990,107.6790,15.5470,0.9620,0.9570,3.8520
2010.35342,2010-05-09,-105.4750,110.7020,12.8840,0.9580,0.9540,3.8540
2010.35616,2010-05-10,-107.7230,111.7420,0.7420,0.9500,0.9530,3.8190
2010.35890,2010-05-11,-109.2530,113.6190,11.6100,1.0520,1.0400,4.1900
2010.36164,2010-05-12,-107.2790,111.1910,9.6630,1.0400,1.0590,4.1930
2010.36438,2010-05-13,-107.5630,111.6320,10.2450,0.9490,0.9670,3.7830
2010.36712,2010-05-14,-111.3080,110.3260,7.4330,1.0150,1.0280,3.9540
2010.36986,2010-05-15,-108.4090,112.3130,3.7160,0.9320,0.9450,3.7500
2010.37260,2010-05-16,-106.9360,109.1900,5.1970,0.8930,0.9070,3.5800
2010.37534,2010-05-17,-109.3620,110.3990,12.6090,0.8950,0.9060,3.6330
2010.37808,2010-05-18,-109.6510,110.4150,-0.4010,0.9180,0.9420,3.6340
2010.38082,2010-05-19,-109.5070,112.3160,6.4040,0.9360,0.9450,3.8120
2010.38356,2010-05-20,-109.9620,108.3060,-0.5350,0.9490,0.9600,3.9160
2010.38630,2010-05-21,-107.7320,112.4380,9.7560,0.9180,0.9560,3.7540
2010.38904,2010-05-22,-110.9660,113.3380,21.3360,0.8960,0.9370,3.6780
2010.39178,2010-05-23,-108.4910,110.1820,4.6260,0.9370,0.9710,3.8850
2010.39452,2010-05-24,-111.2380,112.1430,5.5980,0.9180,0.9540,3.7580
2010.39726,2010-05-25,-107.9490,112.7270,11.5070,0.8940,0.9290,3.6290
2010.40000,2010-05-26,-113.4280,112.0400,7.6360,0.9170,0.9370,3.7300
2010.40274,2010-05-27,-109.5920,109.8450,7.3550,0.8870,0.8980,3.5490
2010.40548,2010-05-28,-111.7860,110.4990,0.7280,0.9000,0.9330,3.6650
2010.40822,2010-05-29,-108.0890,109.2060,-3.2680,0.9010,0.9130,3.5890
2010.41096,2010-05-30,-110.5400,108.4350,-4.5670,0.9100,0.9280,3.6620
2010.41370,2010-05-31,-111.0330,108.1510,9.3260,1.0390,1.0690,4.1700
2010.41644,2010-06-01,-110.2220,108.8820,6.9540,0.8890,0.8970,3.5290
2010.41918,2010-06-02,-110.8020,109.3860,4.6170,0.8730,0.8970,3.4710
2010.42192,2010-06-03,-111.4350,109.5720,1.0830,0.8880,0.9170,3.5530
2010.42466,2010-06-04,-110.6360,109.9390,2.3670,0.8880,0.9040,3.5220
2010.42740,2010-06-05,-112.3410,111.0030,6.1940,0.8850,0.9000,3.4960
2010.43014,2010-06-06,-108.8750,112.6170,5.9490,0.8970,0.9080,3.5560
2010.43288,2010-06-07,-110.1910,111.5200,2.0620,0.8910,0.9140,3.5660
2010.43562,2010-06-08,-109.3740,110.7190,3.3710,0.8730,0.9020,3.4980
2010.43836,2010-06-09,-110.9040,111.0590,17.6310,0.8830,0.9150,3.5030
2010.44110,2010-06-10,-112.4180,110.2300,1.4680,0.8880,0.9000,3.4980
2010.44384,2010-06-11,-111.8530,112.5430,3.3330,0.8960,0.9160,3.6180
2010.44658,2010-06-12,-110.9150,110.9510,5.3030,0.8930,0.9090,3.5610
2010.44932,2010-06-13,-112.4450,112.0470,-0.7000,0.8970,0.9430,3.6700
2010.45205,2010-06-14,-109.7710,111.6450,2.8370,0.8630,0.8750,3.5480
2010.45479,2010-06-15,-108.6290,110.6330,11.9800,0.8420,0.8250,3.4350
2010.45753,2010-06-16,-111.1510,116.1330,9.0130,0.8430,0.8410,3.4730
2010.46027,2010-06-17,-112.3510,115.8720,7.7200,0.8610,0.8380,3.5350
2010.46301,2010-06-18,-109.6920,114.1530,12.2910,0.8520,0.8240,3.4260
2010.46575,2010-06-19,-114.7690,115.4090,7.0200,0.8460,0.8260,3.4600
2010.46849,2010-06-20,-110.1220,113.1260,15.1350,0.8310,0.8260,3.3800
2010.47123,2010-06-21,-110.9420,112.7340,16.4070,0.8680,0.8700,3.6570
2010.47397,2010-06-22,-111.7110,114.0470,20.4290,0.8740,0.8930,3.6490
2010.47671,2010-06-23,-109.7600,111.6420,11.3000,0.8330,0.8180,3.3800
2010.47945,2010-06-24,-108.9520,112.4300,11.7110,0.8560,0.8260,3.3730
2010.48219,2010-06-25,-110.8510,113.2940,12.6190,0.8710,0.8300,3.4130
2010.48493,2010-06-26,-110.8760,111.8830,14.9860,0.9280,0.9050,3.8330
2010.48767,2010-06-27,-112.4580,112.3170,5.8260,0.8940,0.8460,3.6690
2010.49041,2010-06-28,-110.7360,117.1000,13.0660,0.9230,0.9300,3.8180
2010.49315,2010-06-29,-110.8700,110.8770,16.6140,0.8890,0.8420,3.6150
2010.49589,2010-06-30,-112.2020,113.7420,15.7840,0.8930,0.8640,3.6870
2010.49863,2010-07-01,-110.9160,114.1080,24.0190,0.9030,0.8550,3.7670
2010.50137,2010-07-02,-112.9680,114.3270,13.9150,0.8520,0.8620,3.5910
2010.50411,2010-07-03,-113.7000,111.4530,15.1100,0.8680,0.8640,3.6770
2010.50685,2010-07-04,-111.0800,113.1980,10.4760,0.8710,0.8620,3.6570
2010.50959,2010-07-05,-109.6000,115.1700,17.0690,0.8260,0.8230,3.3830
2010.51233,2010-07-06,-107.9530,112.2500,6.4740,0.8300,0.8150,3.3560
2010.51507,2010-07-07,-108.3020,114.3240,20.4770,0.8360,0.8330,3.4900
2010.51781,2010-07-08,-111.1110,114.6100,21.6330,0.9490,0.9810,3.8940
2010.52055,2010-07-09,-110.1180,111.8920,6.6910,0.8350,0.8560,3.5420
2010.52329,2010-07-10,-111.4840,115.7660,19.6160,0.8320,0.8280,3.4150
2010.52603,2010-07-11,-111.4600,119.7240,6.9190,0.8670,0.8840,3.6830
2010.52877,2010-07-12,-112.8130,116.2060,11.3240,0.8520,0.8500,3.5130
2010.53151,2010-07-13,-112.2020,116.9010,3.8900,0.8430,0.8420,3.5100
2010.53425,2010-07-14,-110.3250,112.8520,-0.7210,0.8490,0.8630,3.5190
2010.53699,2010-07-15,-113.2990,113.2040,-0.1510,0.8430,0.8720,3.5910
2010.53973,2010-07-16,-111.8840,113.5150,7.0410,0.8240,0.8310,3.3900
2010.54247,2010-07-17,-113.5550,113.9720,-2.0680,0.8370,0.8250,3.4180
2010.54521,2010-07-18,-112.3240,113.6350,-4.4370,0.8370,0.8540,3.5300
2010.54795,2010-07-19,-109.9650,111.8530,17.1500,0.8540,0.8790,3.6700
2010.55068,2010-07-20,-114.6650,117.5570,16.0370,0.8460,0.8470,3.5490
2010.55342,2010-07-21,-113.6970,115.3000,8.0530,0.8410,0.8480,3.4740
2010.55616,2010-07-22,-111.7880,113.7860,2.4190,0.8360,0.8330,3.4310
2010.55890,2010-07-23,-113.3350,117.4860,4.9230,0.8840,0.8740,3.5920
2010.56164,2010-07-24,-112.6540,111.1580,3.4870,0.8550,0.8600,3.5800
2010.56438,2010-07-25,-113.7240,113.2850,0.3330,0.8340,0.8150,3.3800
2010.56712,2010-07-26,-112.1640,114.9930,3.4350,0.8270,0.8250,3.4120
2010.56986,2010-07-27,-112.8760,112.0820,7.9760,0.8250,0.8150,3.3320
2010.57260,2010-07-28,-114.1390,113.8000,7.8900,0.8260,0.8130,3.3270
2010.57534,2010-07-29,-114.4480,114.0790,3.6690,0.8440,0.8450,3.4300
2010.57808,2010-07-30,-112.7570,113.6270,11.6210,0.8690,0.8490,3.5020
2010.58082,2010-07-31,-114.1990,113.1260,4.2860,0.8460,0.8380,3.4800
2010.58356,2010-08-01,-112.9530,113.4820,8.4960,0.8490,0.8440,3.5080
2010.58630,2010-08-02,-112.1750,113.0840,-1.0330,0.8400,0.8170,3.4210
2010.58904,2010-08-03,-112.1300,114.4920,13.0480,0.8440,0.8260,3.4850
2010.59178,2010-08-04,-113.1980,114.3860,6.4230,0.8450,0.8170,3.4340
2010.59452,2010-08-05,-112.2230,115.1060,4.5800,0.8910,0.8720,3.7560
2010.59726,2010-08-06,-112.6330,112.7220,16.4220,0.8470,0.8330,3.4700
2010.60000,2010-08-07,-111.4040,111.4540,-10.4090,1.0180,1.0250,4.4370
2010.60274,2010-08-08,-111.1980,109.4880,15.0790,0.9540,0.9230,3.9790
2010.60548,2010-08-09,-111.2510,108.9650,6.9150,0.8580,0.8600,3.5600
2010.60822,2010-08-10,-111.8470,112.9480,9.5460,0.8630,0.8770,3.6140
2010.61096,2010-08-11,-112.1620,113.1000,12.0360,0.8690,0.8630,3.6190
2010.61370,2010-08-12,-112.6310,113.5490,6.9430,0.8670,0.8670,3.6150
2010.61644,2010-08-13,-110.0480,114.2500,5.2660,0.8980,0.9010,3.7480
2010.61918,2010-08-14,-113.3260,113.5110,-0.9040,0.8710,0.8810,3.7130
2010.62192,2010-08-15,-113.0160,115.3530,16.7260,0.8550,0.8660,3.5430
2010.62466,2010-08-16,-111.3920,115.2950,4.4580,0.8340,0.8330,3.4560
2010.62740,2010-08-17,-111.0620,114.0730,1.9540,0.8280,0.8390,3.4340
2010.63014,2010-08-18,-115.6070,115.9070,7.7890,0.8520,0.8290,3.4780
2010.63288,2010-08-19,-113.2300,111.9000,2.9530,0.8830,0.8520,3.5690
2010.63562,2010-08-20,-113.4370,114.2090,17.0220,0.8500,0.8410,3.5150
2010.63836,2010-08-21,-111.6000,112.4050,14.8080,0.8920,0.8810,3.6480
2010.64110,2010-08-22,-114.4720,111.8120,6.6700,0.8860,0.8600,3.6190
2010.64384,2010-08-23,-112.7420,113.2060,5.4670,0.8200,0.8320,3.4070
2010.64658,2010-08-24,-110.7430,113.1260,11.9670,0.8670,0.8710,3.6860
2010.64932,2010-08-25,-110.9200,114.8380,9.7770,0.8430,0.8380,3.4480
2010.65205,2010-08-26,-108.9430,113.7150,6.6100,0.8390,0.8380,3.5130
2010.65479,2010-08-27,-114.1860,113.8350,12.5280,0.8680,0.8480,3.6710
2010.65753,2010-08-28,-111.5910,114.6620,-4.3410,0.8180,0.8420,3.4430
2010.66027,2010-08-29,-113.9030,112.4660,7.1480,0.8230,0.8260,3.4200
2010.66301,2010-08-30,-112.0460,114.2160,3.4280,0.8240,0.8140,3.3570
2010.66575,2010-08-31,-114.8600,116.8570,10.0650,0.8370,0.8340,3.5010
2010.66849,2010-09-01,-113.6170,116.3010,15.0390,0.8080,0.8110,3.3170
2010.67123,2010-09-02,-111.5290,114.1100,4.5590,0.8470,0.8580,3.6020
2010.67397,2010-09-03,-112.4520,118.0110,9.8270,0.8190,0.8320,3.4240
2010.67671,2010-09-04,-108.9870,115.6790,6.4150,0.8150,0.8160,3.3840
2010.67945,2010-09-05,-111.3720,114.7220,10.1490,0.8200,0.8080,3.3550
2010.68219,2010-09-06,-110.3440,115.3110,1.4490,0.8120,0.8150,3.3610
2010.68493,2010-09-07,-110.4070,112.9500,7.2150,0.8750,0.8750,3.7010
2010.68767,2010-09-08,-109.4360,114.4010,4.5050,0.8300,0.8280,3.4630
2010.69041,2010-09-09,-109.6240,112.5450,18.0080,0.8320,0.8200,3.4490
2010.69315,2010-09-10,-109.3600,115.6580,6.4150,0.8200,0.8250,3.4560
2010.69589,2010-09-11,-111.0300,113.9420,8.0190,0.8300,0.8610,3.4650
2010.69863,2010-09-12,-111.2020,117.0870,7.8290,0.8070,0.8230,3.4010
2010.70137,2010-09-13,-110.0830,114.6890,7.7400,0.8130,0.8320,3.4400
2010.70411,2010-09-14,-112.2730,115.4930,2.8000,0.8200,0.8180,3.4170
2010.70685,2010-09-15,-109.7220,115.1880,11.3630,0.8180,0.8280,3.3750
2010.70959,2010-09-16,-108.6550,114.9470,5.1020,0.8230,0.8380,3.4700
2010.71233,2010-09-17,-109.7340,118.2170,11.2430,0.8960,0.9040,3.8770
2010.71507,2010-09-18,-109.0300,115.7660,4.8370,0.9100,0.9160,3.9890
2010.71781,2010-09-19,-113.1980,114.9670,7.2480,0.9000,0.8970,3.7860
2010.72055,2010-09-20,-112.6120,115.4600,3.0230,0.8230,0.8350,3.4660
2010.72329,2010-09-21,-108.4170,113.1560,8.7220,0.8190,0.8270,3.4350
2010.72603,2010-09-22,-110.5270,115.8540,10.4900,0.8210,0.8270,3.4370
2010.72877,2010-09-23,-111.3100,117.5750,7.1140,0.8370,0.8620,3.5420
2010.73151,2010-09-24,-113.3560,116.6910,2.0190,0.8080,0.7930,3.2950
2010.73425,2010-09-25,-113.7510,119.0470,7.2400,0.8220,0.8090,3.3830
2010.73699,2010-09-26,-112.7160,116.7180,5.1580,0.8310,0.8120,3.4020
2010.73973,2010-09-27,-116.3970,116.9090,14.5150,0.8300,0.8440,3.4170
2010.74247,2010-09-28,-112.6420,119.6870,-0.9880,0.8300,0.8550,3.4690
2010.74521,2010-09-29,-112.5110,117.3760,2.2720,0.8240,0.8280,3.4700
2010.74795,2010-09-30,-111.8070,116.1770,4.0340,0.8440,0.8340,3.5320
2010.75068,2010-10-01,-112.1310,115.2690,10.2100,0.8650,0.8500,3.5570
2010.75342,2010-10-02,-112.7820,120.4000,11.9310,0.8400,0.8390,3.5650
2010.75616,2010-10-03,-110.9380,118.5180,3.5770,0.8860,0.8820,3.7450
2010.75890,2010-10-04,-110.2920,118.5990,6.3450,0.8730,0.8600,3.6090
2010.76164,2010-10-05,-111.1890,117.7980,6.1190,0.8190,0.8110,3.3770
2010.76438,2010-10-06,-111.9920,116.2570,2.9170,0.8290,0.8150,3.3970
2010.76712,2010-10-07,-113.9200,118.0830,5.7930,0.8310,0.8390,3.4820
2010.76986,2010-10-08,-112.2610,116.1830,6.8760,0.8120,0.8240,3.3860
2010.77260,2010-10-09,-111.5740,117.8230,5.1340,0.8090,0.8020,3.3230
2010.77534,2010-10-10,-112.6710,118.3670,7.6400,0.8200,0.8040,3.3450
2010.77808,2010-10-11,-108.4500,115.1740,0.6740,0.8440,0.8730,3.6620
2010.78082,2010-10-12,-110.3340,119.8860,10.1410,0.8270,0.8510,3.6020
2010.78356,2010-10-13,-114.4110,120.3380,1.4780,0.8420,0.8530,3.5700
2010.78630,2010-10-14,-110.4740,117.8400,1.8800,0.8730,0.8810,3.7700
2010.78904,2010-10-15,-112.8080,117.4960,-1.8080,0.8260,0.8260,3.5370
2010.79178,2010-10-16,-111.0710,119.4780,6.8970,0.8420,0.8750,3.6130
2010.79452,2010-10-17,-109.6730,116.7550,5.5780,0.8300,0.8780,3.5970
2010.79726,2010-10-18,-115.6130,119.4310,5.0800,0.8820,0.8890,3.7610
2010.80000,2010-10-19,-113.1260,117.6570,6.9540,0.8500,0.8600,3.6590
2010.80274,2010-10-20,-111.3320,119.1180,3.2950,0.8220,0.8330,3.5000
2010.80548,2010-10-21,-113.9490,121.7330,0.3790,0.8480,0.8790,3.6350
2010.80822,2010-10-22,-109.9530,116.9470,-4.5380,0.8480,0.8980,3.7490
2010.81096,2010-10-23,-111.4830,117.3260,1.6060,0.8110,0.8570,3.5290
2010.81370,2010-10-24,-115.2520,119.1820,5.6690,0.8080,0.8620,3.4710
2010.81644,2010-10-25,-112.5030,118.8810,-5.2540,0.8740,0.9090,3.8310
2010.84110,2010-11-03,-116.1710,118.1470,-3.9630,0.9570,1.0020,3.9850
2010.84384,2010-11-04,-116.3560,120.2050,2.7650,0.7940,0.8120,3.3130
2010.84658,2010-11-05,-115.4200,120.8810,-0.5030,0.7970,0.8150,3.3270
2010.84932,2010-11-06,-115.0400,120.2610,8.8770,0.8000,0.8330,3.4110
2010.85205,2010-11-07,-115.0100,119.4920,-3.4720,0.7920,0.8090,3.2960
2010.85479,2010-11-08,-115.5270,119.4710,1.2420,0.8090,0.8350,3.4260
2010.85753,2010-11-09,-113.9550,119.1780,4.2970,0.7880,0.8100,3.2880
2010.86027,2010-11-10,-113.2130,118.1300,2.1120,0.7890,0.8120,3.2960
2010.86301,2010-11-11,-110.8210,120.3350,-0.4580,0.8130,0.8310,3.4340
2010.86575,2010-11-12,-113.3940,120.1930,-4.1640,0.7950,0.8210,3.3540
2010.86849,2010-11-13,-115.7110,120.2080,2.9080,0.7940,0.8240,3.3500
2010.87123,2010-11-14,-112.9470,118.4410,6.1400,0.7870,0.8190,3.2920
2010.87397,2010-11-15,-115.7800,119.6440,-4.3700,0.7860,0.8100,3.2620
2010.87671,2010-11-16,-114.3700,118.2100,-1.0480,0.7950,0.8280,3.3580
2010.87945,2010-11-17,-114.9710,120.9310,2.4010,0.8040,0.8300,3.3810
2010.88219,2010-11-18,-114.9220,119.4290,6.4630,0.7830,0.8190,3.2940
2010.88493,2010-11-19,-111.7980,118.7170,10.2910,0.8150,0.8840,3.4940
2010.88767,2010-11-20,-112.7080,119.7670,9.9100,0.7910,0.8280,3.3410
2010.89041,2010-11-21,-111.2700,118.7090,9.5400,0.8420,0.8760,3.5400
2010.89315,2010-11-22,-115.3330,121.4960,12.0590,0.8240,0.8700,3.4420
2010.89589,2010-11-23,-115.5450,119.8440,5.4510,0.7770,0.8110,3.2430
2010.89863,2010-11-24,-113.1930,119.7800,2.5580,0.7870,0.8180,3.2860
2010.90137,2010-11-25,-112.8410,119.9430,9.5500,0.7780,0.8190,3.2690
2010.90411,2010-11-26,-113.8630,120.4650,8.4180,0.7830,0.8220,3.3020
2010.90685,2010-11-27,-112.2630,119.3430,2.4680,0.7870,0.8260,3.3220
2010.90959,2010-11-28,-111.8950,118.6510,7.9880,0.7870,0.8260,3.3350
2010.91233,2010-11-29,-113.3950,120.7770,8.4760,0.7870,0.8200,3.3060
2010.91507,2010-11-30,-113.2070,120.9280,2.5550,0.7820,0.8260,3.2880
2010.91781,2010-12-01,-114.3320,122.6750,-0.1360,0.7890,0.8270,3.2910
2010.92055,2010-12-02,-116.0360,124.4220,5.8460,0.7970,0.8410,3.3910
2010.92329,2010-12-03,-115.6590,121.7650,11.2030,0.7900,0.8230,3.2840
2010.92603,2010-12-04,-115.3700,120.0860,13.6940,0.7830,0.8290,3.3270
2010.92877,2010-12-05,-113.2480,120.8860,23.5410,0.7890,0.8260,3.3000
2010.93151,2010-12-06,-114.9960,120.0450,11.5250,0.7860,0.8240,3.3000
2010.93425,2010-12-07,-115.9100,121.0030,8.7650,0.7820,0.8150,3.3020
2010.93699,2010-12-08,-118.3980,123.3620,9.5170,0.7800,0.8030,3.2340
2010.93973,2010-12-09,-114.4610,122.2510,16.1070,0.7870,0.8090,3.2810
2010.94247,2010-12-10,-115.7520,120.8980,8.3310,0.7890,0.8410,3.3740
2010.94521,2010-12-11,-113.2430,121.5030,15.9310,0.7920,0.8350,3.3630
2010.94795,2010-12-12,-114.5260,122.4330,11.1510,0.7790,0.8120,3.2850
2010.95068,2010-12-13,-114.3360,122.1980,17.3780,0.8040,0.8310,3.4110
2010.95342,2010-12-14,-110.6780,118.2050,11.8760,0.8060,0.8590,3.4720
2010.95616,2010-12-15,-112.9630,119.6210,10.9900,0.7980,0.8300,3.3610
2010.95890,2010-12-16,-115.0490,121.8740,16.9400,0.8030,0.8490,3.4550
2010.96164,2010-12-17,-114.6320,123.1690,12.1560,0.7970,0.8450,3.3330
2010.96438,2010-12-18,-116.7870,122.2890,3.0720,0.7820,0.8120,3.2580
2010.96712,2010-12-19,-114.3220,120.7970,2.7870,0.7930,0.8220,3.3240
2010.96986,2010-12-20,-114.5040,119.9970,10.0080,0.8260,0.8590,3.4830
2010.97260,2010-12-21,-113.2090,121.5540,14.8970,0.8180,0.8610,3.4610
2010.97534,2010-12-22,-114.4600,119.3800,12.3720,0.7920,0.8370,3.3640
2010.97808,2010-12-23,-113.6810,120.9530,16.4390,0.7800,0.8200,3.2750
2010.98082,2010-12-24,-112.8940,120.8830,5.3840,0.8030,0.8390,3.4020
2010.98356,2010-12-25,-117.4440,117.5400,-0.1540,0.7940,0.8270,3.3390
2010.98630,2010-12-26,-116.1220,121.8240,4.7460,0.7890,0.8290,3.3250
2010.98904,2010-12-27,-113.7300,120.3880,12.0320,0.7820,0.8160,3.2890
2010.99178,2010-12-28,-113.7600,120.6030,9.5100,0.8220,0.8560,3.4980
2010.99452,2010-12-29,-115.0090,120.9480,13.8470,0.8360,0.8540,3.5280
2010.99726,2010-12-30,-112.6020,119.5230,12.4370,0.8120,0.8470,3.4720
2011.00000,2010-12-31,-116.1320,121.2980,7.2950,0.7970,0.8360,3.3630
2011.00274,2011-01-01,-115.4140,121.1120,7.0460,0.7900,0.8240,3.3490
2011.00548,2011-01-02,-115.5250,123.1010,10.3260,0.7840,0.8180,3.3310
2011.00822,2011-01-03,-113.3690,121.1340,7.1330,0.7910,0.8360,3.3190
2011.01096,2011-01-04,-113.7890,122.5910,4.1270,0.7990,0.8510,3.3850
2011.01370,2011-01-05,-114.5360,121.5740,9.3530,0.7880,0.8200,3.3330
2011.01644,2011-01-06,-114.6240,120.6680,5.3980,0.7820,0.8160,3.2970
2011.01918,2011-01-07,-113.7070,121.4120,6.8640,0.7930,0.8240,3.3550
2011.02192,2011-01-08,-113.8660,120.6250,6.8440,0.7780,0.8180,3.3160
2011.02466,2011-01-09,-113.3910,119.5140,8.2880,0.7870,0.8200,3.3330
2011.02740,2011-01-10,-114.4780,124.5730,19.7880,0.7890,0.8350,3.3460
2011.03014,2011-01-11,-115.6370,121.8540,7.7460,0.8160,0.8420,3.4520
2011.03288,2011-01-12,-114.7620,121.8150,13.2350,0.7850,0.8170,3.3120
2011.03562,2011-01-13,-114.9390,121.3930,10.8470,0.7710,0.8050,3.2480
2011.03836,2011-01-14,-115.8750,118.7150,5.7670,0.7820,0.8220,3.3130
2011.04110,2011-01-15,-116.3020,120.8220,11.6790,0.7820,0.8240,3.3040
2011.04384,2011-01-16,-114.3270,121.4880,7.9020,0.7840,0.8190,3.3160
2011.04658,2011-01-17,-115.7790,122.9860,1.9450,0.7770,0.8090,3.2930
2011.04932,2011-01-18,-113.0680,123.0040,-2.6920,0.7930,0.8270,3.3920
2011.05205,2011-01-19,-113.1310,120.3530,4.0500,0.7920,0.8320,3.3580
2011.05479,2011-01-20,-113.8050,120.7430,4.0320,0.8020,0.8250,3.3830
2011.05753,2011-01-21,-116.2250,120.1040,17.2730,0.7890,0.8300,3.3800
2011.06027,2011-01-22,-116.2380,123.9530,13.8700,0.7790,0.8150,3.2910
2011.06301,2011-01-23,-112.4450,118.7710,7.2010,0.7850,0.8190,3.3370
2011.06575,2011-01-24,-114.3100,121.4170,13.3630,0.7760,0.8150,3.2760
2011.06849,2011-01-25,-112.4670,122.0300,8.5140,0.8080,0.8300,3.4880
2011.07123,2011-01-26,-111.7340,118.9740,0.8260,0.8350,0.8630,3.5840
2011.07397,2011-01-27,-117.0300,119.5520,4.3250,0.7810,0.8130,3.3400
2011.07671,2011-01-28,-113.4410,120.7620,5.4360,0.7840,0.8230,3.3530
2011.07945,2011-01-29,-122.5450,120.1770,9.3410,0.7860,0.8210,3.3750
2011.08219,2011-01-30,-119.0780,119.3130,5.7890,0.8110,0.8480,3.4420
2011.08493,2011-01-31,-117.2150,121.2950,10.1410,0.7780,0.8160,3.3290
2011.08767,2011-02-01,-116.4370,126.2400,13.8850,0.7940,0.8290,3.3480
2011.09041,2011-02-02,-116.2880,123.0660,11.2910,0.7940,0.8280,3.4390
2011.09315,2011-02-03,-113.4190,120.9780,10.3990,0.7770,0.8240,3.3350
2011.09589,2011-02-04,-116.1140,120.8250,0.9990,0.7920,0.8250,3.3690
2011.09863,2011-02-05,-113.3950,122.0310,6.9030,0.7840,0.8240,3.3600
2011.10137,2011-02-06,-112.6560,121.8970,6.3870,0.8020,0.8460,3.4420
2011.10411,2011-02-07,-115.1690,124.4130,16.3210,0.8010,0.8530,3.4730
2011.10959,2011-02-09,-114.8480,123.0060,15.4320,0.7900,0.8410,3.3850
2011.11233,2011-02-10,-117.1510,125.6210,18.2940,0.7990,0.8330,3.4240
2011.11507,2011-02-11,-112.7930,120.2310,5.1460,0.7900,0.8380,3.4180
2011.11781,2011-02-12,-115.8580,123.9920,14.5610,0.7890,0.8380,3.3970
2011.12055,2011-02-13,-114.6050,124.9630,11.3260,0.7980,0.8280,3.4090
2011.12329,2011-02-14,-115.5680,123.3250,5.2630,0.7970,0.8280,3.4320
2011.12603,2011-02-15,-113.1350,121.6890,0.2780,0.8270,0.8600,3.5030
2011.12877,2011-02-16,-112.7390,121.4300,9.9000,0.7990,0.8340,3.3760
2011.13151,2011-02-17,-113.3070,119.5830,16.2910,0.8020,0.8350,3.4480
2011.13425,2011-02-18,-112.7410,118.6680,4.9280,0.7950,0.8310,3.4280
2011.13699,2011-02-19,-114.8950,119.3860,6.5140,0.7810,0.8290,3.3350
2011.13973,2011-02-20,-113.9500,123.0880,-3.9110,0.7750,0.8190,3.3000
2011.14247,2011-02-21,-113.4670,123.0560,14.2560,0.8230,0.8710,3.4910
2011.14521,2011-02-22,-115.3880,122.2680,9.8120,0.8020,0.8380,3.4090
2011.14795,2011-02-23,-112.9420,121.7800,10.9400,0.8020,0.8220,3.3920
2011.15068,2011-02-24,-111.2600,118.5690,6.3580,0.7920,0.8380,3.3310
2011.15342,2011-02-25,-113.3580,120.1800,5.9550,0.7780,0.8280,3.3150
2011.15616,2011-02-26,-112.7460,120.3870,9.6230,0.7830,0.8240,3.3170
2011.15890,2011-02-27,-109.4890,119.0840,16.6300,0.7890,0.8340,3.3790
2011.16164,2011-02-28,-111.3570,121.6890,18.1700,0.8050,0.8620,3.4900
2011.16438,2011-03-01,-112.2950,121.6840,6.4790,0.8410,0.8840,3.6100
2011.16712,2011-03-02,-113.3430,122.8570,6.1710,0.7740,0.8170,3.3120
2011.16986,2011-03-03,-114.1270,122.9230,10.9370,0.7790,0.8280,3.3300
2011.17260,2011-03-04,-116.1690,122.4040,7.5150,0.7820,0.8170,3.3170
2011.17534,2011-03-05,-114.3600,124.0450,6.1730,0.8330,0.8510,3.4610
2011.17808,2011-03-06,-111.4710,126.7050,4.4850,0.8030,0.8450,3.4590
2011.18082,2011-03-07,-113.9290,119.7030,5.2250,0.8120,0.8360,3.4240
2011.18356,2011-03-08,-113.1020,124.8570,0.9940,0.8780,0.8820,3.6350
