#StationCode: 5AF0F
#EventDetectionTime: 2022-12-07T06:40:21.595665
#SamplingRate: 100.0
#NumPoints: 27140
#StartTime: 2022-12-07T06:38:50.207665Z
#pga_x: 0.56 gal
#pga_y: 0.83 gal
#pga_z: 1.84 gal
#pga_H: 1.00 gal
#pga: 2.09 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.1541,-3.4359,990.2073
0.01,-20.9289,-3.1716,990.1975
0.02,-20.8897,-2.9759,990.7946
0.03,-21.1247,-3.3968,990.6772
0.04,-21.1736,-3.2989,990.2856
0.05,-21.0562,-3.1423,990.3052
0.06,-21.0659,-3.5828,989.9430
0.07,-20.9778,-3.4849,990.2954
0.08,-21.1736,-3.4653,990.5401
0.09,-21.1443,-3.2304,990.3248
0.10,-21.3792,-3.4555,990.6282
0.11,-21.5162,-3.3381,990.4618
0.12,-21.0464,-3.4066,990.4716
0.13,-21.1443,-3.3576,990.5695
0.14,-21.2617,-3.3772,990.2465
0.15,-21.1149,-3.4947,990.7946
0.16,-21.0268,-3.4849,990.6772
0.17,-21.2617,-3.4555,990.9219
0.18,-21.0366,-3.4359,990.9806
0.19,-20.9974,-3.2304,990.2073
0.20,-21.1736,-3.4849,990.8534
0.21,-21.0757,-3.3283,990.4520
0.22,-21.1834,-3.5338,990.4814
0.23,-21.2226,-3.2597,990.6772
0.24,-21.2128,-3.6513,990.0800
0.25,-21.1541,-3.3968,990.3639
0.26,-21.3303,-3.4653,990.1975
0.27,-21.2226,-3.2500,990.0311
0.28,-21.1051,-3.2793,990.3444
0.29,-21.3988,-3.3576,990.5206
0.30,-21.2519,-3.1031,990.7359
0.31,-21.5162,-3.4262,990.7849
0.32,-21.2128,-3.1227,990.9317
0.33,-21.1443,-3.3674,990.7163
0.34,-21.0072,-3.1423,990.2269
0.35,-21.0855,-3.5240,990.8240
0.36,-21.0757,-3.4066,990.4520
0.37,-21.2030,-3.2891,990.5108
0.38,-21.2715,-3.5240,990.4618
0.39,-21.3303,-3.5045,990.9023
0.40,-21.2813,-3.6219,990.5891
0.41,-21.2617,-3.7100,989.9822
0.42,-21.1247,-3.3772,990.5793
0.43,-21.0757,-3.3185,990.2563
0.44,-21.2030,-3.2793,990.4520
0.45,-21.3988,-3.4555,990.7065
0.46,-21.1247,-3.4849,990.3444
0.47,-20.9485,-3.3478,990.8534
0.48,-21.0757,-3.3968,990.8632
0.49,-21.1149,-3.3283,990.7555
0.50,-20.9778,-3.1227,990.1682
0.51,-21.0562,-3.0835,990.3346
0.52,-21.1051,-3.5926,989.9626
0.53,-21.1247,-3.5240,990.4129
0.54,-21.1443,-3.3968,991.0002
0.55,-21.3792,-3.1325,990.4422
0.56,-21.0953,-3.0444,989.9919
0.57,-21.0268,-3.4066,990.5303
0.58,-21.2324,-3.2402,990.4031
0.59,-20.9093,-3.1521,990.7359
0.60,-21.3400,-3.3674,990.3737
0.61,-21.2422,-3.4066,990.4129
0.62,-21.1736,-3.1912,990.1682
0.63,-21.0072,-3.4066,990.5303
0.64,-21.1345,-3.4751,990.1975
0.65,-21.0659,-3.5534,990.6870
0.66,-20.9974,-3.5436,990.3444
0.67,-21.1443,-3.6219,990.5401
0.68,-21.2226,-3.5143,990.2269
0.69,-20.8604,-3.4164,990.2563
0.70,-21.1932,-3.5143,990.4716
0.71,-21.1247,-3.2695,990.1192
0.72,-20.9387,-3.4555,990.3835
0.73,-21.1051,-3.2108,990.5206
0.74,-21.1541,-3.1227,990.4520
