#StationCode: 5AE28
#EventDetectionTime: 2022-12-07T23:43:13.116172
#SamplingRate: 100.0
#NumPoints: 26868
#StartTime: 2022-12-07T23:41:44.450650Z
#pga_x: 0.63 gal
#pga_y: 0.75 gal
#pga_z: 1.32 gal
#pga_H: 0.98 gal
#pga: 1.64 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.8722,14.9185,974.9560
0.01,-39.0092,14.6737,974.1338
0.02,-38.7938,14.9185,974.5253
0.03,-38.5785,15.0555,974.7994
0.04,-38.8917,14.7912,974.7407
0.05,-39.1854,14.4290,975.0441
0.06,-38.7841,14.6052,974.4862
0.07,-38.9700,14.6346,974.4959
0.08,-38.9896,14.6639,974.8973
0.09,-38.8722,14.7325,974.3393
0.10,-38.7547,14.8108,974.5840
0.11,-39.0679,14.5563,974.8973
0.12,-38.9309,14.7129,974.8679
0.13,-38.8624,14.8499,974.4862
0.14,-38.9700,15.0163,974.4470
0.15,-38.7351,14.7129,974.9267
0.16,-38.8232,14.8304,974.5057
0.17,-38.7938,14.6346,975.0148
0.18,-38.8526,14.7716,974.8875
0.19,-38.8036,14.7520,974.4764
0.20,-38.7645,14.7618,974.8386
0.21,-38.9896,14.3703,974.5547
0.22,-38.9211,14.5367,974.4078
0.23,-38.7938,14.7716,974.3687
0.24,-38.7057,14.8108,974.7113
0.25,-38.5491,14.6052,974.8190
0.26,-38.6568,14.7814,974.8973
0.27,-38.5491,14.5954,974.4959
0.28,-38.5491,14.6933,974.8288
0.29,-38.5491,14.5660,974.5253
0.30,-38.8526,14.7422,975.0539
0.31,-38.6764,14.8304,974.7505
0.32,-38.7155,14.8010,974.4470
0.33,-38.8036,14.5856,975.0735
0.34,-38.7449,14.7422,974.7015
0.35,-38.6470,14.9185,974.5351
0.36,-38.7938,14.9282,974.5057
0.37,-38.7645,14.7814,974.2219
0.38,-38.8232,14.7814,975.3476
0.39,-38.6960,14.7912,974.2512
0.40,-38.7253,14.8401,974.8581
0.41,-38.7351,15.0653,974.8483
0.42,-38.5785,14.6737,974.9267
0.43,-38.5981,14.7325,974.4274
0.44,-38.6079,14.7031,975.0539
0.45,-38.7841,14.6737,974.8190
0.46,-38.6960,14.6933,974.4666
0.47,-38.5883,14.5954,974.7505
0.48,-38.6764,14.8108,974.6917
0.49,-38.9015,14.8010,974.9267
0.50,-38.4708,14.8597,974.9462
0.51,-38.5883,14.7325,975.1518
0.52,-38.7938,14.4094,974.2610
0.53,-38.6470,14.4486,974.1435
0.54,-38.7645,14.5954,974.5743
0.55,-38.8428,14.8108,974.5449
0.56,-38.7547,14.4779,974.5253
0.57,-38.6862,14.8793,973.9478
0.58,-38.7155,14.5367,974.9658
