#StationCode: 5AE28
#EventDetectionTime: 2022-12-05T07:14:55.013106
#SamplingRate: 100.0
#NumPoints: 26979
#StartTime: 2022-12-05T07:13:25.233106Z
#pga_x: 0.67 gal
#pga_y: 0.58 gal
#pga_z: 1.54 gal
#pga_H: 0.88 gal
#pga: 1.78 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.9113,15.0066,973.4387
0.01,-38.8428,14.8891,972.8514
0.02,-39.0484,14.9087,973.0080
0.03,-38.9798,14.9380,973.2723
0.04,-38.8624,14.8989,973.2821
0.05,-38.9603,14.9968,972.8220
0.06,-39.1560,14.8695,972.9101
0.07,-39.1169,15.1436,973.2332
0.08,-38.8036,14.9968,973.1940
0.09,-39.1952,15.0653,973.5268
0.10,-39.0092,14.8108,973.0080
0.11,-38.8624,14.9576,972.9786
0.12,-38.9603,14.9478,973.2430
0.13,-38.8036,14.9185,973.4094
0.14,-38.7645,14.9674,973.1549
0.15,-39.0386,15.1240,973.4387
0.16,-38.6372,14.9968,973.6149
0.17,-38.7645,15.0457,973.1940
0.18,-38.8917,14.8989,973.2430
0.19,-38.6862,14.9380,973.1353
0.20,-38.9896,15.0653,973.4779
0.21,-38.7743,15.1828,973.6737
0.22,-38.9896,15.1828,972.8808
0.23,-38.9211,14.8108,973.0276
0.24,-38.9700,14.7814,973.3506
0.25,-38.9309,15.0359,973.2038
0.26,-39.0190,14.9282,973.3017
0.27,-38.9309,14.8989,973.1157
0.28,-38.6079,15.0163,973.3017
0.29,-38.9896,15.0163,972.9591
0.30,-38.6862,14.7618,973.8401
0.31,-38.9603,14.9772,973.5758
0.32,-38.8819,15.0751,973.1255
0.33,-38.7645,15.0653,973.2038
0.34,-38.7841,15.0261,973.5464
0.35,-38.8036,15.0163,972.8612
0.36,-38.9603,14.8989,973.2625
0.37,-38.7645,15.0555,973.2430
0.38,-38.9896,15.0751,972.5479
0.39,-38.9896,15.3394,972.9101
0.40,-38.7057,14.9772,973.1157
0.41,-39.0679,15.0261,972.7633
0.42,-38.6372,15.2121,972.9493
0.43,-38.9603,14.8304,973.3996
0.44,-38.7938,15.0457,973.2430
0.45,-39.0288,14.9772,973.2625
0.46,-39.2637,14.7912,973.6443
0.47,-38.8526,15.2121,973.0863
0.48,-39.1365,15.0947,973.2723
0.49,-38.9113,15.2611,973.0276
0.50,-38.9798,15.0066,973.4094
0.51,-38.9700,15.0163,973.2527
0.52,-38.8428,15.0163,973.4094
0.53,-38.8917,15.1142,972.9689
0.54,-38.8330,14.9380,973.0863
0.55,-38.8819,15.1142,973.2430
0.56,-38.9211,15.2219,973.4681
0.57,-38.9113,15.0653,973.4877
0.58,-39.1463,15.2513,973.3898
0.59,-39.1658,15.2709,972.8220
0.60,-38.8428,15.0457,973.1451
0.61,-38.8819,15.0457,973.5856
0.62,-38.9505,15.2219,972.8220
0.63,-39.1267,15.1044,972.8318
0.64,-39.1463,15.2415,973.1646
0.65,-38.7547,15.1925,973.6541
0.66,-38.9505,15.0751,973.2038
0.67,-38.9113,15.0947,973.4094
0.68,-38.7253,15.1828,973.2038
0.69,-39.0190,15.0947,973.2430
0.70,-38.7938,15.0947,972.8024
0.71,-38.9505,15.0359,973.1157
0.72,-39.1463,14.8401,972.7731
0.73,-39.0581,14.9870,973.3898
0.74,-38.8036,15.1142,973.4485
0.75,-39.0190,15.1044,973.0374
0.76,-38.8722,14.9478,973.4485
0.77,-38.9798,15.1338,973.3213
0.78,-39.0484,14.9282,973.2234
0.79,-38.9015,15.0163,973.8597
0.80,-38.5883,14.9478,972.3228
0.81,-38.7253,14.8597,973.0178
0.82,-38.9798,14.7520,973.6345
0.83,-38.7155,14.9380,973.4289
0.84,-38.8819,15.2219,973.4094
0.85,-38.7841,14.9087,973.1940
0.86,-39.0777,15.2904,973.3800
0.87,-38.9798,14.9576,972.9395
0.88,-38.7645,14.6737,973.2234
0.89,-38.7743,15.1240,973.1842
0.90,-38.7547,15.1534,972.9591
0.91,-38.7547,15.0066,973.3898
0.92,-38.8232,15.2415,972.9689
0.93,-39.0092,14.9380,973.4192
0.94,-38.6568,14.9968,973.5366
0.95,-38.8232,14.9968,973.4485
0.96,-38.7057,14.9968,973.5268
0.97,-38.9407,14.8597,973.2919
0.98,-39.1952,14.8695,973.1549
0.99,-39.1658,15.3296,973.6639
1.00,-39.1463,15.0163,973.1646
1.01,-38.9211,14.9772,973.3017
1.02,-38.8428,15.0751,973.2430
1.03,-39.0875,15.0066,973.3408
1.04,-38.7645,14.9380,973.4387
1.05,-38.9211,14.8401,973.4779
1.06,-39.0777,14.8401,973.0374
1.07,-39.0973,14.9380,973.6835
1.08,-39.0484,14.9185,973.1646
1.09,-38.8917,14.8695,972.9786
1.10,-38.7645,15.1828,973.3702
1.11,-39.0875,15.0261,973.4681
1.12,-39.1267,15.0947,973.0668
1.13,-39.0288,15.0457,973.7030
1.14,-39.0288,15.1632,973.7030
1.15,-38.9113,14.8206,973.6051
1.16,-38.9211,14.8010,973.2625
1.17,-38.6079,15.0163,973.2527
1.18,-39.0386,14.8304,973.0570
1.19,-38.8526,14.9870,973.4387
1.20,-38.9798,15.2709,973.3898
1.21,-38.9994,15.3687,973.0178
1.22,-39.0092,15.2806,972.9101
1.23,-38.7449,15.0359,973.0472
1.24,-38.9700,15.3687,973.2234
1.25,-38.9211,15.0751,973.1549
1.26,-38.6470,14.6639,973.2625
1.27,-38.7057,14.8010,973.2234
1.28,-39.0679,15.0163,973.5170
1.29,-38.7449,15.2513,973.0570
1.30,-38.9505,15.0457,973.4387
1.31,-38.8428,14.8206,973.1157
1.32,-38.7057,14.8499,972.9297
1.33,-38.9994,15.2513,973.3604
1.34,-38.9896,14.7618,973.5268
1.35,-38.9407,14.9576,973.1059
1.36,-38.9798,15.3198,973.2430
1.37,-38.7351,15.0359,973.4387
1.38,-38.8526,14.9087,973.3213
1.39,-38.8428,15.1240,973.2723
1.40,-38.8917,15.2415,973.1744
1.41,-39.0092,15.2513,973.5954
1.42,-39.2050,15.2121,973.1451
1.43,-38.7449,15.0653,973.0570
1.44,-38.7645,15.0261,972.8710
1.45,-38.8624,15.0653,973.6737
1.46,-38.9994,15.1436,973.2430
1.47,-38.9798,15.4177,973.3311
1.48,-38.8917,15.2709,972.9493
1.49,-38.9994,15.1240,973.2919
1.50,-38.9798,15.1338,973.2430
1.51,-38.8819,15.2611,973.5268
1.52,-38.9407,15.0653,973.1549
1.53,-38.7938,15.4177,972.9689
1.54,-38.9309,14.9478,973.7226
1.55,-38.8819,15.0555,973.5562
1.56,-38.9113,14.8401,973.2038
1.57,-38.8819,14.9968,973.0374
1.58,-39.1267,15.0751,973.2332
1.59,-39.0190,14.8108,973.2527
1.60,-38.9113,15.1240,972.7535
1.61,-38.8624,15.2219,973.3017
1.62,-39.2050,15.2415,973.3017
1.63,-38.9603,15.0751,973.1842
1.64,-38.8819,15.1632,972.9689
1.65,-39.1169,15.2513,973.1059
1.66,-39.2931,14.9380,973.4192
1.67,-38.9994,15.0555,973.5464
1.68,-38.9896,15.2709,973.2234
1.69,-39.2246,14.9380,972.9395
1.70,-39.1952,14.8206,973.0178
1.71,-39.0484,14.9772,973.1744
1.72,-38.8819,15.2709,973.0472
1.73,-38.9015,14.9576,973.1157
1.74,-38.6666,14.8793,973.6051
1.75,-38.8917,15.2904,973.4192
1.76,-38.9407,15.0555,973.2723
1.77,-38.9896,15.2415,973.5170
1.78,-38.6666,15.0849,973.6247
1.79,-38.7449,15.1142,973.4975
1.80,-38.8428,14.9870,973.4877
1.81,-39.0581,15.0555,972.9591
1.82,-39.0679,15.1240,973.3408
1.83,-38.6274,15.0066,973.4192
1.84,-39.0092,15.0947,973.4192
1.85,-38.8134,15.1338,973.3702
1.86,-38.8819,14.8108,973.0178
1.87,-38.8036,15.1044,973.2821
1.88,-38.8232,14.9870,973.0570
1.89,-38.7449,15.4373,973.6443
1.90,-38.9309,15.0163,972.9982
1.91,-39.0777,15.1436,973.2430
1.92,-39.1854,15.0066,972.8318
1.93,-38.8428,15.3492,973.7618
1.94,-38.9211,15.3590,973.4877
1.95,-38.8232,15.0653,973.1059
1.96,-38.9309,15.0751,973.6835
1.97,-38.9896,15.1142,973.6932
1.98,-38.8624,15.1534,973.1451
1.99,-39.0190,15.0261,972.9101
2.00,-38.9309,14.8989,973.3506
2.01,-38.9896,15.2709,973.7716
2.02,-38.8526,15.3002,972.8808
2.03,-38.7938,14.9185,973.0080
2.04,-38.5883,15.2415,973.8107
2.05,-38.7938,14.8597,972.9297
2.06,-38.7841,14.9772,972.8710
2.07,-38.8722,15.2023,973.3996
2.08,-39.0679,14.9772,973.5562
2.09,-38.8722,14.8499,973.2430
2.10,-38.6960,14.8989,972.9493
2.11,-38.7351,14.9185,972.7829
2.12,-38.8917,15.2317,972.7143
2.13,-38.8232,15.2317,973.6051
2.14,-38.8917,15.0163,973.2430
2.15,-38.8330,15.1436,973.5562
2.16,-38.9603,14.8108,973.2821
2.17,-38.6666,15.1338,973.6247
2.18,-38.9603,15.1632,972.9395
2.19,-38.8428,14.9674,973.3506
2.20,-38.5981,15.1044,973.0570
2.21,-38.9015,14.8793,972.8905
2.22,-39.1071,15.1044,973.2136
2.23,-38.7645,15.0751,972.9493
2.24,-38.9700,15.1730,973.0570
