#StationCode: 5AE28
#EventDetectionTime: 2022-12-05T06:07:56.331741
#SamplingRate: 100.0
#NumPoints: 27136
#StartTime: 2022-12-05T06:06:24.983741Z
#pga_x: 0.72 gal
#pga_y: 0.64 gal
#pga_z: 1.49 gal
#pga_H: 0.96 gal
#pga: 1.77 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.8819,15.0163,973.1842
0.01,-38.7938,14.9282,973.2234
0.02,-38.7938,14.9772,973.3702
0.03,-38.8624,14.9674,973.3898
0.04,-38.6862,15.0849,973.6443
0.05,-38.6274,14.9674,973.1353
0.06,-38.6176,14.8401,973.2332
0.07,-38.8134,15.0653,972.6850
0.08,-39.1169,14.6541,973.0863
0.09,-38.9798,15.0066,973.3017
0.10,-38.7645,14.9282,974.1925
0.11,-38.6862,15.0261,974.0848
0.12,-38.7645,15.0751,973.4583
0.13,-38.6764,15.1142,973.4583
0.14,-38.4708,15.1142,973.0080
0.15,-38.9603,14.7520,973.6443
0.16,-38.6176,15.0261,973.5660
0.17,-38.8526,14.9478,973.4387
0.18,-38.8134,14.8304,973.2723
0.19,-38.6862,15.0359,973.8499
0.20,-38.9407,14.9772,973.2234
0.21,-39.0875,15.1142,973.0570
0.22,-38.9015,15.2023,973.4681
0.23,-38.9896,15.0261,973.1744
0.24,-38.8624,14.7912,973.3800
0.25,-39.0092,15.0163,973.5954
0.26,-38.9407,14.9087,973.5268
0.27,-38.8036,14.9185,973.5366
0.28,-38.7547,15.0849,973.7520
0.29,-38.7743,14.9087,973.3800
0.30,-39.1560,14.9478,972.9884
0.31,-38.7057,14.7422,972.8808
0.32,-38.4121,14.9380,973.3115
0.33,-38.6666,14.9674,973.1157
0.34,-38.8526,15.0163,973.6149
0.35,-38.5883,15.2121,973.3311
0.36,-38.8330,15.1044,973.2038
0.37,-38.6079,15.3002,973.1744
0.38,-38.7938,15.0751,973.4094
0.39,-38.6960,14.9380,973.3408
0.40,-38.7841,14.9087,973.4387
0.41,-38.8917,14.9087,972.8808
0.42,-38.6764,14.8499,973.4289
0.43,-38.5981,14.9674,973.0276
0.44,-38.8917,14.9478,973.5954
0.45,-38.7743,15.1338,973.2430
0.46,-39.2637,14.7422,973.2332
0.47,-38.8428,14.9870,973.1842
0.48,-38.7547,15.0066,973.3115
0.49,-38.7841,14.7814,973.0961
0.50,-39.1365,14.7912,973.5366
0.51,-38.7351,14.9870,973.1940
0.52,-39.1952,14.9772,973.0178
0.53,-38.8526,14.8304,973.4681
0.54,-38.9896,15.0653,973.0570
0.55,-38.7449,15.0066,973.0276
0.56,-38.7547,14.8695,973.6443
0.57,-38.9798,15.0066,973.6051
0.58,-38.7841,15.1632,973.3702
0.59,-39.0581,15.0555,973.0668
0.60,-39.0581,15.0555,973.3800
0.61,-38.8624,15.1828,973.5170
0.62,-38.9896,15.0457,973.4877
0.63,-38.9603,15.0163,973.5268
0.64,-38.6568,15.1730,973.6932
0.65,-38.8624,15.0359,973.3604
0.66,-39.0484,14.8695,973.8205
0.67,-38.7057,14.7618,973.3213
0.68,-38.8917,14.8206,972.7535
0.69,-38.7645,14.9087,973.3017
0.70,-39.0092,15.0359,973.4779
0.71,-38.9113,15.0359,973.1549
0.72,-39.0288,15.0653,973.7618
0.73,-39.1463,15.2219,973.1353
0.74,-38.8917,14.9478,972.9493
0.75,-39.0092,15.0751,973.4681
0.76,-38.9211,15.1632,973.5856
0.77,-38.9113,15.0163,973.5073
0.78,-38.8428,14.9576,972.6360
0.79,-38.6176,15.1142,972.9786
0.80,-39.0190,15.0751,973.3017
0.81,-38.9505,15.0359,973.5464
0.82,-38.9896,15.2904,972.9982
0.83,-39.0777,15.0849,972.8416
0.84,-38.9994,15.2806,973.2723
0.85,-38.8036,14.9674,973.4387
0.86,-38.7547,14.8401,973.0374
0.87,-38.9896,15.0653,973.2821
0.88,-39.0875,15.0261,973.3604
0.89,-38.9407,14.9576,972.8514
0.90,-38.8134,14.8891,973.5464
0.91,-38.7449,14.9282,973.1353
0.92,-38.8428,14.8206,973.0374
0.93,-39.0679,15.0849,972.9982
0.94,-38.9896,15.2023,973.4877
0.95,-38.8036,15.2121,973.4289
0.96,-38.5393,14.9674,973.1940
0.97,-38.7057,14.8597,973.3800
0.98,-39.1365,14.9478,972.9297
0.99,-39.2539,14.9478,973.1353
1.00,-38.9603,14.9968,973.0863
1.01,-39.0190,14.9576,973.1646
1.02,-38.7449,15.1534,973.3996
1.03,-38.6862,15.0849,973.4387
1.04,-38.8134,15.2219,973.4289
1.05,-39.2735,14.7814,972.6752
1.06,-38.9896,14.9478,972.5381
1.07,-38.9994,15.1730,972.9884
1.08,-39.0484,15.3296,973.1549
1.09,-38.7938,15.1240,972.9689
1.10,-38.8624,14.9772,973.2430
1.11,-39.0484,15.0751,973.4387
1.12,-38.8917,15.1044,972.8808
1.13,-38.6862,15.1925,973.1646
1.14,-39.0092,15.2023,973.2625
1.15,-39.1267,15.0163,973.8205
1.16,-38.7547,15.3492,973.6443
1.17,-38.8330,14.8695,973.4779
1.18,-38.8819,15.1338,973.5170
1.19,-38.7938,15.1534,973.5268
1.20,-38.9015,14.9674,973.2038
1.21,-38.9015,14.8010,973.3702
1.22,-38.3925,15.1240,972.9689
1.23,-38.7645,15.0555,973.4387
1.24,-39.0092,15.2806,973.4681
1.25,-38.8036,14.9380,973.4485
1.26,-38.6764,15.1534,973.2625
1.27,-38.7351,15.1925,972.9591
1.28,-39.1169,15.2415,973.2919
1.29,-38.6862,15.0653,973.4094
1.30,-38.7449,15.1632,973.3115
1.31,-38.9798,14.9576,972.8514
1.32,-38.8624,14.9674,973.1157
1.33,-39.0875,15.1828,973.3017
1.34,-38.7057,15.1044,973.2038
1.35,-38.9211,14.8108,973.5954
1.36,-38.5883,14.9674,973.2430
1.37,-39.1952,14.9968,973.2723
1.38,-38.7938,15.0261,973.1157
1.39,-38.8232,14.6541,973.1157
1.40,-38.8526,14.9380,973.7911
1.41,-39.0484,15.1925,972.9101
1.42,-39.0386,15.1044,973.4192
1.43,-39.1658,15.0163,973.0276
1.44,-38.7841,14.9576,973.3898
1.45,-38.8624,14.9478,973.0765
1.46,-38.8526,14.9870,973.1842
1.47,-38.5785,15.0457,973.1059
1.48,-39.1267,15.0555,973.2332
1.49,-39.2441,15.2023,973.0080
1.50,-39.3029,15.0947,973.0472
1.51,-39.0777,15.0751,973.2234
1.52,-39.2735,15.1338,973.3702
1.53,-38.9407,15.1534,973.6835
1.54,-38.9309,15.1044,972.9982
1.55,-38.9407,15.0751,972.7437
1.56,-38.9896,15.1436,973.0570
1.57,-38.7351,15.1240,973.1157
1.58,-38.8232,14.9185,973.1549
1.59,-38.9994,14.8793,973.9478
1.60,-39.0288,15.0947,973.3115
1.61,-38.4708,15.2415,973.1353
1.62,-38.6470,15.0457,973.2723
1.63,-38.6666,14.9870,973.7030
1.64,-38.9700,14.9772,973.5464
1.65,-39.0092,15.2709,973.2332
1.66,-38.7645,15.1828,973.5954
1.67,-38.8330,15.1730,973.3506
1.68,-39.1658,15.1044,973.2430
1.69,-38.6470,15.1044,973.0374
1.70,-39.0190,14.8989,972.7437
1.71,-38.9015,14.7325,973.1549
1.72,-38.8036,15.0653,973.3311
1.73,-38.8330,15.0555,973.0961
1.74,-38.7645,14.9282,973.2821
1.75,-38.9309,15.0066,973.1549
1.76,-38.7155,15.1828,972.8416
1.77,-38.8917,14.9870,972.7927
1.78,-38.9211,15.0751,973.5954
1.79,-38.6372,15.0359,972.7829
1.80,-38.8330,15.3198,973.0178
1.81,-38.8722,14.7912,973.4681
1.82,-38.9896,14.8597,973.4192
1.83,-38.8036,15.0066,973.2430
1.84,-38.6862,15.0457,972.8612
1.85,-38.9994,14.9185,973.0178
1.86,-39.0679,14.7618,972.8612
1.87,-38.8232,15.2611,973.5464
1.88,-38.9015,15.0163,973.0374
1.89,-38.9603,14.8401,973.2136
1.90,-39.1267,15.0359,973.4289
1.91,-38.9700,14.9772,972.8905
1.92,-39.0386,15.0947,973.1059
1.93,-38.8232,15.1632,972.8318
1.94,-38.8819,15.0947,972.9003
1.95,-39.1658,15.0066,973.1157
1.96,-38.8819,15.2023,973.2332
1.97,-38.9798,15.1925,972.8808
1.98,-38.8624,15.1730,972.9884
1.99,-38.8232,15.1436,973.2332
2.00,-38.8819,14.9772,973.7324
2.01,-38.9896,15.2513,972.9101
2.02,-38.7938,15.2317,973.2723
2.03,-38.9015,15.1338,972.9493
2.04,-38.8917,14.8793,973.6541
2.05,-38.7057,14.8206,973.2625
2.06,-38.8036,14.9870,973.3017
2.07,-38.6470,14.9772,972.9786
2.08,-38.8330,15.0261,973.2430
2.09,-38.9505,15.0163,973.4975
2.10,-38.7449,14.8401,973.0080
2.11,-38.8722,15.2219,973.2821
2.12,-38.8428,14.7814,973.0080
2.13,-39.0092,15.0163,973.5660
2.14,-39.0288,14.8793,973.4094
2.15,-38.9407,15.0555,973.0961
2.16,-39.0386,15.2904,973.1646
2.17,-38.7057,14.9380,973.3017
2.18,-38.9603,14.9087,973.2919
2.19,-39.0386,15.2904,972.9199
2.20,-38.9994,14.9576,973.4387
2.21,-38.8917,14.8891,973.0472
2.22,-38.8428,14.8891,973.0961
2.23,-38.8526,14.9968,973.4681
2.24,-38.8036,15.1338,973.4681
2.25,-39.0777,15.0261,973.4877
2.26,-38.7351,14.9380,973.3408
2.27,-38.7645,15.3883,973.1646
2.28,-38.7645,15.2415,973.0570
2.29,-38.6568,14.9185,972.8905
2.30,-39.0386,15.0163,973.2136
2.31,-38.8819,14.8695,973.3898
2.32,-38.9700,15.0555,972.9689
2.33,-38.8428,15.3394,973.3604
2.34,-38.9015,15.0359,973.2821
2.35,-38.6960,15.1338,973.0863
2.36,-38.7253,15.0653,973.0570
2.37,-38.6274,15.2709,973.0765
2.38,-39.0875,15.0261,973.1646
2.39,-38.6862,15.1632,973.2136
2.40,-38.8232,15.3590,973.2136
2.41,-38.6666,15.0163,972.9297
2.42,-38.8624,14.8108,973.0668
2.43,-38.9603,15.2904,973.6443
2.44,-38.7841,15.1730,973.2821
2.45,-38.9700,15.3981,973.2723
2.46,-39.0092,15.1632,972.9395
2.47,-38.7938,15.0066,973.2234
2.48,-38.7841,15.1338,973.0374
2.49,-39.0777,15.0163,972.9786
2.50,-39.0386,15.2121,972.8122
2.51,-38.9896,15.0751,973.4779
2.52,-38.8330,15.1436,973.3017
2.53,-39.0484,14.8401,973.3115
2.54,-38.7449,15.0555,973.1744
2.55,-39.0092,15.0555,973.7226
2.56,-39.0973,14.9674,973.5660
2.57,-38.8526,14.9772,973.0178
2.58,-38.9700,15.1632,972.9591
2.59,-38.9896,15.0947,973.0472
2.60,-38.7938,15.2611,972.9591
2.61,-38.8526,15.1338,973.3115
2.62,-38.7743,15.0163,973.5954
2.63,-38.6274,15.0163,973.3898
2.64,-38.7057,15.0359,973.1255
2.65,-38.4904,15.0457,973.0668
2.66,-38.9211,15.2611,973.7128
2.67,-38.9113,15.1925,973.2136
2.68,-38.5198,15.2709,973.4779
2.69,-38.9211,14.8891,973.3604
2.70,-38.7351,14.9576,973.4485
2.71,-38.9896,14.9282,973.6149
2.72,-38.8819,15.0163,973.3898
2.73,-38.9505,15.0457,974.0065
2.74,-38.8624,14.8499,973.4387
2.75,-38.9896,14.9478,973.4387
2.76,-38.6666,15.0359,973.6932
2.77,-38.9603,15.0849,972.8905
2.78,-38.7351,15.2219,973.3017
2.79,-38.8036,15.0653,973.1940
2.80,-38.7743,15.1142,973.6737
2.81,-38.7057,15.1925,973.2136
2.82,-39.0484,14.9282,973.6443
2.83,-38.8036,15.3002,973.0961
2.84,-39.1267,15.1828,973.0961
2.85,-39.0386,14.9870,973.3311
2.86,-38.9896,14.9870,972.7241
2.87,-39.1560,15.3296,973.6835
2.88,-39.0386,14.8989,972.8905
2.89,-39.1952,15.1925,973.1353
2.90,-39.1854,15.0555,973.7030
2.91,-38.9896,15.1142,973.4877
2.92,-39.1169,15.1044,973.2625
2.93,-38.8624,15.1338,973.1353
2.94,-38.9505,14.8793,973.5464
2.95,-38.9211,14.9087,973.7911
2.96,-38.8624,15.0261,973.1646
2.97,-38.7547,15.2611,973.9184
2.98,-38.9798,14.9674,973.5073
2.99,-38.9505,14.9282,973.3213
3.00,-38.9994,15.0849,973.2038
3.01,-38.9407,15.1338,973.6443
3.02,-38.9994,15.1044,973.4289
3.03,-39.0679,15.0066,973.4485
3.04,-39.1463,14.9478,973.2821
3.05,-39.3616,15.1240,973.7128
3.06,-39.0973,14.9870,973.1059
3.07,-38.7449,15.0359,973.1646
3.08,-38.6666,15.3100,973.1157
3.09,-38.8232,14.9674,973.5073
3.10,-38.9113,14.8499,973.3115
3.11,-38.9309,14.8891,973.3996
3.12,-38.7645,14.8010,973.7716
3.13,-38.9211,15.1925,972.9689
3.14,-38.9994,15.0163,973.4583
3.15,-38.7351,15.2023,974.0848
3.16,-38.9505,15.0066,973.3506
3.17,-38.6274,15.0947,973.4289
3.18,-38.6470,15.2611,973.4094
3.19,-38.8232,14.9772,973.2038
3.20,-39.0777,15.1828,973.2038
3.21,-38.9798,15.0849,973.1157
3.22,-38.7743,14.8891,973.1549
3.23,-38.8624,15.0653,973.5758
3.24,-38.9994,14.9870,973.2430
3.25,-39.0973,15.0457,973.3408
3.26,-38.7938,15.1828,973.1646
3.27,-38.6862,14.8499,973.2136
3.28,-38.9211,14.9772,973.1940
3.29,-39.1071,14.9185,973.2723
3.30,-39.0973,14.8499,973.6345
3.31,-38.7645,15.0751,973.2821
3.32,-38.9113,14.8891,973.2625
3.33,-38.8428,15.1730,973.2723
3.34,-38.9994,15.0163,973.6639
3.35,-38.9505,14.6150,973.4387
3.36,-38.9896,14.6835,973.5268
3.37,-38.6372,15.0555,973.2136
3.38,-38.5981,15.0555,973.3115
3.39,-38.7841,14.9968,973.4583
3.40,-38.7057,14.8597,972.8905
3.41,-38.8036,14.8989,972.7241
3.42,-38.9015,14.9282,973.3311
3.43,-38.8917,15.0849,973.7030
3.44,-38.8722,15.1730,973.4485
3.45,-38.8036,14.7716,973.2919
3.46,-38.6666,14.9772,972.9199
3.47,-38.9113,15.0849,973.3213
3.48,-38.8819,15.1632,973.1940
3.49,-39.0190,15.0947,973.2038
3.50,-39.0484,15.0163,973.4975
3.51,-39.1463,15.0751,973.4289
3.52,-39.3910,14.9185,973.5758
3.53,-38.8330,14.9185,973.1744
3.54,-38.6862,15.0457,973.2527
3.55,-39.0973,14.8891,973.5660
3.56,-38.9505,15.0163,973.7324
3.57,-38.9113,15.1925,973.1157
3.58,-38.9211,15.3687,972.9982
3.59,-38.8819,15.2023,973.6541
3.60,-38.9798,15.0751,972.9395
3.61,-39.1267,15.1044,972.6850
3.62,-38.9700,15.2121,973.4387
3.63,-38.7743,15.0457,972.9591
3.64,-38.9798,14.9772,972.8514
3.65,-39.0484,15.1925,973.1646
3.66,-39.0973,14.9478,973.4387
3.67,-39.0484,15.1436,973.4192
3.68,-38.9113,14.9968,973.0374
3.69,-39.0386,15.0849,973.2430
3.70,-39.0679,14.9185,973.1646
3.71,-39.1071,15.1632,972.8024
3.72,-38.9798,15.3394,972.8318
3.73,-38.9505,14.9772,972.9786
3.74,-39.2441,14.9380,972.7143
3.75,-39.1854,15.1632,973.3996
3.76,-39.0875,15.1240,973.3017
3.77,-39.1560,14.8108,973.2430
3.78,-39.2441,15.0163,972.5479
3.79,-38.8722,15.1142,972.9689
3.80,-38.8526,15.1338,973.2430
3.81,-39.1756,15.2219,972.7143
3.82,-38.9896,15.2904,972.6165
3.83,-39.0973,15.4960,973.4485
3.84,-38.9015,15.0066,973.2234
3.85,-38.9407,15.2121,972.9395
3.86,-38.7449,15.1240,973.5954
3.87,-39.0973,15.0947,973.4485
3.88,-39.0581,15.0066,973.2038
3.89,-38.9603,15.1142,973.0570
3.90,-39.0875,14.9870,973.3506
3.91,-39.0386,15.1925,973.2038
3.92,-39.2050,15.1925,972.8318
3.93,-38.8330,15.3100,973.1940
3.94,-38.9505,14.9968,973.0472
3.95,-38.8819,15.2121,973.7324
3.96,-38.8722,15.0261,973.2332
3.97,-38.8917,15.2709,973.3213
3.98,-38.9505,15.1240,973.0961
3.99,-39.0288,14.9478,973.1549
4.00,-38.8819,15.1828,973.3604
4.01,-38.9309,14.9087,972.9884
4.02,-38.5589,14.8891,973.3115
4.03,-38.4023,15.1730,973.0178
4.04,-38.7155,14.8304,973.4583
4.05,-38.7743,15.2121,973.2430
4.06,-38.9309,15.0751,973.4877
4.07,-39.1560,14.9380,973.6149
4.08,-38.8036,15.2513,973.1549
4.09,-38.9700,15.1436,973.1549
4.10,-39.1560,15.0163,972.9982
4.11,-39.0190,15.0751,972.6556
4.12,-38.9896,15.0947,973.5660
4.13,-38.9505,15.3002,973.0374
4.14,-38.8134,15.4079,973.3800
4.15,-38.9896,15.0751,973.0570
4.16,-38.9309,14.9185,973.0668
4.17,-39.0386,15.3590,973.0765
4.18,-38.9994,15.5058,972.5284
4.19,-39.1365,15.0653,973.2332
4.20,-39.2735,15.1142,972.9884
4.21,-39.2441,14.9380,972.6752
4.22,-38.9211,15.1828,972.9199
4.23,-38.9994,15.1142,972.9297
4.24,-39.2344,14.9478,973.3213
4.25,-38.9407,15.2709,973.1353
4.26,-38.9603,15.6233,972.4403
4.27,-38.9015,15.1142,973.4387
4.28,-39.1169,15.2121,973.5366
4.29,-38.9113,15.2121,972.4892
4.30,-39.0190,15.1142,972.7633
4.31,-38.9015,15.1338,973.1842
4.32,-38.9015,15.2023,972.7535
4.33,-39.3127,14.8891,973.7911
4.34,-39.1658,15.1730,973.0765
4.35,-38.6764,15.2415,973.4779
4.36,-38.7351,14.8108,973.3017
4.37,-38.9211,15.2219,973.5562
4.38,-38.8722,15.1044,973.2919
4.39,-38.7743,15.2023,973.1451
4.40,-38.7841,15.2317,973.4681
4.41,-39.0973,14.9576,973.6541
4.42,-38.9113,15.0849,973.2723
4.43,-38.8232,14.9576,972.9786
4.44,-39.0875,15.1632,973.4779
4.45,-38.8526,15.3002,973.2430
4.46,-38.9994,15.0653,972.9493
4.47,-38.7938,14.9674,973.3800
4.48,-38.8917,15.2904,973.4975
4.49,-38.7449,14.9185,973.4094
4.50,-38.8722,14.8695,973.6051
4.51,-38.9700,15.1925,973.6051
4.52,-38.8428,15.0947,973.4583
4.53,-38.8722,15.0359,973.5170
4.54,-38.8330,14.7814,973.3506
4.55,-38.6176,15.2121,973.0668
4.56,-39.0190,15.2317,973.0570
4.57,-38.9603,15.4373,973.2038
4.58,-39.0190,15.4373,973.7128
4.59,-38.9015,15.2904,973.0472
4.60,-38.9896,15.0555,973.2821
4.61,-38.8722,15.2611,973.5856
4.62,-39.0386,15.1730,973.6443
4.63,-38.9798,15.0653,973.2527
4.64,-39.0190,15.2121,973.5366
4.65,-39.1952,15.0653,973.2625
4.66,-39.0973,15.0261,973.0276
4.67,-38.9896,15.4177,973.3017
4.68,-38.9407,15.2317,973.6639
4.69,-39.0288,15.2121,972.9101
4.70,-38.9798,15.1436,973.7813
4.71,-38.8232,15.1828,973.3604
4.72,-38.7743,15.0163,973.1842
4.73,-38.8036,15.0555,973.1744
4.74,-38.8722,14.7618,973.1744
4.75,-38.8917,15.0849,973.0472
4.76,-39.0581,15.1730,973.3604
4.77,-39.1267,14.8695,972.9199
