#StationCode: 5AF0F
#EventDetectionTime: 2022-12-02T08:19:55.594586
#SamplingRate: 100.0
#NumPoints: 27017
#StartTime: 2022-12-02T08:18:25.438586Z
#pga_x: 0.90 gal
#pga_y: 0.60 gal
#pga_z: 6.35 gal
#pga_H: 1.08 gal
#pga: 6.44 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-20.6940,-3.6905,990.4520
0.01,-20.9974,-3.6709,990.0017
0.02,-20.9191,-3.6905,990.3444
0.03,-21.2030,-3.6709,989.9626
0.04,-20.8114,-3.7296,990.2269
0.05,-20.9485,-3.7981,989.9528
0.06,-21.1541,-3.7590,990.1975
0.07,-20.8212,-3.7688,989.8647
0.08,-20.7919,-3.7981,989.7962
0.09,-21.2813,-3.8079,990.3444
0.10,-21.0562,-3.7786,989.7179
0.11,-21.0855,-3.6709,989.7570
0.12,-21.0562,-3.7198,989.7864
0.13,-20.8702,-3.5828,990.5108
0.14,-20.8702,-3.5534,990.4716
0.15,-21.2226,-3.6905,990.5303
0.16,-20.8800,-3.5338,990.0311
0.17,-21.1051,-3.5240,990.0605
0.18,-21.1443,-3.7296,989.9430
0.19,-20.9583,-3.2402,990.0017
0.20,-20.8897,-3.5926,990.0213
0.21,-20.9191,-3.5240,990.0409
0.22,-21.0562,-3.6121,990.6576
0.23,-21.1247,-3.6415,990.5597
0.24,-20.9289,-3.6317,990.3737
0.25,-21.2422,-3.7296,990.4129
0.26,-21.2813,-3.8471,990.6478
0.27,-20.9093,-3.8569,990.0703
0.28,-21.0464,-3.5926,990.3639
0.29,-21.0464,-3.5240,990.0311
0.30,-20.8604,-3.6317,990.0213
0.31,-21.1834,-3.9548,990.2660
0.32,-21.1541,-3.6709,990.0311
0.33,-21.1149,-3.5534,990.3541
0.34,-20.9387,-3.7198,989.7962
0.35,-21.0562,-3.6121,990.1682
0.36,-20.8506,-3.8177,990.5401
0.37,-20.9093,-3.7786,989.9430
0.38,-20.8604,-3.6709,990.5891
0.39,-20.9876,-3.5828,989.9919
0.40,-21.0855,-3.8471,990.0115
0.41,-20.7233,-3.6611,990.4227
0.42,-20.9778,-3.5926,989.8060
0.43,-21.0464,-4.0624,990.1290
0.44,-20.8408,-3.5436,990.6968
0.45,-20.7625,-3.7198,989.9430
0.46,-20.7625,-3.7296,990.1584
0.47,-20.9191,-3.4653,990.3346
0.48,-21.0659,-3.7100,989.6689
0.49,-21.0562,-3.7394,990.3444
