#StationCode: 5AF0F
#EventDetectionTime: 2022-12-02T04:55:22.276824
#SamplingRate: 100.0
#NumPoints: 27082
#StartTime: 2022-12-02T04:53:51.464824Z
#pga_x: 0.76 gal
#pga_y: 0.91 gal
#pga_z: 4.13 gal
#pga_H: 1.19 gal
#pga: 4.30 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-20.5667,-3.9743,990.7653
0.01,-20.2143,-4.0527,990.8925
0.02,-20.3024,-4.0233,990.7457
0.03,-20.3905,-4.0037,990.4912
0.04,-20.2241,-4.0722,990.1779
0.05,-20.5373,-4.0233,990.4422
0.06,-20.6059,-3.9645,991.1373
0.07,-20.7625,-4.0820,990.7555
0.08,-20.6450,-4.1408,990.7163
0.09,-20.6059,-4.1897,990.5108
0.10,-20.3514,-3.9156,990.5597
0.11,-20.5863,-3.9939,990.4814
0.12,-20.5961,-4.1995,990.2465
0.13,-20.4395,-3.9939,990.1975
0.14,-20.3220,-3.9058,990.4325
0.15,-20.7038,-4.0820,990.5695
0.16,-20.4688,-3.9156,990.3346
0.17,-20.1654,-4.2093,990.5597
0.18,-20.2828,-3.8569,990.4129
0.19,-20.5276,-4.2289,990.5401
0.20,-20.5373,-3.8960,990.5206
0.21,-20.8310,-3.9450,990.5793
0.22,-20.4590,-4.3855,990.2563
0.23,-20.4884,-4.1114,990.5010
0.24,-20.4688,-3.8373,990.2856
0.25,-20.6157,-4.0527,990.3346
0.26,-20.5961,-4.1212,990.7163
0.27,-20.6157,-4.0037,990.5597
0.28,-20.6450,-3.9939,990.2856
0.29,-20.5569,-3.9743,990.0213
0.30,-20.4982,-3.9450,990.5793
0.31,-20.5863,-4.1603,990.8142
0.32,-20.6352,-4.1799,990.8827
0.33,-20.6548,-3.9939,990.4912
0.34,-20.6548,-4.0233,989.5808
0.35,-20.3416,-3.8373,990.2465
0.36,-20.6548,-3.8862,990.0800
0.37,-20.6254,-4.1016,990.7065
0.38,-20.4982,-4.1016,990.8142
0.39,-20.4982,-4.0037,990.1682
0.40,-20.3807,-3.8667,990.7261
0.41,-20.6059,-4.1016,990.0800
