#StationCode: 5AE28
#EventDetectionTime: 2022-12-02T09:12:47.667832
#SamplingRate: 100.0
#NumPoints: 27223
#StartTime: 2022-12-02T09:11:15.447832Z
#pga_x: 0.62 gal
#pga_y: 0.63 gal
#pga_z: 1.31 gal
#pga_H: 0.88 gal
#pga: 1.58 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.2946,14.7227,974.0457
0.01,-38.3044,14.8597,974.4666
0.02,-38.6470,14.5660,974.2414
0.03,-38.0988,14.8206,973.6541
0.04,-38.2457,14.6248,973.9869
0.05,-38.0890,14.9576,973.8792
0.06,-38.3338,14.7716,973.8988
0.07,-38.3338,14.7325,973.9967
0.08,-38.5198,14.7325,973.8792
0.09,-38.2946,14.9576,974.0554
0.10,-38.2946,14.8695,974.4666
0.11,-38.0597,14.7129,973.7618
0.12,-38.5002,14.7912,974.1338
0.13,-38.4610,14.9576,974.7113
0.14,-38.2163,14.6933,974.1044
0.15,-38.1184,15.0163,973.8401
0.16,-38.1673,14.5465,974.4470
0.17,-38.3631,15.0163,974.2904
0.18,-38.1380,14.9870,974.3491
0.19,-38.2359,14.9282,973.8401
0.20,-38.3044,14.9478,973.8890
0.21,-38.3338,14.8304,974.0554
0.22,-38.4708,14.8206,974.3295
0.23,-38.4806,14.8010,974.5938
0.24,-38.2652,14.8401,974.0652
0.25,-38.2946,14.7520,974.4372
0.26,-38.2652,15.0555,974.1631
0.27,-38.7155,14.7814,973.6443
0.28,-38.5393,15.0066,974.0848
0.29,-38.5687,14.4877,973.7030
0.30,-38.3533,14.5954,973.9869
0.31,-38.3729,14.7716,974.0359
0.32,-38.4610,14.7227,974.1925
0.33,-38.2261,14.8793,974.1729
0.34,-38.2848,14.8108,974.6917
0.35,-38.1967,14.5367,974.1827
0.36,-38.2946,14.8108,973.8890
0.37,-38.2163,14.7814,974.1338
0.38,-37.9226,14.8108,973.8107
0.39,-38.4219,14.5954,974.1729
0.40,-38.4904,14.9674,974.2023
0.41,-38.2750,14.7912,974.3197
0.42,-38.3925,14.7227,973.7813
0.43,-38.5393,14.8793,973.9478
0.44,-38.2848,14.8108,974.0065
0.45,-38.0303,14.8010,973.9967
0.46,-38.1673,15.0066,974.0261
0.47,-38.3631,14.8793,973.8499
0.48,-38.3044,14.8989,974.4078
0.49,-38.1869,14.8108,974.5449
0.50,-38.6470,14.6639,974.0457
0.51,-38.4806,14.7520,974.2023
0.52,-38.3729,14.6639,974.1631
0.53,-38.2555,14.8108,973.7324
0.54,-38.6274,14.6248,974.1338
0.55,-38.3338,14.8499,974.1925
0.56,-38.4023,14.8108,973.9967
0.57,-38.3338,14.6737,973.6737
0.58,-38.4708,14.8793,973.9380
0.59,-38.5002,14.7618,974.1827
0.60,-38.4806,14.7618,974.2121
0.61,-38.5295,14.7618,974.0359
0.62,-38.5589,14.7129,974.5155
0.63,-38.6470,14.7912,974.0750
0.64,-38.1184,14.8989,974.1044
0.65,-38.2555,14.9772,974.0261
0.66,-38.2946,14.8401,974.3100
0.67,-38.3631,14.8499,974.2708
0.68,-38.3925,14.9968,973.7618
0.69,-38.7057,15.1436,974.0457
0.70,-38.4610,14.8989,973.8792
0.71,-38.1771,14.9968,974.2121
0.72,-38.0792,14.8206,973.9673
0.73,-38.2848,14.9087,974.2316
0.74,-38.2065,14.9478,973.9771
0.75,-38.1869,14.9185,973.8401
0.76,-38.1869,14.9380,973.9771
0.77,-38.4414,14.9478,974.6134
0.78,-38.3925,14.7325,973.8597
0.79,-38.1673,14.8108,974.2121
0.80,-38.3729,14.8108,974.5743
0.81,-38.4512,14.6541,974.2023
0.82,-38.2163,15.0457,974.0457
0.83,-38.3533,14.8597,973.9967
0.84,-38.2065,14.9576,974.1044
0.85,-38.2163,14.6444,974.6917
0.86,-38.0695,14.6639,973.7520
0.87,-38.1086,14.8695,974.0848
0.88,-38.2261,14.8108,974.1435
0.89,-38.4219,14.6150,974.2316
0.90,-38.4610,14.8597,974.2512
0.91,-38.5491,14.8206,974.1729
0.92,-38.5198,14.9674,973.9380
0.93,-38.4023,14.7716,973.9184
0.94,-38.4512,14.6639,974.0457
0.95,-38.3436,14.8793,973.7618
0.96,-38.5295,14.7227,974.1533
0.97,-38.0890,14.6835,974.1240
0.98,-38.4708,14.4877,974.0652
0.99,-38.5100,14.5465,973.9086
1.00,-38.0792,14.5954,973.8597
1.01,-38.2652,14.9576,974.0163
1.02,-38.2359,14.9087,973.8205
1.03,-38.2946,14.8010,974.4666
1.04,-38.0107,15.0849,974.2121
1.05,-38.3240,14.4584,974.3981
1.06,-38.2065,14.6444,974.3295
1.07,-38.3044,14.7716,973.9478
1.08,-38.2750,14.7716,974.3100
1.09,-38.2457,14.9185,973.8694
1.10,-38.4121,14.8206,973.7128
1.11,-38.2946,14.8989,973.6345
1.12,-38.1380,14.7912,974.1533
1.13,-38.3533,14.7520,973.9771
1.14,-38.2848,14.6346,974.2023
1.15,-38.0597,14.7031,974.0848
1.16,-38.3533,14.5856,973.4289
1.17,-38.4512,14.6052,974.1631
1.18,-38.1771,14.8499,974.0554
1.19,-38.3729,14.8597,973.8303
1.20,-38.2359,14.6933,974.5547
