#StationCode: 5AE28
#EventDetectionTime: 2022-12-02T02:45:28.879103
#SamplingRate: 100.0
#NumPoints: 26953
#StartTime: 2022-12-02T02:43:59.354138Z
#pga_x: 0.64 gal
#pga_y: 0.70 gal
#pga_z: 1.35 gal
#pga_H: 0.95 gal
#pga: 1.65 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.4219,14.9870,973.2234
0.01,-38.2359,15.1436,974.0261
0.02,-38.5589,15.0261,974.0554
0.03,-38.4414,15.0066,973.3702
0.04,-38.1771,15.0359,973.8205
0.05,-38.4904,14.8206,974.1533
0.06,-38.3240,14.8891,974.0163
0.07,-38.3338,15.0261,973.8988
0.08,-38.5100,14.8891,974.0163
0.09,-38.2359,14.7912,973.8205
0.10,-38.3925,14.9674,974.0359
0.11,-38.3436,14.7912,974.0946
0.12,-38.3631,15.0555,973.8694
0.13,-38.3338,15.1632,974.0652
0.14,-38.5100,15.2219,973.3115
0.15,-38.5198,14.9185,974.0554
0.16,-38.2946,15.1142,973.5268
0.17,-38.5491,15.2806,973.6737
0.18,-38.3925,15.0359,973.3017
0.19,-38.3338,14.8891,973.7618
0.20,-38.4904,15.1142,973.6443
0.21,-38.4317,15.0555,973.9478
0.22,-38.1380,14.9282,973.7813
0.23,-38.3729,14.7325,973.4779
0.24,-38.3142,14.6835,974.1044
0.25,-38.3729,14.9870,974.0261
0.26,-38.3925,14.7912,974.1142
0.27,-38.2652,14.8989,973.7520
0.28,-38.1869,14.8989,973.6541
0.29,-38.4806,15.0066,973.8988
0.30,-38.1869,15.0261,973.8694
0.31,-38.4317,14.8304,974.1240
0.32,-38.6372,14.8401,973.3408
0.33,-38.3729,14.9870,973.6737
0.34,-38.4806,15.1436,973.8303
0.35,-38.3142,15.0163,974.0359
0.36,-38.5687,15.0555,974.0065
0.37,-38.5981,15.3002,974.1827
0.38,-38.3436,15.3296,973.5758
0.39,-38.1673,14.8891,974.0457
0.40,-38.6079,15.0163,973.7324
0.41,-38.6960,15.1142,973.8205
0.42,-38.5883,15.2513,973.7911
0.43,-38.3338,15.1044,974.2708
0.44,-38.5785,15.1730,973.7911
0.45,-38.5100,15.0555,973.7128
0.46,-38.3142,15.2121,974.3491
