#StationCode: 5AE28
#EventDetectionTime: 2022-12-11T23:54:00.097456
#SamplingRate: 100.0
#NumPoints: 30001
#StartTime: 2022-12-11T23:52:00.098716Z
#pga_x: 0.69 gal
#pga_y: 0.60 gal
#pga_z: 1.43 gal
#pga_H: 0.91 gal
#pga: 1.70 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.7351,14.8401,974.7015
0.01,-38.8232,14.8108,974.3002
0.02,-38.8232,14.3213,975.4553
0.03,-38.9211,14.6541,974.8777
0.04,-38.9994,14.7814,974.8190
0.05,-38.6960,14.6248,974.8288
0.06,-38.9113,14.8108,975.2889
0.07,-38.8722,14.3605,975.0539
0.08,-38.5393,14.7618,975.0343
0.09,-38.6764,14.4094,975.0539
0.10,-38.5981,14.5660,975.2889
0.11,-38.8526,14.4975,975.3574
0.12,-38.8134,14.8108,974.9854
0.13,-38.7547,14.6346,974.9658
0.14,-38.9505,14.5563,974.8875
0.15,-38.7351,14.4388,974.9267
0.16,-38.8428,14.5465,974.7505
0.17,-38.6960,14.7716,975.0246
0.18,-38.7938,14.5465,975.0050
0.19,-38.6470,14.7520,975.0148
0.20,-38.8624,14.8401,974.7113
0.21,-38.8526,14.7325,974.6917
0.22,-38.7938,14.6052,974.8190
0.23,-38.7351,14.3996,975.2399
0.24,-38.8428,14.5073,974.9854
0.25,-39.0777,14.5954,974.9462
0.26,-39.0875,14.6346,975.2203
0.27,-38.7938,14.6150,974.8875
0.28,-38.6960,14.4094,975.2693
0.29,-38.6960,14.6639,975.4553
0.30,-39.0973,14.3996,975.2301
0.31,-38.9994,14.5171,974.6819
0.32,-38.9309,14.6444,975.0931
0.33,-38.8134,14.8206,975.5336
0.34,-39.1658,14.7227,975.4651
0.35,-38.8526,14.6150,974.8679
0.36,-38.9015,14.6444,975.1029
0.37,-38.9896,14.5660,975.5532
0.38,-39.0679,14.6150,975.3574
0.39,-38.9407,14.5660,975.4357
0.40,-38.9603,14.2920,975.2595
0.41,-38.8819,14.4486,974.9169
0.42,-38.5981,14.6639,974.5253
0.43,-38.8819,14.6150,975.2497
0.44,-38.9309,14.3703,974.9169
0.45,-39.2931,14.5367,974.5840
0.46,-38.8526,14.7031,975.0246
0.47,-38.8330,14.6346,975.0637
0.48,-39.0190,14.7716,975.0539
0.49,-38.7155,14.6052,975.0637
0.50,-38.9309,14.6737,974.9169
0.51,-38.7351,14.6150,974.6917
0.52,-38.7351,14.8108,975.1616
0.53,-38.7547,14.7912,975.2105
0.54,-38.5883,14.8108,975.1616
0.55,-38.8330,14.8304,975.2595
0.56,-38.8624,14.8108,975.5727
0.57,-38.7938,14.5465,975.0539
0.58,-39.1463,14.4486,975.3476
0.59,-38.5393,14.7325,975.4357
0.60,-38.6764,14.4779,974.8875
0.61,-38.8134,14.6541,974.9267
0.62,-38.5100,14.9282,974.6232
0.63,-38.5198,14.4094,974.7602
0.64,-38.7351,14.9576,975.6804
0.65,-38.7743,14.3311,974.9169
0.66,-39.0288,14.4388,974.7211
0.67,-38.9700,14.4975,974.9952
0.68,-39.1071,14.4094,975.0148
0.69,-38.8134,14.4975,975.0148
0.70,-38.8134,14.5465,974.8386
0.71,-38.7938,14.6737,975.0833
0.72,-38.6470,14.6737,974.9071
0.73,-38.7938,14.5367,974.8581
0.74,-38.8134,14.5563,975.6413
0.75,-38.8917,14.6150,974.9462
0.76,-38.7938,14.4584,975.2986
0.77,-38.7155,14.3115,975.4944
0.78,-38.9700,14.4584,974.8679
0.79,-38.7253,14.2234,975.5923
0.80,-38.9798,14.2822,975.4553
0.81,-38.9798,14.7814,974.9462
0.82,-38.9015,14.7227,974.8777
0.83,-39.0777,14.4388,974.7407
0.84,-38.7743,14.4682,975.1910
0.85,-38.9015,14.6444,975.3476
0.86,-39.0581,14.3801,975.5336
0.87,-38.7938,14.4290,974.7309
0.88,-39.0092,14.5269,974.9952
0.89,-38.7253,14.3703,975.6804
0.90,-38.6862,14.4779,975.4651
0.91,-39.1463,14.5465,975.0931
0.92,-38.9896,14.6052,974.9854
0.93,-38.7841,14.6346,974.7700
0.94,-38.7351,14.3115,975.6315
0.95,-38.7938,14.5171,974.7700
0.96,-38.6764,14.5758,974.7113
0.97,-38.7547,14.4682,974.9462
0.98,-38.8036,14.6346,975.7098
0.99,-38.5883,14.8793,975.3867
1.00,-38.5393,14.5465,975.6902
1.01,-38.6666,14.5269,975.6021
1.02,-38.7841,14.6150,975.3378
1.03,-38.8917,14.6737,975.0637
1.04,-38.6470,14.5954,975.4161
1.05,-38.7938,14.3605,974.7015
1.06,-38.8428,14.5954,974.9952
1.07,-38.3827,14.6933,975.1029
1.08,-39.0386,14.5465,974.6624
1.09,-38.7155,14.3409,974.5645
1.10,-39.0288,14.3115,974.8679
1.11,-39.0190,14.4877,975.2105
1.12,-38.7841,14.7716,975.3378
1.13,-38.7057,14.4094,975.2497
1.14,-38.5198,14.5563,975.2399
1.15,-38.6568,14.2724,975.6315
1.16,-38.6960,14.6052,975.1812
1.17,-38.7351,14.6150,975.0931
1.18,-39.1952,14.5563,974.8483
1.19,-38.9015,14.3409,975.3672
