#StationCode: 5AF0F
#EventDetectionTime: 2022-12-14T04:15:53.786790
#SamplingRate: 100.0
#NumPoints: 27121
#StartTime: 2022-12-14T04:14:22.590790Z
#pga_x: 0.61 gal
#pga_y: 0.56 gal
#pga_z: 4.20 gal
#pga_H: 0.83 gal
#pga: 4.28 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-22.0449,-2.3689,990.2660
0.01,-22.0644,-2.2417,990.3933
0.02,-22.0938,-2.6235,990.0605
0.03,-22.1036,-2.4570,990.4716
0.04,-22.0449,-2.2515,990.3150
0.05,-22.1819,-2.4962,990.0605
0.06,-22.1427,-2.4570,989.9822
0.07,-22.1623,-2.3592,990.2465
0.08,-22.1819,-2.3396,990.6282
0.09,-22.3287,-2.4277,990.3639
0.10,-22.0155,-2.5158,990.8338
0.11,-21.9763,-2.5158,990.0507
0.12,-22.1623,-2.5941,989.9332
0.13,-21.8882,-2.2515,990.4520
0.14,-22.1721,-2.5843,990.1975
0.15,-21.9078,-2.4277,990.7065
0.16,-22.3092,-2.6822,990.0409
0.17,-22.1623,-2.4179,990.2954
0.18,-22.1036,-2.3689,990.4912
0.19,-22.0449,-2.2808,990.1682
0.20,-22.0644,-2.5354,990.2465
0.21,-21.9861,-2.4570,990.7261
0.22,-22.2308,-2.6039,990.4325
0.23,-21.9567,-2.8780,990.1388
0.24,-22.2015,-2.4277,990.7065
0.25,-22.1232,-2.4668,990.4325
0.26,-22.0840,-2.5158,990.0996
0.27,-22.1917,-2.1829,990.2367
0.28,-22.0155,-2.2906,990.6282
0.29,-22.2994,-2.4375,990.1682
0.30,-22.0644,-2.4473,990.8338
0.31,-22.2798,-2.6626,990.5597
0.32,-21.8686,-2.5060,990.0800
0.33,-22.0644,-2.3787,990.1388
0.34,-22.1721,-2.6332,990.2269
0.35,-22.2211,-2.5549,990.5499
0.36,-22.0644,-2.4570,990.5010
0.37,-22.0938,-2.7213,990.0605
0.38,-21.9078,-2.4668,990.1877
0.39,-22.0449,-2.3396,990.4520
0.40,-21.9372,-2.5843,990.2171
0.41,-22.2994,-2.6724,990.6087
0.42,-22.1427,-2.6137,990.4814
0.43,-22.0449,-2.3298,990.9708
0.44,-22.0840,-2.6332,990.7946
0.45,-22.1330,-2.6822,990.0996
0.46,-22.3777,-2.4375,989.9136
0.47,-22.0449,-2.5745,990.5010
0.48,-21.9078,-2.2711,990.5989
0.49,-22.0742,-2.4962,990.6184
0.50,-22.0449,-2.4473,990.6478
0.51,-22.1623,-2.4473,990.3346
0.52,-22.3287,-2.5158,990.3346
0.53,-22.0742,-2.6235,990.2367
0.54,-21.8882,-2.5843,990.6184
0.55,-22.0155,-2.3102,990.3052
0.56,-22.2308,-2.4570,990.6576
0.57,-22.1819,-2.6137,990.2269
0.58,-22.0155,-2.7018,990.5891
0.59,-22.1917,-2.3885,989.9234
0.60,-21.9078,-2.4570,990.3444
0.61,-22.0742,-2.6332,990.2073
0.62,-22.1917,-2.4962,989.9724
0.63,-22.1036,-2.3200,989.7472
0.64,-22.1330,-2.5256,990.2367
0.65,-22.1525,-2.6137,990.3835
0.66,-21.9078,-2.7997,990.2269
0.67,-22.0155,-2.5941,989.9136
0.68,-22.2113,-2.3787,990.5108
0.69,-22.1623,-2.7899,989.7766
0.70,-22.1525,-2.4473,990.3150
0.71,-22.2211,-2.5843,990.1388
0.72,-21.9274,-2.7018,990.0703
0.73,-22.0253,-2.6430,990.3639
0.74,-22.0546,-2.7116,990.0115
0.75,-21.8001,-2.5158,990.5499
0.76,-21.8686,-2.3396,990.4912
0.77,-21.9078,-2.3592,990.2465
0.78,-21.9665,-2.3298,989.8353
0.79,-21.8784,-2.4766,990.1094
0.80,-21.9470,-2.4375,990.1486
0.81,-22.0253,-2.5158,990.5303
0.82,-21.9470,-2.5745,990.0898
0.83,-22.0938,-2.4766,990.5597
0.84,-21.9470,-2.6039,989.9822
0.85,-22.2602,-2.6822,989.9626
0.86,-21.8980,-2.3396,990.4325
0.87,-22.0155,-2.4570,990.4031
0.88,-21.9567,-2.4277,989.9038
0.89,-21.9665,-2.3885,990.1094
0.90,-22.2113,-2.5745,990.5695
0.91,-21.9861,-2.4081,990.4031
0.92,-21.8491,-2.5451,990.3444
0.93,-21.8882,-2.6039,990.1877
0.94,-22.1232,-2.6137,990.0507
0.95,-22.0351,-2.4668,989.9136
0.96,-22.4070,-2.2808,990.5695
0.97,-22.2896,-2.4570,990.2954
0.98,-22.2700,-2.5745,989.9038
0.99,-21.9959,-2.2221,990.0605
1.00,-22.2308,-2.3102,989.8451
1.01,-22.1623,-2.6235,990.5989
1.02,-22.3092,-2.5549,990.4325
1.03,-22.1232,-2.4375,990.3346
1.04,-21.9274,-2.2711,990.1192
1.05,-22.1232,-2.4375,990.3541
1.06,-22.1232,-2.6724,990.4031
1.07,-22.3287,-2.5060,990.2465
1.08,-22.1819,-2.4570,990.1584
1.09,-22.0644,-2.4668,990.1682
1.10,-22.0938,-2.5256,990.4716
1.11,-21.8784,-2.4864,989.9919
1.12,-22.0449,-2.4277,989.6787
1.13,-22.0155,-2.5941,990.3248
1.14,-22.1232,-2.5256,990.3346
1.15,-22.0644,-2.3885,990.4129
1.16,-22.3777,-2.3102,990.7751
1.17,-22.0155,-2.5451,990.5303
1.18,-21.9470,-2.4668,990.1682
1.19,-22.0644,-2.1732,989.8745
1.20,-22.2211,-2.4473,990.6380
1.21,-22.1819,-2.4179,990.8925
