#StationCode: 5AE28
#EventDetectionTime: 2022-12-14T00:24:57.731165
#SamplingRate: 100.0
#NumPoints: 26929
#StartTime: 2022-12-14T00:23:28.448165Z
#pga_x: 0.75 gal
#pga_y: 0.63 gal
#pga_z: 1.35 gal
#pga_H: 0.97 gal
#pga: 1.67 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-39.1169,14.3898,974.8092
0.01,-38.8428,14.6835,975.6510
0.02,-38.9896,14.5367,975.5629
0.03,-38.9211,14.4682,975.4846
0.04,-38.7938,14.4094,975.3378
0.05,-38.9700,14.7129,974.9756
0.06,-39.0875,14.3605,975.8077
0.07,-39.1854,14.5563,975.2497
0.08,-38.7938,14.8695,975.5042
0.09,-38.9309,14.7814,975.5042
0.10,-38.9113,14.5660,975.1420
0.11,-39.2344,14.3409,974.6917
0.12,-38.8917,14.7912,975.5140
0.13,-38.7645,14.7520,975.7783
0.14,-38.9994,14.4584,975.2497
0.15,-38.6764,14.6835,975.5434
0.16,-38.7547,14.9478,975.6217
0.17,-38.7743,14.3409,975.5042
0.18,-38.8624,14.5367,975.2497
0.19,-38.9700,14.4388,975.4944
0.20,-39.0288,14.3213,975.4161
0.21,-39.1365,14.4682,975.6902
0.22,-39.1169,14.5856,975.8468
0.23,-39.1463,14.6541,975.6413
0.24,-38.9896,14.5856,975.2986
0.25,-38.7938,14.5073,975.2008
0.26,-38.6568,14.5171,975.3574
0.27,-38.8134,14.4486,975.3965
0.28,-38.7547,14.7520,975.6119
0.29,-38.8722,14.5563,975.9545
0.30,-38.7547,14.5171,975.6021
0.31,-38.8526,14.5954,975.1910
0.32,-38.7743,14.6639,975.2105
0.33,-39.1463,14.4192,975.8468
0.34,-38.7645,14.2822,975.3182
0.35,-38.7938,14.6346,975.1910
0.36,-39.1560,14.7031,975.6021
0.37,-38.7547,14.6150,975.3867
0.38,-38.7743,14.4877,975.9839
0.39,-39.0190,14.5465,975.5727
0.40,-38.5883,14.6639,975.8566
0.41,-38.4414,14.5856,975.5140
0.42,-38.9211,14.4584,975.7489
0.43,-38.8134,14.4486,975.1616
0.44,-39.0092,14.5171,975.3476
0.45,-38.9603,14.4779,975.5042
0.46,-38.9211,14.2528,975.1127
0.47,-38.9407,14.3996,975.6119
0.48,-39.0679,14.5758,976.0328
0.49,-38.9896,14.7227,975.1029
0.50,-38.9896,14.6150,975.9056
0.51,-38.7938,14.2724,975.4651
0.52,-38.7645,14.3996,975.9937
0.53,-38.8722,14.7716,975.5532
0.54,-38.7645,14.7716,975.6706
0.55,-38.8624,14.7422,975.2986
0.56,-38.9798,14.3605,975.8370
0.57,-38.7547,14.8499,975.7294
0.58,-38.9603,14.6248,975.5336
0.59,-39.0484,14.6737,975.2301
0.60,-38.7449,14.5660,975.0050
0.61,-38.6666,14.4094,975.0441
0.62,-39.1952,14.3996,975.7196
0.63,-39.0777,14.2920,975.1224
0.64,-38.8036,14.4388,975.4357
0.65,-38.8232,14.5563,975.4553
0.66,-38.8526,14.6639,975.5434
0.67,-38.7449,14.7520,975.0343
0.68,-38.8917,14.6248,975.6902
0.69,-38.6862,14.6150,975.1029
0.70,-39.0484,14.6639,975.5434
0.71,-38.8330,14.7227,975.3378
0.72,-38.7547,14.6248,975.6902
0.73,-38.8330,14.6248,975.7294
0.74,-38.7449,14.5954,975.0833
0.75,-38.7743,14.4682,975.2301
0.76,-38.8526,14.7520,975.6021
0.77,-38.9896,14.6150,975.0735
0.78,-39.1560,14.8499,975.8273
0.79,-38.8330,14.5465,975.3476
0.80,-38.8722,14.7422,976.0622
0.81,-39.1169,14.5660,975.5238
0.82,-38.6764,14.5465,975.1910
0.83,-38.7449,14.5269,976.0622
0.84,-39.1756,14.6737,975.2595
0.85,-38.9407,14.6444,975.8273
0.86,-39.0581,14.4877,975.2889
0.87,-39.0386,14.7325,975.6021
0.88,-38.9896,14.5073,975.7098
0.89,-39.0875,14.5563,975.1616
0.90,-38.9211,14.4388,975.4748
0.91,-38.7938,14.6248,975.7098
0.92,-39.1560,14.6541,975.7979
0.93,-38.9700,14.5856,975.4553
0.94,-38.9015,14.6346,975.5727
0.95,-38.9603,14.7227,975.3770
0.96,-38.9211,14.6248,975.3378
0.97,-39.0190,14.1941,975.2497
0.98,-38.8624,14.7716,975.6413
0.99,-38.9113,14.5856,975.8468
1.00,-38.7547,14.4877,974.9756
1.01,-38.7155,15.0163,975.3965
1.02,-38.9015,14.8010,975.9154
1.03,-38.8428,14.4779,975.1616
1.04,-38.9015,14.5563,975.1322
1.05,-38.8917,14.7129,975.3672
1.06,-38.9309,14.6150,975.6902
1.07,-38.9309,14.6346,975.7587
1.08,-38.7449,14.4486,975.3672
1.09,-39.0386,14.5073,975.8566
1.10,-38.8819,14.6150,975.3672
1.11,-38.8624,14.7716,975.3378
1.12,-38.7351,14.5660,975.4259
1.13,-38.9211,14.5171,975.4161
1.14,-38.9700,14.7814,975.3476
1.15,-39.1365,14.6052,975.4553
1.16,-38.9700,14.4877,975.4846
1.17,-38.9896,14.5856,976.2188
1.18,-39.2148,14.6052,975.9741
1.19,-38.9700,14.8793,975.4553
