#StationCode: 5AE28
#EventDetectionTime: 2022-12-14T01:21:37.163452
#SamplingRate: 100.0
#NumPoints: 27220
#StartTime: 2022-12-14T01:20:04.975452Z
#pga_x: 0.65 gal
#pga_y: 0.57 gal
#pga_z: 1.52 gal
#pga_H: 0.86 gal
#pga: 1.75 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.8232,14.8010,975.8468
0.01,-39.0386,14.2234,975.3867
0.02,-39.0386,14.2234,975.7685
0.03,-39.1071,14.1647,975.8664
0.04,-39.0092,14.4094,976.0622
0.05,-39.0973,14.3801,975.7391
0.06,-38.8330,14.3409,975.3574
0.07,-38.5883,14.6835,975.4553
0.08,-38.6764,14.6639,975.3867
0.09,-39.0190,14.3507,975.1714
0.10,-38.9896,14.6737,975.9545
0.11,-38.9309,14.5171,975.9056
0.12,-39.0973,14.4682,975.8175
0.13,-38.9113,14.4877,975.8762
0.14,-38.9309,14.3996,975.8762
0.15,-38.9407,14.3703,975.7685
0.16,-38.9603,14.0179,976.0622
0.17,-38.9505,14.3898,975.9839
0.18,-38.8917,14.2920,975.7196
0.19,-38.8134,14.5856,975.6902
0.20,-38.9798,14.4094,975.4063
0.21,-38.8134,14.2528,976.2482
0.22,-38.9896,14.3898,975.6706
0.23,-38.9994,14.3213,975.5434
0.24,-38.9211,14.5269,975.6217
0.25,-39.1952,14.4584,975.2497
0.26,-39.1658,14.2136,975.3965
0.27,-39.0875,14.3017,975.9545
0.28,-39.1756,14.4584,975.3965
0.29,-39.0484,14.6346,975.5825
0.30,-38.9896,14.4094,975.9251
0.31,-38.8036,14.6639,975.4259
0.32,-39.0581,14.2626,974.8777
0.33,-39.0092,14.3017,975.1518
0.34,-38.8428,14.3703,975.8762
0.35,-38.7938,14.4290,976.1013
0.36,-38.9603,14.4290,975.9349
0.37,-39.0875,14.1549,975.8860
0.38,-38.8330,14.3507,975.1910
0.39,-39.0679,14.4192,975.5629
0.40,-38.9798,14.5563,975.4455
0.41,-38.9798,14.2528,976.1503
0.42,-39.1365,14.6933,975.9643
0.43,-39.0190,14.2528,975.3378
0.44,-38.9113,14.2528,975.6021
0.45,-39.0386,14.3115,975.7391
0.46,-39.2050,14.3311,975.1812
0.47,-38.8526,14.5465,975.4357
0.48,-38.8526,14.2920,975.7196
0.49,-38.9211,14.4192,975.7000
0.50,-39.1756,14.3996,975.4357
0.51,-38.8819,14.1451,975.5434
0.52,-38.9211,14.4094,975.4553
0.53,-38.9015,14.2039,975.3280
0.54,-38.8036,14.5660,975.8566
0.55,-38.9113,14.4192,975.5727
0.56,-39.1267,14.2234,975.6706
0.57,-38.8526,14.4779,975.6510
0.58,-38.9505,14.2920,975.7196
0.59,-38.8428,14.4192,975.6608
0.60,-38.9798,14.2039,975.4063
0.61,-38.9603,14.6052,975.0833
0.62,-38.8917,14.5367,975.1322
0.63,-39.0777,14.3801,975.2693
0.64,-38.9896,14.5269,975.7881
0.65,-38.9505,14.5856,975.9056
0.66,-38.7057,14.5073,975.5923
0.67,-39.1463,14.2039,975.7000
0.68,-39.0777,14.2920,975.6413
0.69,-38.6666,14.1941,975.8860
0.70,-38.7645,14.2136,976.0132
0.71,-38.6862,14.5465,975.6021
0.72,-38.9896,14.2822,975.2105
0.73,-38.8330,14.4486,974.9169
0.74,-38.9700,14.3409,975.6608
0.75,-38.9113,14.4584,975.7587
0.76,-38.8819,14.4779,975.2889
0.77,-38.8330,14.1941,974.9854
0.78,-38.8232,14.4877,975.2301
0.79,-39.0092,14.4388,975.7196
0.80,-38.5100,14.2234,975.3672
0.81,-38.8330,14.4682,975.1910
0.82,-38.8134,14.4094,975.4748
0.83,-38.8330,14.5856,975.2301
0.84,-38.7155,14.6248,975.0441
0.85,-38.9015,14.1843,975.2497
0.86,-38.9994,14.6346,975.4063
0.87,-39.1267,14.4975,975.9447
0.88,-38.9896,14.4094,975.3770
0.89,-38.9505,14.2430,975.5336
0.90,-38.5883,14.6052,975.1518
0.91,-38.6862,14.3898,975.1420
0.92,-38.6568,14.2430,975.6119
0.93,-38.8624,14.3311,975.8566
0.94,-38.9700,14.1255,975.3280
0.95,-38.7351,14.3703,975.3378
0.96,-38.7449,14.2234,975.6510
0.97,-39.0777,14.1158,975.1518
0.98,-39.0484,14.4975,976.0035
0.99,-38.7253,14.6444,976.0622
1.00,-38.7938,14.4094,975.4553
1.01,-38.7938,14.6933,975.7000
1.02,-38.8917,14.4877,975.9937
1.03,-39.1071,14.2430,975.3770
1.04,-38.5981,14.4584,975.2595
1.05,-38.9113,14.2430,975.7294
1.06,-38.8917,14.5269,976.0426
1.07,-38.7938,14.3801,975.3280
1.08,-38.9505,14.2626,975.5727
1.09,-38.8624,14.4388,975.3770
1.10,-38.8917,14.2920,975.8566
1.11,-39.0581,14.3801,975.8273
1.12,-38.9015,14.2039,975.7391
1.13,-38.8624,14.4975,975.7098
1.14,-38.7938,14.6737,975.2497
1.15,-38.9603,14.4094,975.1714
