#StationCode: 5AF0F
#EventDetectionTime: 2022-12-14T08:43:48.666705
#SamplingRate: 100.0
#NumPoints: 26913
#StartTime: 2022-12-14T08:42:19.542705Z
#pga_x: 0.62 gal
#pga_y: 0.58 gal
#pga_z: 2.29 gal
#pga_H: 0.85 gal
#pga: 2.45 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.9861,-2.6137,989.9919
0.01,-21.9470,-2.5256,990.2465
0.02,-22.2504,-2.4277,989.9822
0.03,-22.0644,-2.4864,990.7065
0.04,-21.9372,-2.6137,989.7179
0.05,-22.0351,-2.3102,990.0507
0.06,-21.9274,-2.5158,990.3639
0.07,-21.9567,-2.5843,990.1877
0.08,-22.0938,-2.5256,990.2073
0.09,-22.2504,-2.4081,989.6983
0.10,-21.9567,-2.6724,990.0996
0.11,-21.8589,-2.6039,989.7766
0.12,-21.9567,-2.3494,989.6689
0.13,-22.3581,-2.6920,990.4129
0.14,-22.0253,-2.6724,990.3737
0.15,-21.9470,-2.5354,990.5206
0.16,-22.0155,-2.3592,989.7276
0.17,-22.1134,-2.5549,990.0213
0.18,-21.8589,-2.3592,990.4325
0.19,-22.1134,-2.5354,990.2758
0.20,-22.1819,-2.7018,990.0996
0.21,-22.1036,-2.3787,990.7751
0.22,-22.0938,-2.3787,990.3541
0.23,-21.9176,-2.4864,990.1877
0.24,-22.1917,-2.2906,990.2269
0.25,-22.1134,-2.4570,990.2563
0.26,-21.9078,-2.4962,990.5695
0.27,-22.1134,-2.4179,990.2856
0.28,-21.9665,-2.4668,990.3639
0.29,-22.0840,-2.4277,990.3639
0.30,-22.2015,-2.4179,990.3639
0.31,-22.1232,-2.0753,990.0507
0.32,-21.9470,-2.4375,989.9724
0.33,-22.1427,-2.3396,990.2660
0.34,-22.1427,-2.4179,990.6674
0.35,-22.0449,-2.5745,990.6478
0.36,-22.1134,-2.4081,989.8843
0.37,-21.9763,-2.6235,990.3346
0.38,-21.7805,-2.4375,990.1094
0.39,-21.9078,-2.3200,990.1682
0.40,-21.7708,-2.5843,990.3835
0.41,-22.0840,-2.5158,990.0703
0.42,-22.0938,-2.7507,990.3052
0.43,-22.0742,-2.5647,990.2954
0.44,-21.9078,-2.6430,990.2367
0.45,-21.7805,-2.1829,990.1682
0.46,-21.8980,-2.5451,990.3737
0.47,-21.9274,-2.6822,989.9430
0.48,-21.8784,-2.4668,990.6576
0.49,-21.8980,-2.7703,990.1192
0.50,-22.0546,-2.5647,990.3933
0.51,-21.7120,-2.5745,990.3835
0.52,-21.9176,-2.3102,990.2856
0.53,-21.8295,-2.6724,990.4227
0.54,-21.9470,-2.4179,990.3248
0.55,-22.0644,-2.5060,989.8843
0.56,-21.8686,-2.5158,989.8549
0.57,-21.9470,-2.7409,990.0507
0.58,-21.6827,-2.4668,990.7359
0.59,-21.9470,-2.3592,990.3639
0.60,-22.0644,-2.7018,990.4227
0.61,-22.0742,-2.3787,990.1388
0.62,-22.2113,-2.2613,990.3150
0.63,-22.0938,-2.3689,990.7457
0.64,-21.9372,-2.4473,990.0213
0.65,-21.9567,-2.5941,990.3835
0.66,-21.8784,-2.5256,990.5108
0.67,-22.0644,-2.5060,990.0311
0.68,-21.9470,-2.5647,990.6282
0.69,-21.8882,-2.6039,990.3052
