#StationCode: 5AE28
#EventDetectionTime: 2022-12-12T03:48:05.095987
#SamplingRate: 100.0
#NumPoints: 26892
#StartTime: 2022-12-12T03:46:36.180987Z
#pga_x: 0.63 gal
#pga_y: 0.68 gal
#pga_z: 1.45 gal
#pga_H: 0.93 gal
#pga: 1.72 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.9603,14.4388,975.1518
0.01,-38.7841,14.3703,975.3280
0.02,-39.0777,14.2136,974.9952
0.03,-39.0386,14.2039,974.7505
0.04,-39.0386,14.3115,975.3182
0.05,-39.0581,14.4094,974.8679
0.06,-38.9211,14.6248,974.8973
0.07,-38.9603,14.3898,975.1812
0.08,-39.0190,14.4388,974.9658
0.09,-39.1071,14.5954,975.2595
0.10,-38.8819,14.4877,975.4651
0.11,-38.9211,14.4094,974.6526
0.12,-38.7057,14.4779,974.5938
0.13,-38.7743,14.3409,974.5743
0.14,-39.0973,14.4877,974.7505
0.15,-38.7938,14.4094,975.0246
0.16,-38.9798,14.4682,974.5351
0.17,-39.1267,14.6150,974.8288
0.18,-39.0092,14.3311,975.0735
0.19,-38.8330,14.4094,975.2301
0.20,-39.1854,14.5954,974.9658
0.21,-39.1952,14.5367,974.8581
0.22,-39.0288,14.6052,974.4176
0.23,-38.8722,14.7031,974.7896
0.24,-38.9700,14.7031,975.0539
0.25,-38.7155,14.6541,974.9560
0.26,-38.7645,14.4584,975.0148
0.27,-38.9015,14.4682,975.0637
0.28,-38.9700,14.4779,975.3770
0.29,-38.7938,14.5367,975.0931
0.30,-38.7645,14.5171,974.7700
0.31,-38.9896,14.5563,974.9462
0.32,-38.8819,14.6737,975.2595
0.33,-38.6666,14.6346,974.8190
0.34,-38.5491,14.4584,975.0539
0.35,-38.8134,14.5954,974.6819
0.36,-39.0092,14.5269,974.8190
0.37,-38.6960,14.5856,974.8679
0.38,-38.7155,14.4877,975.2301
0.39,-39.0386,14.5954,975.3182
0.40,-38.7253,14.7129,975.1420
0.41,-38.8232,14.6248,975.2693
0.42,-38.7645,14.5758,975.0735
0.43,-38.8624,14.8108,975.1127
0.44,-38.6568,14.4486,974.9854
0.45,-38.6568,14.4584,974.5351
0.46,-38.7938,14.4877,974.8875
0.47,-38.7253,14.6737,975.4161
0.48,-38.7253,14.4779,975.1322
0.49,-38.5883,14.7814,975.1518
0.50,-38.8526,14.4094,975.3965
0.51,-39.1952,14.5171,974.7798
0.52,-38.8428,14.7129,974.8483
0.53,-38.9700,14.3898,975.2008
0.54,-39.0386,14.5856,974.9071
0.55,-38.6176,14.7422,974.8679
0.56,-38.7253,14.4094,975.0246
0.57,-38.9015,14.5073,974.8288
0.58,-38.8624,14.3409,975.2497
0.59,-38.8036,14.5269,974.7015
0.60,-38.7645,14.3213,975.0343
0.61,-38.6960,14.2920,975.0637
0.62,-38.9407,14.5465,975.1420
0.63,-38.7938,14.6737,974.8679
0.64,-38.8722,14.3115,974.9854
0.65,-38.7253,14.4192,974.8288
0.66,-38.7155,14.4290,974.7407
0.67,-38.8428,14.6248,974.5253
0.68,-38.9798,14.6835,975.1420
0.69,-38.6274,14.6346,974.6036
0.70,-38.9113,14.6835,974.3589
0.71,-38.7743,14.6052,974.9071
0.72,-38.6960,14.6346,975.0148
0.73,-38.7743,14.6150,974.7211
0.74,-38.9896,14.6933,975.1127
0.75,-38.9505,14.3801,975.2497
0.76,-38.9407,14.6346,974.6134
0.77,-38.9211,14.5954,974.4959
0.78,-38.7547,14.6541,974.9267
0.79,-38.9994,14.6541,974.7407
0.80,-38.8330,14.6639,974.1338
0.81,-38.9798,14.6248,975.0246
0.82,-38.8232,14.2920,974.7407
0.83,-38.9896,14.4290,974.8679
0.84,-38.6176,14.5073,974.7505
0.85,-38.9015,14.4486,974.7994
0.86,-38.9309,14.4486,975.1224
0.87,-39.0386,14.4584,974.8092
0.88,-38.7743,14.7618,974.8973
0.89,-38.8722,14.3311,975.2497
0.90,-38.7938,14.3115,974.6624
0.91,-38.6960,14.8793,975.2399
0.92,-39.0581,14.6933,975.2595
0.93,-38.6079,14.6150,975.0539
0.94,-38.9407,14.5758,975.1616
0.95,-38.8134,14.4388,975.0050
0.96,-38.8526,14.3801,975.5042
0.97,-38.9798,14.2626,975.2008
0.98,-38.8819,14.4877,974.7015
0.99,-39.0288,14.4094,975.3867
1.00,-39.0092,14.3898,974.6624
1.01,-38.7449,14.4975,975.2986
1.02,-38.5981,14.5954,975.0637
1.03,-38.7938,14.4388,975.2693
1.04,-39.0288,14.6052,975.0148
1.05,-38.8036,14.6541,974.9560
1.06,-38.7351,14.7227,975.2399
1.07,-38.9505,14.5367,975.0343
1.08,-38.8624,14.5954,974.7798
1.09,-39.0386,14.3996,974.4862
1.10,-38.9309,14.4682,974.8386
1.11,-38.9798,14.2724,974.6819
1.12,-39.2148,14.6639,974.8483
1.13,-39.2931,14.4094,974.8679
1.14,-38.9896,14.4094,974.9071
1.15,-38.9896,14.5758,975.4944
1.16,-39.1267,14.4779,974.6134
1.17,-38.8232,14.4584,975.3182
1.18,-38.5002,14.6052,974.8483
1.19,-38.9994,14.4094,974.8483
1.20,-38.8232,14.7325,975.2693
1.21,-38.7938,14.6150,975.3672
1.22,-38.8232,14.4094,975.3672
1.23,-38.8428,14.7129,974.8483
1.24,-39.0288,14.4290,974.9071
1.25,-38.6764,14.5758,975.1910
1.26,-38.9896,14.3213,975.5336
1.27,-38.7449,14.6150,975.2693
1.28,-38.7743,14.4975,974.8386
1.29,-38.8819,14.8304,975.0637
1.30,-38.9603,14.7031,975.3182
1.31,-39.1463,14.6737,974.8875
1.32,-38.8917,14.5073,974.8092
1.33,-38.7547,14.3213,975.3574
1.34,-38.9015,14.4486,974.9560
1.35,-38.9309,14.3801,974.8679
1.36,-39.1854,14.1060,975.0246
1.37,-38.9603,14.3409,975.1910
1.38,-38.9896,14.3605,974.7505
1.39,-39.0679,14.6933,975.5825
1.40,-38.9407,14.4094,975.3574
1.41,-38.9994,14.4192,975.2889
1.42,-38.8819,14.4094,975.0050
1.43,-39.0190,14.1941,975.1322
1.44,-38.6862,14.7031,974.8973
1.45,-39.0386,14.4388,974.5743
1.46,-39.2246,14.2822,974.8777
1.47,-39.1463,14.5367,974.7602
1.48,-38.7253,14.4682,974.7309
1.49,-38.9896,14.2528,975.0539
1.50,-38.7253,14.5563,975.1812
1.51,-38.9994,14.4486,974.8483
1.52,-39.1463,14.5856,974.7700
1.53,-38.9896,14.6150,974.8581
1.54,-39.0777,14.4388,974.6917
1.55,-38.8232,14.5758,974.7407
1.56,-38.6372,14.8206,975.1224
1.57,-39.1463,14.3017,974.6721
1.58,-39.0386,14.8597,975.3476
1.59,-38.9798,14.7520,975.0050
1.60,-38.9700,14.3996,974.6721
1.61,-38.8917,14.2234,974.8777
1.62,-38.7449,14.3311,974.9560
1.63,-38.7841,14.6444,975.4455
1.64,-39.0092,14.6933,975.4161
1.65,-39.1952,14.2234,974.7994
1.66,-39.0190,14.6346,975.0539
1.67,-38.9407,14.2430,975.1322
1.68,-39.0288,14.5367,974.6428
1.69,-38.9896,14.4388,975.1322
1.70,-38.6470,14.6150,974.6917
1.71,-38.8134,14.7912,974.9169
1.72,-39.0581,14.8304,975.0050
1.73,-38.9700,14.4975,974.6526
1.74,-38.7938,14.6346,975.3770
1.75,-38.8722,14.3017,975.0637
1.76,-38.8330,14.6346,975.2203
1.77,-38.6666,14.6541,975.0539
1.78,-38.7938,14.8891,974.6624
1.79,-38.9309,14.6444,975.0637
1.80,-39.1169,14.4779,975.1127
1.81,-39.2050,14.4094,975.4455
1.82,-38.8232,14.5367,975.3280
1.83,-38.8819,14.6248,974.7602
1.84,-39.0386,14.3605,974.7505
1.85,-38.9211,14.6150,974.8973
1.86,-38.6568,14.6933,974.6526
1.87,-38.9113,14.6052,974.8288
1.88,-38.9994,14.6835,974.8092
1.89,-38.6176,14.6346,974.8875
1.90,-38.9603,14.4584,974.9169
1.91,-38.9505,14.7129,975.0050
1.92,-38.8526,14.6639,974.9658
1.93,-38.8624,14.5367,974.9658
1.94,-38.8917,14.7129,975.2889
1.95,-38.9603,14.7618,974.7700
1.96,-38.6764,14.6150,974.8483
1.97,-38.7841,14.5269,974.6330
1.98,-38.8428,14.6835,974.8092
1.99,-38.8232,14.4877,974.6624
2.00,-38.8526,14.3213,975.0539
2.01,-38.9113,14.6052,975.0050
2.02,-38.9505,14.3409,974.7602
2.03,-38.9309,14.3409,975.1910
2.04,-38.8330,14.4486,975.1714
2.05,-38.6960,14.6639,975.0539
2.06,-39.0777,14.6541,975.5042
2.07,-38.9994,14.3801,974.9560
2.08,-38.7938,14.4975,974.7896
2.09,-38.7645,14.5563,975.5532
2.10,-38.8036,14.4388,975.0148
2.11,-38.7351,14.6248,975.0833
2.12,-38.7547,14.7227,974.9462
2.13,-38.8036,14.2528,975.3182
2.14,-38.9603,14.5171,975.3182
2.15,-38.7253,14.6444,975.1910
2.16,-39.0288,14.6150,975.0050
2.17,-38.8722,14.3409,975.0637
2.18,-38.9700,14.3703,975.2791
2.19,-38.8722,14.5954,975.0441
2.20,-38.7449,14.3801,975.1029
2.21,-38.6079,14.1353,975.2791
2.22,-38.9309,14.5660,975.3770
2.23,-39.0484,14.4094,975.0931
2.24,-39.1267,14.4290,975.2595
2.25,-38.9211,14.2528,974.8875
2.26,-38.7351,14.4290,974.6819
2.27,-38.6274,14.4682,974.5840
2.28,-38.9015,14.2136,975.3867
2.29,-38.8722,14.2920,975.2986
2.30,-38.8036,14.3017,974.9658
2.31,-38.9113,14.3017,974.8679
2.32,-38.9015,14.4975,974.8483
2.33,-38.5393,14.4682,974.9854
2.34,-38.7351,14.3213,974.7602
2.35,-38.7938,14.0374,975.2399
