#StationCode: 5ADF9
#EventDetectionTime: 2022-12-12T01:37:10.329489
#SamplingRate: 100.0
#NumPoints: 30001
#StartTime: 2022-12-12T01:35:10.327489Z
#pga_x: 0.67 gal
#pga_y: 0.57 gal
#pga_z: 2.21 gal
#pga_H: 0.88 gal
#pga: 2.38 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-17.6692,-29.3866,987.0063
0.01,-17.7181,-29.0929,986.8986
0.02,-17.7181,-29.3572,987.1042
0.03,-17.6594,-28.8580,987.0552
0.04,-17.8356,-29.1321,987.2510
0.05,-17.6496,-29.0440,987.1238
0.06,-17.5321,-28.8972,987.1140
0.07,-17.8160,-29.0342,987.4566
0.08,-17.6985,-29.0929,987.1238
0.09,-17.7475,-29.2887,987.1433
0.10,-17.4636,-28.9657,987.4174
0.11,-17.8258,-29.2300,987.1923
0.12,-17.7866,-28.9657,987.0063
0.13,-17.8552,-29.0831,987.5936
0.14,-17.8943,-29.1615,987.1238
0.15,-17.6104,-29.1027,987.1042
0.16,-18.1880,-29.1810,987.1727
0.17,-17.6790,-29.3181,986.7126
0.18,-17.8356,-29.0636,986.8007
0.19,-17.9530,-29.1321,987.4174
0.20,-17.6985,-29.1419,987.1140
0.21,-17.6300,-29.1321,986.8693
0.22,-17.7866,-28.9363,987.0259
0.23,-17.7279,-29.2691,987.2119
0.24,-17.6692,-28.8874,987.2314
0.25,-17.7181,-29.3964,987.2902
0.26,-17.6594,-29.3181,986.6539
0.27,-17.9922,-29.2691,987.2314
0.28,-18.0803,-29.1125,986.9182
0.29,-17.6300,-29.1223,987.0650
0.30,-17.8258,-29.4747,987.2804
0.31,-17.7768,-29.4062,987.1238
0.32,-17.8845,-29.1223,986.5462
0.33,-17.6104,-29.2691,987.0161
0.34,-18.0216,-29.1223,986.7812
0.35,-17.4832,-29.3377,986.7322
0.36,-17.8356,-29.0831,987.0063
0.37,-17.5125,-29.2594,987.3000
0.38,-17.4734,-29.3377,987.2706
0.39,-17.5909,-29.2006,987.2119
0.40,-17.7475,-29.1615,986.9867
0.41,-17.9824,-29.1517,987.3098
0.42,-18.0118,-29.1027,987.3098
0.43,-17.7475,-29.0146,986.6539
0.44,-17.8062,-29.3279,986.9476
0.45,-17.7377,-29.3279,987.6426
0.46,-17.6790,-29.1810,987.0650
0.47,-17.4832,-29.1908,987.3391
0.48,-17.8258,-29.3670,987.0944
0.49,-17.6985,-29.2104,987.0748
0.50,-17.5223,-28.9950,987.6622
0.51,-17.6985,-29.3964,987.2608
0.52,-17.6300,-29.0831,987.4174
0.53,-17.9041,-29.2104,986.4483
0.54,-17.8649,-29.2104,987.1140
0.55,-17.7768,-29.1125,986.8888
0.56,-18.0216,-28.9853,987.4272
0.57,-18.1390,-29.4062,987.1336
0.58,-17.9139,-29.0831,986.8301
0.59,-17.8356,-29.1321,987.0650
0.60,-17.7279,-29.2398,986.7714
0.61,-17.7377,-29.1027,986.8203
0.62,-17.5321,-29.3181,987.2902
0.63,-17.9433,-29.2496,986.8595
0.64,-18.1978,-29.3768,987.2608
0.65,-18.0314,-29.1321,987.0846
0.66,-18.0020,-29.1517,986.7812
0.67,-17.9628,-29.0440,986.9182
0.68,-17.7279,-29.2006,987.3195
0.69,-17.5713,-29.1908,987.1336
0.70,-18.0118,-29.1810,987.0748
0.71,-17.8160,-29.1223,987.0063
0.72,-18.0118,-29.0048,986.9671
0.73,-17.8356,-29.1517,986.9084
0.74,-17.7083,-29.2398,987.0552
0.75,-18.0118,-29.0929,986.9182
0.76,-17.7866,-29.1517,986.9378
0.77,-17.6496,-29.3572,987.1238
0.78,-17.8649,-29.2006,987.3489
0.79,-17.6300,-29.0146,987.5447
0.80,-17.6790,-29.1223,987.3000
0.81,-17.7181,-29.0636,986.5168
0.82,-18.0411,-28.9363,986.8497
0.83,-18.0216,-29.2594,986.8007
0.84,-17.8649,-29.4062,987.2412
0.85,-17.8845,-29.3866,987.2902
0.86,-17.8062,-29.2496,986.6833
0.87,-17.4342,-29.1321,986.8105
0.88,-17.5909,-29.1810,987.4174
0.89,-17.6496,-29.3083,987.2314
0.90,-17.8062,-28.9461,986.7420
0.91,-17.5321,-29.3866,986.7126
0.92,-17.9139,-29.0146,986.9182
0.93,-17.6398,-29.1615,986.7126
0.94,-17.6887,-29.2496,986.5952
0.95,-17.7964,-29.0048,986.8497
0.96,-17.7768,-29.1712,986.9378
0.97,-17.5811,-29.1908,986.9867
