#StationCode: 5AF0F
#EventDetectionTime: 2022-12-13T03:59:25.348988
#SamplingRate: 100.0
#NumPoints: 26982
#StartTime: 2022-12-13T03:57:55.536988Z
#pga_x: 0.61 gal
#pga_y: 0.62 gal
#pga_z: 1.79 gal
#pga_H: 0.87 gal
#pga: 1.99 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.6729,-2.6528,989.9822
0.01,-22.1917,-2.7213,990.4325
0.02,-21.5358,-2.7801,989.9919
0.03,-21.8882,-2.7605,990.5010
0.04,-21.8393,-2.7018,990.1975
0.05,-21.6631,-2.6332,990.1975
0.06,-21.5260,-2.5060,990.4520
0.07,-21.7218,-2.6626,990.5891
0.08,-21.6729,-2.7409,990.1290
0.09,-21.6141,-2.5745,990.2856
0.10,-21.6337,-2.7018,990.3052
0.11,-22.0742,-2.8780,990.5695
0.12,-21.8589,-2.6137,990.4814
0.13,-21.7218,-2.4864,990.1682
0.14,-21.7022,-2.5941,989.4731
0.15,-21.8295,-2.5941,990.8142
0.16,-21.7708,-2.5549,990.6184
0.17,-21.6043,-2.3396,990.2269
0.18,-21.7708,-2.5158,990.4129
0.19,-21.7022,-2.6332,990.0898
0.20,-21.7316,-2.3592,989.9528
0.21,-21.9665,-2.2025,990.7653
0.22,-21.7022,-2.2123,990.4912
0.23,-21.7316,-2.3787,990.5695
0.24,-21.5456,-2.3494,990.4520
0.25,-21.5162,-2.6430,989.7668
0.26,-21.8197,-2.5158,990.3835
0.27,-21.6924,-2.3298,990.4716
0.28,-21.6631,-2.5647,990.2758
0.29,-21.8686,-2.4081,990.5597
0.30,-21.7022,-2.3983,990.7359
0.31,-21.8882,-2.5158,990.2465
0.32,-21.5065,-2.4081,989.9626
0.33,-21.8686,-2.6137,990.5891
0.34,-21.5554,-2.3298,990.5206
0.35,-21.7414,-2.4864,990.1682
0.36,-22.0742,-2.7018,990.8925
0.37,-21.5848,-2.6137,990.2758
0.38,-21.6924,-2.5158,990.5108
0.39,-21.6729,-2.5647,990.5597
0.40,-21.7316,-2.5647,990.5206
0.41,-21.8589,-2.7801,990.5401
0.42,-21.8197,-2.4375,990.3639
0.43,-21.7512,-2.3787,990.4325
0.44,-21.7805,-2.4473,990.3737
0.45,-21.8491,-2.8682,990.0996
0.46,-21.9274,-2.5451,990.7457
0.47,-21.8001,-2.5060,990.7946
0.48,-21.7610,-2.6528,990.6184
0.49,-21.6631,-2.9563,989.7864
0.50,-21.9274,-2.6626,990.3737
0.51,-21.7120,-2.9269,991.0394
0.52,-21.7218,-2.6724,990.4129
0.53,-21.6924,-2.6528,990.3933
0.54,-21.3009,-2.7409,990.2367
0.55,-21.6924,-2.6920,990.0605
0.56,-21.5946,-2.6332,990.0605
0.57,-21.5260,-2.4277,990.3737
0.58,-21.8099,-2.6039,990.2171
0.59,-21.7022,-2.6528,990.2758
0.60,-21.7022,-2.6626,990.2660
0.61,-21.7708,-2.7899,990.2171
0.62,-21.9274,-2.7018,990.3346
0.63,-21.8099,-2.7311,990.4520
0.64,-21.8882,-2.6137,990.7261
0.65,-21.6141,-2.7703,989.9626
0.66,-21.7120,-2.4864,990.2367
0.67,-21.7414,-2.8094,990.3933
0.68,-21.8393,-2.7703,990.6282
0.69,-21.6141,-2.7116,990.2171
0.70,-21.6631,-2.5549,989.8157
0.71,-21.6239,-2.5843,990.5499
0.72,-21.7805,-2.6528,990.7359
0.73,-21.8686,-2.7213,990.6576
0.74,-21.7708,-2.6332,990.7653
0.75,-21.9078,-2.4375,990.0115
0.76,-21.8393,-2.6822,990.5303
0.77,-22.0057,-2.6235,990.1388
0.78,-21.7120,-2.6235,990.5891
0.79,-21.8099,-2.6235,990.4031
0.80,-21.8882,-2.8486,989.9528
0.81,-21.6141,-2.4962,990.0703
0.82,-22.0840,-2.5354,990.3444
0.83,-21.7512,-2.6430,990.5695
0.84,-21.5848,-2.7116,990.3541
0.85,-21.7610,-2.6528,990.1290
0.86,-21.8589,-2.5745,990.3835
0.87,-21.8197,-2.5549,990.5793
0.88,-21.6337,-2.5843,990.7359
0.89,-21.6043,-2.6235,990.2758
