#StationCode: 5AF0F
#EventDetectionTime: 2022-12-08T04:41:28.924766
#SamplingRate: 100.0
#NumPoints: 26865
#StartTime: 2022-12-08T04:40:00.281766Z
#pga_x: 0.58 gal
#pga_y: 0.67 gal
#pga_z: 2.27 gal
#pga_H: 0.88 gal
#pga: 2.44 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.2128,-3.2695,990.6772
0.01,-21.2226,-2.9269,990.7163
0.02,-21.2617,-3.2793,990.0898
0.03,-21.0659,-3.0346,990.5010
0.04,-20.8604,-3.2500,990.7653
0.05,-21.0757,-3.0737,990.9904
0.06,-21.0562,-3.2402,990.4912
0.07,-21.1541,-3.0737,990.6478
0.08,-21.1051,-3.4849,990.6184
0.09,-21.0562,-3.2989,990.5597
0.10,-21.0953,-3.1521,990.8436
0.11,-21.3890,-3.2989,990.7849
0.12,-21.0953,-3.2597,989.8843
0.13,-21.0366,-3.0444,989.9528
0.14,-20.9974,-3.0444,990.4814
0.15,-20.8800,-3.0248,990.5597
0.16,-21.1736,-3.0835,990.5010
0.17,-21.2617,-3.1129,990.1192
0.18,-21.1149,-2.9661,990.5891
0.19,-21.1247,-3.1031,990.7946
0.20,-21.0757,-2.9661,990.4814
0.21,-20.8604,-3.1912,990.1192
0.22,-21.1736,-3.3772,990.6087
0.23,-20.8310,-3.1716,990.0409
0.24,-21.2519,-3.1423,990.4618
0.25,-21.2813,-3.1619,990.7751
0.26,-21.3596,-3.4164,990.7555
0.27,-20.9485,-3.3674,990.1094
0.28,-21.3400,-3.0737,990.1877
0.29,-21.2617,-3.0933,990.3346
0.30,-21.3009,-3.2500,990.5989
0.31,-21.2813,-3.4555,990.7653
0.32,-21.1541,-3.1325,990.2171
0.33,-21.0072,-3.2500,990.3639
0.34,-21.2128,-2.9954,990.5989
0.35,-21.1736,-3.1227,990.5010
0.36,-21.3107,-2.9171,990.5891
0.37,-21.0366,-3.1716,990.5108
0.38,-21.1149,-3.1619,990.3248
0.39,-21.1051,-3.1423,990.3248
0.40,-21.0170,-3.1129,990.7163
0.41,-21.0366,-3.0150,990.0017
0.42,-21.1834,-3.2010,990.7457
0.43,-21.1443,-3.2597,990.3639
0.44,-21.0170,-3.2010,990.4422
0.45,-21.1247,-3.1031,990.3248
0.46,-21.2324,-3.2010,990.4129
0.47,-21.2813,-3.3674,990.3150
0.48,-21.0562,-3.1325,990.3737
0.49,-20.9583,-3.0835,990.9513
0.50,-21.2030,-2.9661,990.3933
0.51,-21.2226,-3.0150,990.3933
0.52,-20.9583,-3.3772,990.0409
0.53,-21.2617,-3.1325,990.6772
0.54,-21.1443,-3.0933,990.6282
0.55,-20.8408,-3.1227,990.7946
0.56,-21.3009,-2.9954,989.9822
0.57,-21.1834,-3.0933,990.6184
0.58,-21.2324,-2.9171,990.0311
0.59,-21.1443,-2.8878,990.0800
0.60,-20.9289,-3.1716,990.7751
0.61,-20.9583,-3.1325,990.6674
0.62,-20.8995,-3.0150,990.5303
0.63,-21.0562,-3.2206,990.4912
0.64,-21.1541,-2.9465,989.7962
0.65,-21.1247,-3.1423,990.3444
0.66,-21.1149,-3.1031,990.9121
0.67,-21.1345,-3.3087,990.1388
0.68,-21.1736,-3.3283,990.1779
0.69,-21.3009,-3.2402,990.3835
0.70,-21.0757,-3.2793,990.5499
0.71,-21.1541,-3.2793,990.5989
0.72,-21.2226,-3.3968,990.8142
0.73,-20.8897,-3.3478,990.2073
0.74,-21.1932,-3.2597,989.9626
0.75,-21.0659,-3.2206,990.1682
0.76,-20.8995,-2.9954,990.4031
0.77,-20.9485,-3.3185,990.8338
0.78,-21.0268,-3.1619,990.3346
0.79,-21.0953,-3.3283,990.1094
0.80,-21.1736,-3.0933,990.0703
0.81,-20.9681,-3.1912,991.0296
0.82,-21.1638,-3.1716,990.7946
0.83,-21.1932,-3.0248,990.4129
0.84,-20.7233,-3.1227,989.7472
0.85,-21.1149,-3.0052,990.2758
0.86,-20.9289,-3.2206,990.4912
0.87,-21.2324,-3.5240,990.3248
0.88,-21.2617,-2.9367,990.5793
0.89,-21.4086,-3.2304,990.2563
0.90,-21.1834,-3.3087,990.3346
0.91,-21.1834,-3.4653,990.4031
0.92,-21.3890,-3.2304,990.1290
0.93,-21.2617,-3.3870,990.2465
0.94,-20.8897,-3.1521,990.2563
0.95,-21.2324,-3.2793,990.8044
0.96,-21.0464,-3.4555,990.5010
0.97,-21.3303,-3.3674,990.8436
0.98,-21.0659,-3.3674,990.5695
0.99,-21.1345,-3.3968,990.5303
1.00,-21.0953,-3.0444,990.6184
1.01,-20.9191,-3.1325,990.5891
1.02,-20.9289,-3.2108,991.0785
1.03,-21.0953,-3.2206,990.7261
1.04,-21.1247,-3.3870,990.1682
1.05,-20.9681,-3.2500,990.1975
1.06,-20.9289,-3.2304,990.2856
1.07,-21.1247,-2.9759,990.8044
1.08,-20.9387,-2.9856,990.3052
1.09,-20.8604,-3.0248,989.8549
1.10,-21.0855,-2.9465,989.8451
1.11,-21.1345,-2.9073,990.3541
1.12,-21.1638,-3.5045,990.6184
