#StationCode: 5AE28
#EventDetectionTime: 2022-12-08T07:39:04.631177
#SamplingRate: 100.0
#NumPoints: 27209
#StartTime: 2022-12-08T07:37:32.547177Z
#pga_x: 0.63 gal
#pga_y: 0.65 gal
#pga_z: 1.68 gal
#pga_H: 0.91 gal
#pga: 1.91 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.7057,14.7031,975.0539
0.01,-38.8917,14.5269,974.6428
0.02,-38.6862,14.6150,974.2316
0.03,-38.8917,14.8499,974.6232
0.04,-38.7547,14.7716,974.6526
0.05,-38.7938,14.5563,974.6526
0.06,-38.7645,14.9380,974.6036
0.07,-38.9798,14.8304,974.9560
0.08,-38.7841,14.5073,974.6036
0.09,-38.9994,14.4094,974.5547
0.10,-38.8428,14.5465,974.5155
0.11,-38.9700,14.5758,974.3295
0.12,-38.9309,14.4094,974.7407
0.13,-38.7743,14.6150,974.5938
0.14,-38.6862,14.6639,974.7896
0.15,-39.0777,14.6444,975.1322
0.16,-38.9407,14.6052,974.6526
0.17,-39.0679,14.8010,974.2610
0.18,-38.9211,14.7912,974.5351
0.19,-38.7743,14.5563,975.0833
0.20,-39.0875,14.3507,974.8973
0.21,-39.1854,14.4290,974.5351
0.22,-39.0386,14.5367,974.2023
0.23,-38.9407,14.5758,973.8890
0.24,-38.9211,14.5856,974.3100
0.25,-39.0973,14.7618,974.6134
0.26,-38.7938,14.9282,974.6721
0.27,-38.9798,14.5563,974.4176
0.28,-38.6862,14.8597,974.3981
0.29,-38.6274,14.8597,974.8386
0.30,-38.8819,14.6835,974.7309
0.31,-38.6960,14.6541,975.0050
0.32,-38.8526,14.3703,974.6721
0.33,-38.8819,14.2626,974.5645
0.34,-38.9896,14.2234,975.0246
0.35,-38.6079,14.5758,974.2414
0.36,-38.9798,14.6248,974.6819
0.37,-38.8722,14.5073,974.9462
0.38,-39.0092,14.6150,974.1142
0.39,-38.8624,14.6541,974.3883
0.40,-38.9309,14.5954,975.1127
0.41,-38.9896,14.7129,974.2806
0.42,-39.2539,14.9087,974.7113
0.43,-38.8428,14.7422,974.5645
0.44,-39.1952,14.4975,974.5645
0.45,-38.9798,14.7422,974.4666
0.46,-38.8232,14.8304,974.3589
