#StationCode: 5AE28
#EventDetectionTime: 2022-12-08T01:55:10.413623
#SamplingRate: 100.0
#NumPoints: 27024
#StartTime: 2022-12-08T01:53:40.178623Z
#pga_x: 0.63 gal
#pga_y: 0.68 gal
#pga_z: 1.31 gal
#pga_H: 0.92 gal
#pga: 1.60 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.9113,14.7227,974.4078
0.01,-38.8330,14.7129,974.4372
0.02,-39.0190,14.7814,974.7015
0.03,-38.9407,15.0066,974.8288
0.04,-38.9896,14.7031,973.8009
0.05,-38.6274,14.6835,974.6624
0.06,-38.7841,14.8891,974.7211
0.07,-38.7449,14.8793,975.2105
0.08,-38.7645,14.9478,974.2512
0.09,-38.8526,14.6346,974.4176
0.10,-38.7155,14.8499,974.4274
0.11,-38.8036,14.6444,974.7015
0.12,-38.9896,14.6150,974.6232
0.13,-38.8330,14.6150,974.7211
0.14,-38.5295,14.7716,975.3378
0.15,-38.7547,14.6835,974.4666
0.16,-38.6176,14.5269,974.7602
0.17,-38.6274,14.7618,974.8483
0.18,-39.0288,14.6444,974.7602
0.19,-38.7449,14.7325,974.8483
0.20,-38.6176,14.7129,974.6819
0.21,-38.9700,14.6639,974.6721
0.22,-38.7155,14.6150,974.3197
0.23,-38.9015,14.7129,974.8386
0.24,-38.6666,14.8108,974.4764
0.25,-38.7351,14.6150,974.1925
0.26,-38.7938,14.6444,974.5743
0.27,-38.8134,14.5465,974.7015
0.28,-38.5981,14.7227,974.6428
0.29,-38.7253,14.4192,974.8875
0.30,-38.8330,14.5660,974.9560
0.31,-38.6666,14.6933,975.2889
0.32,-38.5883,14.8108,974.6624
0.33,-38.6862,14.6444,975.0441
0.34,-38.6274,14.5758,974.3491
0.35,-38.6764,14.3213,974.8483
0.36,-38.6862,14.5563,974.8679
0.37,-38.7938,14.4975,974.9365
0.38,-38.7938,14.5856,974.7309
0.39,-38.8036,14.5856,975.3574
0.40,-38.6372,14.8010,974.8483
0.41,-38.5981,14.5465,974.7015
0.42,-38.6960,14.9576,974.6232
0.43,-38.5491,14.6052,974.8386
0.44,-38.8134,14.3801,974.5840
0.45,-38.6372,14.5758,975.2008
0.46,-38.8819,14.4486,974.9756
0.47,-38.6079,14.5660,974.6624
0.48,-38.6568,14.8108,974.5938
0.49,-38.6274,14.8401,975.2497
0.50,-38.6666,14.7129,975.2399
0.51,-38.7547,14.7422,974.8483
0.52,-38.9700,14.6346,974.6134
0.53,-38.7155,14.7227,974.9169
0.54,-38.7938,14.6346,975.0539
0.55,-38.7253,14.5171,974.9658
0.56,-38.6176,14.8597,974.8092
0.57,-38.9700,14.6933,974.7211
0.58,-38.8819,14.7422,975.1029
0.59,-38.5198,14.6444,975.1322
0.60,-38.6274,14.5660,974.2708
0.61,-38.6274,14.3703,974.5938
0.62,-38.7155,14.5563,974.8092
0.63,-38.6372,14.7129,974.9462
0.64,-38.4708,14.8206,974.6917
0.65,-38.7743,14.8304,974.3883
0.66,-38.9211,14.6835,974.5449
0.67,-38.7938,14.7325,974.8679
0.68,-38.5393,14.7227,974.9560
0.69,-38.8917,14.5269,974.3785
0.70,-39.0092,14.7031,974.1240
0.71,-38.9015,14.5758,974.6721
