#StationCode: 5AE28
#EventDetectionTime: 2022-12-08T02:06:51.883501
#SamplingRate: 100.0
#NumPoints: 27145
#StartTime: 2022-12-08T02:05:20.447501Z
#pga_x: 0.70 gal
#pga_y: 0.63 gal
#pga_z: 1.35 gal
#pga_H: 0.94 gal
#pga: 1.64 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-39.1463,14.4877,974.4862
0.01,-38.9700,14.5465,974.0457
0.02,-39.2148,14.6541,974.0554
0.03,-38.8819,14.6346,974.8483
0.04,-39.0777,14.6444,974.8973
0.05,-39.0288,14.5954,974.3393
0.06,-38.9309,14.4094,974.4764
0.07,-38.6666,14.6150,974.9462
0.08,-38.7057,14.4094,974.6624
0.09,-38.6666,14.3703,974.8973
0.10,-38.8819,14.4779,974.6526
0.11,-38.7057,14.6737,974.5645
0.12,-39.0777,14.3409,974.8973
0.13,-38.9309,14.4388,974.6526
0.14,-38.6176,14.7814,974.7309
0.15,-38.6568,14.4779,974.5057
0.16,-38.8036,14.8108,974.6526
0.17,-38.9994,14.3115,974.7896
0.18,-38.9603,14.6052,974.5057
0.19,-39.0386,14.5563,974.2414
0.20,-38.9700,14.6639,974.8483
0.21,-38.8917,14.4094,974.8777
0.22,-38.6372,14.6150,974.9365
0.23,-39.0092,14.5856,974.7015
0.24,-38.9015,14.6541,974.6428
0.25,-38.7938,14.5465,974.4764
0.26,-38.8722,14.6639,974.6036
0.27,-39.0288,14.5563,974.3785
0.28,-38.9211,14.6052,974.6526
0.29,-39.3029,14.2528,974.6526
0.30,-39.2246,14.4290,974.8483
0.31,-39.3322,14.4877,974.0848
0.32,-38.9211,14.5954,974.3981
0.33,-38.9798,14.4094,974.6819
0.34,-39.1756,14.3801,974.6819
0.35,-39.0288,14.5367,974.3981
0.36,-38.8624,14.5269,974.6232
0.37,-39.3029,14.4388,974.4470
0.38,-39.2050,14.4975,974.4372
0.39,-38.9896,14.4290,974.3197
0.40,-38.9015,14.3115,974.2806
0.41,-39.2148,14.7912,974.3002
0.42,-39.3029,14.7716,974.5155
0.43,-39.0973,14.6933,974.5057
0.44,-38.7155,14.6639,974.7407
0.45,-38.6960,14.8695,974.3981
0.46,-38.7253,15.0163,974.1533
0.47,-39.1952,14.3409,974.2414
0.48,-39.1169,14.3801,974.3100
0.49,-38.8722,14.7227,974.6526
0.50,-38.9407,14.6150,974.6134
0.51,-38.9309,14.5660,974.4078
0.52,-38.5883,14.4094,974.6428
0.53,-38.6960,14.5856,974.6232
0.54,-38.8330,14.5465,974.6721
0.55,-38.9896,14.7129,974.6036
0.56,-39.2539,14.7716,975.0637
0.57,-38.7253,14.5367,974.5155
0.58,-38.7253,14.6737,974.3785
0.59,-39.0777,14.7422,973.9575
0.60,-39.0875,14.6933,974.5840
0.61,-38.8526,14.9380,974.9462
0.62,-38.9113,14.5465,974.7700
0.63,-38.9211,14.6444,974.5938
0.64,-38.9113,14.4584,974.5449
0.65,-39.0288,14.7716,974.5253
0.66,-39.0875,14.6150,974.4666
0.67,-39.1071,14.5073,974.5840
0.68,-38.9015,14.6248,974.8386
0.69,-38.7253,14.8401,973.9575
0.70,-39.0092,14.5171,974.4176
0.71,-39.1365,14.6835,974.1435
0.72,-39.0386,14.6639,974.1435
0.73,-38.9309,14.6639,974.6526
0.74,-38.8134,14.8010,974.4372
0.75,-39.1756,14.7325,974.0457
0.76,-39.1952,14.4486,974.4078
0.77,-39.2344,14.5758,974.7407
0.78,-38.8917,14.5660,974.7407
0.79,-39.0190,14.5073,974.2708
0.80,-38.9994,14.7912,975.1127
0.81,-39.1560,14.7129,974.8288
0.82,-39.0875,14.6639,974.2219
0.83,-38.8526,14.6835,974.9854
0.84,-39.0484,14.6933,974.8777
0.85,-38.8722,14.6150,974.7407
0.86,-38.9603,14.8304,974.1142
0.87,-38.9994,14.6933,974.4568
0.88,-39.0288,14.6541,974.8679
0.89,-38.6176,14.8597,974.8483
0.90,-38.7547,14.5660,974.5351
0.91,-38.7645,14.6248,974.6134
0.92,-38.7938,14.7814,974.6721
0.93,-38.7841,14.7031,974.4764
0.94,-38.8917,14.5954,974.4274
0.95,-39.1267,14.5758,974.6134
0.96,-38.8134,14.5758,974.6721
0.97,-38.7449,14.4779,974.7896
0.98,-38.9700,14.4094,974.4470
0.99,-38.7841,14.6835,974.5743
1.00,-38.9015,14.5758,974.6232
1.01,-38.8036,14.6052,974.5840
1.02,-38.8036,14.8793,974.8386
1.03,-38.9015,14.5660,974.5743
