#StationCode: 5AF0F
#EventDetectionTime: 2022-12-15T02:51:06.950236
#SamplingRate: 100.0
#NumPoints: 27003
#StartTime: 2022-12-15T02:49:36.930236Z
#pga_x: 0.95 gal
#pga_y: 0.83 gal
#pga_z: 6.42 gal
#pga_H: 1.26 gal
#pga: 6.54 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.9665,-2.4375,990.5695
0.01,-22.1036,-2.5158,990.1975
0.02,-22.1917,-2.3298,990.7751
0.03,-22.2406,-2.7018,990.1486
0.04,-21.8001,-2.4766,990.5695
0.05,-22.1232,-2.5451,990.9219
0.06,-22.2113,-2.3592,990.4227
0.07,-22.0155,-2.4081,991.0296
0.08,-21.9567,-2.5647,990.2171
0.09,-22.1721,-2.4277,990.3541
0.10,-22.0155,-2.4668,990.6478
0.11,-21.9274,-2.9073,990.3346
0.12,-21.9665,-2.5256,990.6282
0.13,-21.9274,-2.6332,990.3835
0.14,-21.8784,-2.6430,990.3933
0.15,-22.0546,-2.5941,990.6772
0.16,-22.1232,-2.4864,990.2660
0.17,-21.8686,-2.7311,990.3835
0.18,-21.9078,-2.5549,990.7359
0.19,-21.9665,-2.5745,990.5793
0.20,-22.0644,-2.8682,990.4422
0.21,-21.9959,-2.7703,991.0100
0.22,-22.1525,-2.5158,990.6968
0.23,-22.1525,-2.5549,990.3933
0.24,-21.9959,-2.5256,990.2660
0.25,-22.0449,-2.4668,990.5597
0.26,-22.2994,-2.4081,990.7359
0.27,-21.9567,-2.5745,990.4618
0.28,-21.9567,-2.6039,990.6087
0.29,-22.1819,-2.7311,990.7163
0.30,-22.2504,-2.4570,990.9611
0.31,-22.1917,-2.7116,990.3639
0.32,-22.0644,-2.5256,990.2856
0.33,-22.1819,-2.6137,990.3639
0.34,-22.2308,-2.4864,990.5303
0.35,-22.2798,-2.5549,990.5401
0.36,-22.0155,-2.4375,990.5989
0.37,-22.1330,-2.5256,990.5206
0.38,-22.2504,-2.5451,990.3737
0.39,-22.0253,-2.7507,990.4227
0.40,-22.1134,-2.4375,990.5695
0.41,-22.2015,-2.5354,990.2758
0.42,-22.0644,-2.3689,990.5695
0.43,-22.1330,-2.3983,990.6968
0.44,-22.2015,-2.3102,990.1975
0.45,-22.2700,-2.5647,990.7457
0.46,-22.2015,-2.3592,990.6968
0.47,-22.2798,-2.5354,990.6380
0.48,-22.0938,-2.6626,990.2171
0.49,-22.1525,-2.5060,990.2171
0.50,-22.0351,-2.7311,990.4520
0.51,-22.0546,-2.4668,990.4618
0.52,-21.9861,-2.5354,990.4520
0.53,-21.9861,-2.7213,990.1975
0.54,-21.7805,-2.3885,990.1779
0.55,-22.1232,-2.7997,990.7751
0.56,-22.2602,-2.6137,990.5206
0.57,-22.1036,-2.3983,990.5499
0.58,-21.9176,-2.6626,990.3444
0.59,-22.1036,-2.6528,990.4716
0.60,-22.0742,-2.4277,990.5695
0.61,-22.0840,-2.4864,990.4814
0.62,-21.9861,-2.7899,990.6478
0.63,-21.8882,-2.7018,990.3639
0.64,-21.8686,-2.4081,990.2269
0.65,-22.0644,-2.4179,990.1584
0.66,-22.0938,-2.5158,990.5401
0.67,-22.0644,-2.5158,990.6674
0.68,-22.0742,-2.5158,990.5695
0.69,-21.8784,-2.4081,990.8044
0.70,-22.0253,-2.3592,990.5303
0.71,-22.0155,-2.3004,990.3933
0.72,-22.0351,-2.6528,990.3150
0.73,-22.0644,-2.4570,990.4618
0.74,-22.1525,-2.5158,990.2563
0.75,-22.2113,-2.7409,990.3150
0.76,-21.8686,-2.3592,990.5989
0.77,-22.2211,-2.4179,990.6674
0.78,-22.0938,-2.4179,990.5597
0.79,-22.3092,-2.4570,990.3444
0.80,-22.0938,-2.3689,990.8632
0.81,-22.0938,-2.5158,990.9415
0.82,-21.9763,-2.5256,990.8436
0.83,-22.2015,-2.6332,990.7261
0.84,-21.9470,-2.6920,990.4031
0.85,-22.2308,-2.7899,990.7555
0.86,-22.1134,-2.5158,990.1486
0.87,-22.3973,-2.3885,990.2660
0.88,-21.9470,-2.5647,990.3248
0.89,-21.8686,-2.5549,990.5695
0.90,-22.1036,-2.4081,990.7555
0.91,-22.2015,-2.6430,990.0898
0.92,-21.9470,-2.5745,990.1290
0.93,-22.4462,-2.5647,990.0409
0.94,-22.2406,-2.7311,990.5303
0.95,-22.1623,-2.5451,991.0100
