#StationCode: 5AF0F
#EventDetectionTime: 2022-12-09T03:51:06.508039
#SamplingRate: 100.0
#NumPoints: 27151
#StartTime: 2022-12-09T03:49:35.008039Z
#pga_x: 0.60 gal
#pga_y: 0.68 gal
#pga_z: 2.34 gal
#pga_H: 0.90 gal
#pga: 2.51 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.0464,-3.4849,990.5793
0.01,-21.0953,-3.5338,990.5010
0.02,-21.2324,-3.3283,989.9626
0.03,-21.1541,-3.1325,990.6968
0.04,-21.1736,-3.2793,990.7751
0.05,-21.2911,-3.2108,990.5695
0.06,-21.2617,-3.4653,991.0394
0.07,-21.2617,-3.2402,990.0703
0.08,-21.4184,-3.3283,990.4422
0.09,-21.2128,-3.4555,990.7163
0.10,-21.2030,-2.9856,990.6870
0.11,-21.1149,-3.3087,990.5793
0.12,-21.3400,-3.1227,990.5206
0.13,-21.2617,-3.4457,990.7065
0.14,-21.3205,-3.3283,990.1584
0.15,-21.1443,-3.3772,990.7163
0.16,-21.1247,-3.3478,990.8925
0.17,-21.3303,-3.2402,990.5108
0.18,-21.1932,-3.2891,990.3639
0.19,-21.0464,-3.6317,990.4227
0.20,-21.2911,-3.1814,990.3052
0.21,-21.3107,-3.4849,990.4031
0.22,-21.2911,-3.4555,990.2563
0.23,-21.4477,-3.1716,989.7864
0.24,-21.2519,-3.3968,990.7163
0.25,-21.4086,-3.2989,990.4325
0.26,-21.3107,-3.4262,990.5303
0.27,-21.6533,-3.1521,990.3346
0.28,-21.1443,-3.1716,991.2449
0.29,-21.3205,-3.1227,990.5597
0.30,-21.4575,-3.3185,990.4325
0.31,-21.3205,-3.2500,990.1486
0.32,-21.3596,-3.2402,990.5597
0.33,-21.3107,-3.0835,990.6772
0.34,-21.5162,-3.1227,990.4325
0.35,-21.2128,-3.1325,990.4716
0.36,-21.2813,-3.4164,990.5891
0.37,-21.3009,-3.3870,990.8436
0.38,-21.2128,-3.2206,990.4325
0.39,-21.3107,-3.2891,990.7261
0.40,-21.3205,-3.3283,990.3346
0.41,-21.0562,-3.4751,990.6674
0.42,-21.1932,-3.2500,990.2367
0.43,-21.4869,-3.2206,990.8534
0.44,-21.3596,-3.1423,990.7751
0.45,-21.3988,-3.2402,990.5401
0.46,-21.1541,-2.9563,990.2660
0.47,-21.1345,-3.1814,990.5108
0.48,-21.4086,-3.2206,990.4325
0.49,-21.3205,-3.2206,990.6674
0.50,-21.2715,-3.0150,990.8240
0.51,-21.2324,-3.2206,990.7653
0.52,-21.3107,-3.0640,990.6380
0.53,-21.5162,-3.3087,989.9430
0.54,-21.3303,-3.0835,989.8353
0.55,-21.3694,-3.3381,990.9219
0.56,-21.2422,-3.2402,990.3835
0.57,-21.3890,-3.2108,990.1192
0.58,-21.2715,-3.1912,989.8843
0.59,-21.2324,-3.1912,990.6380
0.60,-21.2617,-3.2793,990.5206
0.61,-21.1638,-3.1619,990.6478
0.62,-21.1541,-3.2695,990.3248
0.63,-21.2617,-3.2010,990.4912
0.64,-21.2911,-3.1716,990.2856
0.65,-21.3205,-3.4653,990.3639
0.66,-21.2128,-3.2304,991.1666
0.67,-21.1443,-3.3772,990.4129
0.68,-21.2617,-3.2597,990.3052
0.69,-21.3303,-3.4849,990.4031
0.70,-21.2324,-3.2500,990.6282
0.71,-21.2030,-3.3283,990.5499
0.72,-21.3890,-3.2206,990.2171
0.73,-21.3890,-3.1716,990.6576
0.74,-21.2519,-3.0933,990.6478
0.75,-21.2617,-2.9465,990.8632
0.76,-20.9485,-3.2891,990.7457
0.77,-21.0757,-3.3185,990.5499
0.78,-21.1345,-3.3283,990.8044
0.79,-21.1149,-3.1814,990.2856
0.80,-21.4869,-3.5045,990.1975
0.81,-21.2519,-3.1521,990.6870
0.82,-21.3890,-3.1619,990.6576
0.83,-21.2617,-3.2793,990.3835
0.84,-21.5162,-3.4066,989.8549
0.85,-21.3498,-3.1619,990.6576
0.86,-21.4086,-3.1521,991.1764
0.87,-21.3303,-3.4947,990.3835
0.88,-21.1736,-3.1814,990.1290
0.89,-21.2617,-3.1325,990.1779
0.90,-21.2030,-3.1521,990.9317
0.91,-21.5750,-3.3283,990.7653
0.92,-21.1834,-3.2010,990.1779
0.93,-21.1051,-3.2206,990.2171
0.94,-21.1443,-3.4164,990.1290
0.95,-21.1345,-3.4164,990.5597
0.96,-21.6239,-3.0542,990.8044
0.97,-21.3498,-3.2402,990.2758
0.98,-21.3792,-3.1423,990.6576
0.99,-21.3205,-3.2597,990.5695
1.00,-21.2324,-3.3381,990.5010
1.01,-21.0953,-2.9856,990.8436
1.02,-21.1638,-3.3674,991.0002
1.03,-21.0757,-3.3283,990.5793
1.04,-21.1834,-3.2010,990.5695
1.05,-21.2422,-3.2402,990.9904
1.06,-21.4575,-3.2793,990.6674
1.07,-21.0072,-3.1619,990.4129
1.08,-21.1051,-3.1325,991.0296
1.09,-21.0072,-3.2793,990.7555
1.10,-21.2617,-3.0835,991.0100
1.11,-21.2030,-2.9856,990.4716
1.12,-21.3009,-3.3087,990.3737
