#StationCode: 5AF0F
#EventDetectionTime: 2022-12-09T01:42:06.494659
#SamplingRate: 100.0
#NumPoints: 27017
#StartTime: 2022-12-09T01:40:36.338659Z
#pga_x: 1.39 gal
#pga_y: 1.04 gal
#pga_z: 6.50 gal
#pga_H: 1.74 gal
#pga: 6.72 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-21.3792,-3.4555,990.3639
0.01,-21.1638,-3.4751,989.9626
0.02,-21.2030,-3.4751,990.0213
0.03,-21.2519,-3.4555,990.0017
0.04,-21.2813,-3.3283,990.5206
0.05,-21.2422,-3.4359,990.1486
0.06,-21.0464,-3.4262,989.9430
0.07,-21.1834,-3.3087,990.2367
0.08,-21.2715,-3.4947,990.0898
0.09,-21.3694,-3.3283,990.0311
0.10,-20.9876,-3.3478,989.9822
0.11,-21.3498,-3.3283,990.1388
0.12,-21.0464,-3.2500,989.9919
0.13,-21.2617,-3.2402,989.7766
0.14,-20.7723,-3.2793,990.0996
0.15,-21.2911,-3.3772,989.8745
0.16,-21.0855,-3.1521,990.1290
0.17,-21.3890,-3.2402,990.3444
0.18,-21.2128,-3.1912,989.7766
0.19,-21.3303,-3.2500,990.1192
0.20,-21.1051,-3.5045,990.0898
0.21,-20.8995,-3.4164,990.2367
0.22,-21.5260,-3.3674,990.5010
0.23,-21.4184,-3.3772,990.0898
0.24,-21.1345,-3.4751,990.1975
0.25,-21.3694,-3.3283,990.4520
0.26,-21.2715,-3.2108,990.1779
0.27,-21.3205,-3.4066,990.5108
0.28,-21.3596,-3.3870,990.4031
0.29,-21.4575,-3.2500,989.8353
0.30,-21.2715,-3.1619,990.1290
0.31,-21.3792,-3.4457,989.9136
0.32,-21.2519,-3.1716,989.8451
0.33,-21.3400,-3.3185,990.3933
0.34,-21.4281,-3.5143,989.8060
0.35,-21.0659,-3.3283,990.3639
0.36,-21.2324,-3.4653,989.7668
0.37,-21.3205,-3.3576,990.5010
0.38,-21.2422,-3.3576,989.7668
0.39,-20.9778,-3.4947,990.3639
0.40,-21.4086,-3.5143,990.0017
0.41,-21.1345,-3.2597,990.4129
0.42,-20.9876,-3.6513,990.3346
0.43,-21.2617,-3.0542,990.5108
0.44,-21.3303,-3.2597,989.9626
0.45,-21.0659,-3.4947,990.2465
0.46,-21.4379,-3.4164,989.5025
0.47,-21.1247,-3.2206,990.0898
0.48,-21.2617,-3.2500,990.2269
0.49,-21.1638,-3.0150,989.9136
0.50,-21.1834,-3.3185,990.4031
0.51,-21.3205,-3.3283,990.0507
0.52,-21.3303,-3.1619,990.3737
0.53,-21.3205,-3.3283,990.1388
0.54,-21.4184,-3.4947,989.6591
0.55,-21.2226,-3.1814,990.7555
0.56,-21.0268,-3.2597,990.4716
0.57,-21.1736,-3.4457,990.4031
0.58,-20.8506,-3.1619,990.3541
0.59,-21.2226,-3.3478,990.1290
0.60,-21.2422,-3.1814,990.1192
0.61,-21.0855,-3.0248,990.6184
0.62,-21.2519,-3.3185,990.2660
0.63,-21.1736,-2.9563,990.5597
0.64,-21.0562,-3.0444,990.0898
0.65,-21.2715,-3.4751,990.0800
0.66,-21.2813,-3.3087,989.7668
0.67,-21.3107,-3.2500,990.2563
0.68,-21.3009,-3.3283,990.5695
0.69,-21.2617,-3.2500,989.9822
0.70,-21.2813,-3.3478,990.0017
0.71,-21.0953,-3.5534,990.4716
0.72,-21.1051,-3.5632,990.0996
0.73,-21.3694,-3.2206,989.7179
0.74,-21.3498,-3.2108,990.2660
0.75,-21.4184,-3.2500,990.1388
0.76,-21.2030,-3.1521,989.9430
0.77,-21.2617,-3.2891,990.1290
0.78,-21.5162,-3.3674,990.0800
0.79,-21.0268,-3.3185,990.0409
0.80,-21.2617,-3.1423,989.7668
0.81,-20.9289,-3.3087,989.9626
0.82,-21.4575,-3.5436,990.2367
0.83,-21.3303,-3.1325,989.9919
0.84,-21.0562,-3.2500,990.1094
0.85,-21.0953,-3.3870,989.8647
0.86,-21.4086,-3.2695,989.5710
0.87,-21.2519,-3.1227,989.9626
0.88,-21.3303,-3.2108,990.5695
0.89,-21.1541,-3.3870,990.2856
0.90,-21.0366,-3.5045,989.9332
0.91,-21.0170,-3.4359,989.9234
0.92,-21.2030,-3.2108,989.9724
0.93,-21.4967,-3.3674,989.9919
0.94,-21.3792,-3.4164,990.5793
0.95,-21.4477,-3.3576,989.9528
0.96,-21.4575,-2.9856,990.1779
0.97,-21.1541,-2.9954,990.1388
0.98,-20.9485,-3.1814,990.1584
0.99,-21.3400,-3.3087,990.0605
1.00,-21.2030,-3.1716,990.2367
1.01,-21.5065,-3.2695,990.1975
1.02,-21.0366,-3.1129,990.4031
1.03,-21.1051,-3.1325,990.2171
1.04,-21.2030,-3.3283,989.8647
1.05,-21.2324,-3.1716,990.4031
1.06,-21.0464,-3.4359,989.8157
1.07,-21.0659,-3.2304,989.9626
1.08,-21.3596,-3.2108,990.3933
1.09,-21.3694,-3.3185,990.1486
1.10,-21.3009,-3.2304,990.3150
1.11,-21.1736,-3.1227,990.0115
1.12,-21.4086,-3.4457,990.5010
1.13,-21.1443,-3.4359,990.3248
1.14,-21.5065,-3.4262,990.4814
1.15,-21.2519,-3.4555,990.0213
1.16,-21.2911,-3.2206,989.7179
1.17,-21.1051,-3.1227,990.3933
1.18,-21.3009,-3.3772,990.1877
1.19,-21.2813,-3.2108,990.5695
1.20,-21.3596,-3.2793,990.5401
1.21,-21.2324,-3.1423,990.0996
1.22,-21.2911,-3.1325,989.8353
1.23,-21.4184,-2.8486,989.6395
1.24,-21.3400,-3.5436,990.0800
1.25,-21.1443,-3.1227,990.2563
1.26,-21.3890,-3.0737,989.8745
1.27,-21.4771,-3.3576,989.8451
1.28,-21.4477,-3.1227,990.5303
1.29,-21.3205,-3.3968,990.0115
1.30,-21.2422,-3.0933,990.2856
1.31,-21.4673,-3.1423,989.9626
1.32,-21.6141,-3.2500,990.3639
1.33,-21.6729,-3.2989,989.9430
1.34,-21.5065,-3.4066,990.3346
1.35,-21.3890,-3.2597,989.9430
1.36,-21.4575,-3.1227,990.5891
1.37,-21.4477,-3.2989,990.0605
1.38,-21.2813,-3.0933,989.4340
1.39,-21.3303,-3.2402,990.0507
1.40,-21.4281,-3.2108,990.2269
1.41,-21.3694,-3.2108,989.2871
1.42,-21.3498,-3.1227,989.6983
1.43,-21.1541,-3.1521,990.0996
1.44,-21.3498,-3.1227,989.8060
1.45,-21.3009,-3.2793,990.0213
1.46,-21.2128,-3.2695,990.0213
1.47,-21.3107,-3.2304,989.7668
1.48,-21.3009,-3.1227,990.2465
1.49,-21.4086,-3.3870,989.7864
1.50,-21.3400,-3.2695,990.1388
1.51,-21.2617,-3.0444,989.5906
1.52,-21.2128,-3.1423,989.9724
1.53,-21.1932,-3.3283,990.0213
1.54,-21.3400,-3.4262,990.4618
1.55,-21.2617,-3.2206,990.1290
1.56,-21.0855,-3.1814,990.2856
1.57,-21.3890,-3.3087,989.7472
1.58,-21.2813,-3.2891,989.3557
1.59,-21.2422,-3.3283,990.3933
1.60,-21.2617,-3.5143,990.1192
1.61,-21.3694,-3.4164,989.8843
1.62,-21.4477,-3.0248,990.1682
1.63,-21.2617,-2.9856,990.1779
1.64,-21.6141,-3.5045,989.6689
1.65,-21.1051,-3.3576,990.0605
1.66,-21.2715,-3.3381,989.9528
1.67,-21.4086,-3.2304,990.4912
1.68,-21.3890,-3.4066,990.1192
1.69,-21.2422,-3.3185,990.0996
1.70,-21.3009,-3.1031,989.9626
1.71,-21.5652,-3.4751,990.0311
1.72,-21.6533,-3.2793,989.5417
1.73,-21.3988,-3.2597,990.2269
1.74,-21.1345,-3.2891,990.4227
1.75,-21.4673,-3.2695,990.2660
1.76,-21.4673,-3.2500,990.2758
1.77,-21.1541,-3.3087,989.8647
1.78,-21.3890,-3.3870,989.8451
1.79,-21.3988,-3.3381,990.3444
1.80,-21.4184,-3.2108,990.2367
1.81,-21.4575,-3.4164,990.0898
1.82,-21.3988,-3.2402,989.9626
1.83,-21.3890,-3.3968,989.5025
1.84,-21.3205,-2.8094,989.8745
1.85,-21.3498,-3.2500,989.5123
1.86,-21.1638,-3.3283,990.1486
1.87,-21.3205,-3.3968,990.4716
1.88,-21.4575,-2.9171,989.8843
1.89,-21.4379,-2.9367,990.0409
1.90,-21.4184,-3.4947,989.8255
1.91,-21.5260,-3.3478,990.2563
1.92,-21.4086,-3.1227,989.9919
1.93,-21.3596,-2.8584,990.4912
1.94,-21.2422,-2.8878,990.3639
1.95,-21.2911,-2.9954,990.4031
1.96,-21.3205,-3.3772,990.0996
1.97,-21.2813,-3.3283,989.9724
1.98,-21.2030,-3.3087,990.1779
1.99,-21.5848,-3.6415,990.2073
2.00,-21.3596,-3.3478,990.3444
2.01,-21.3205,-3.2304,990.2367
2.02,-21.3400,-3.1325,989.8255
2.03,-21.2519,-3.2793,990.1975
2.04,-21.2617,-3.3087,990.3639
2.05,-21.2226,-3.2108,990.3248
2.06,-21.1247,-3.1912,989.8647
2.07,-21.0268,-3.2597,990.3639
2.08,-21.4967,-3.2108,989.9234
2.09,-21.3792,-3.0150,989.6983
2.10,-21.2911,-3.1716,990.2171
2.11,-21.0953,-3.2108,990.2465
2.12,-21.2617,-3.2989,989.4829
2.13,-20.9387,-3.2010,989.9822
2.14,-21.1051,-3.0052,989.6004
2.15,-21.3400,-3.1814,989.9234
2.16,-21.2911,-3.3185,989.6004
2.17,-21.1051,-3.1325,990.4520
2.18,-21.4869,-3.2891,990.3052
2.19,-21.1932,-3.0150,990.0898
2.20,-21.4184,-3.3772,989.7766
2.21,-21.2617,-3.2206,989.9724
2.22,-21.5652,-2.8780,989.8255
2.23,-21.2715,-3.0640,989.7864
2.24,-21.3009,-3.4947,989.5710
2.25,-21.3596,-3.3478,989.8157
2.26,-21.3890,-3.4066,990.1877
2.27,-21.4281,-3.2304,990.3052
2.28,-21.4771,-3.2989,990.5793
2.29,-21.2813,-3.4947,989.6102
2.30,-21.2715,-3.3087,989.9724
2.31,-21.2519,-3.4947,990.2073
2.32,-21.3400,-3.4164,989.9626
2.33,-21.3498,-3.3478,989.7864
2.34,-21.3009,-3.2304,989.7668
2.35,-21.3890,-3.1129,989.9234
2.36,-21.3596,-3.3381,990.4422
2.37,-21.3596,-3.4947,990.3444
2.38,-21.2324,-3.0346,989.9626
2.39,-21.3988,-3.1521,989.9038
2.40,-21.6533,-3.5240,989.9626
2.41,-21.6043,-3.5240,990.1779
2.42,-21.1345,-3.4066,990.5891
2.43,-21.4086,-3.1423,989.6200
2.44,-21.3009,-3.0150,990.1584
2.45,-21.0757,-2.9269,990.2269
2.46,-21.2422,-3.1716,989.9038
2.47,-21.3694,-3.2695,990.0605
2.48,-21.2617,-3.2108,990.1975
2.49,-21.0659,-3.2304,989.3263
2.50,-21.2617,-3.3576,989.7668
2.51,-21.3596,-3.1423,990.0409
2.52,-21.3988,-3.0933,990.1584
2.53,-21.2911,-2.9465,989.7570
2.54,-21.2519,-3.2304,989.6983
2.55,-21.2813,-3.2891,989.4829
2.56,-21.2813,-3.2108,990.0996
2.57,-21.3988,-3.3283,989.8745
2.58,-21.2911,-3.0542,990.1486
2.59,-21.2519,-3.1325,990.3444
2.60,-21.2030,-3.1814,989.7864
2.61,-21.2422,-3.1521,989.5710
2.62,-20.9387,-3.1814,990.3639
2.63,-21.1541,-3.1521,989.9919
2.64,-21.2813,-3.2597,990.0409
2.65,-21.3303,-3.3772,990.1486
2.66,-21.3400,-3.3087,989.5123
2.67,-21.3303,-3.1227,990.4520
2.68,-21.3792,-3.1031,989.8549
2.69,-21.3303,-3.3478,990.2660
2.70,-21.5358,-3.3772,989.8941
2.71,-21.3303,-3.2989,990.0605
2.72,-21.5554,-3.5730,989.9332
2.73,-21.2715,-3.2793,989.6787
2.74,-21.4477,-3.2695,989.6983
2.75,-21.2617,-3.2108,989.5221
2.76,-21.5260,-3.4066,989.9332
2.77,-21.3988,-3.3283,990.5695
2.78,-21.4379,-3.4751,990.3052
2.79,-21.2715,-3.5926,990.1192
2.80,-21.2617,-3.3576,989.5612
2.81,-21.2617,-3.2304,989.7276
2.82,-21.6337,-3.5436,990.5597
2.83,-21.1736,-3.1912,989.9038
2.84,-21.3596,-3.5534,990.0996
2.85,-21.4281,-3.5240,989.8549
2.86,-21.4771,-3.4066,990.2954
2.87,-21.1345,-3.2010,989.5319
2.88,-21.1443,-3.4555,989.4731
2.89,-21.6631,-3.5240,990.0017
2.90,-21.3694,-3.3772,990.1682
2.91,-21.1345,-3.2989,990.3150
2.92,-21.5065,-3.4262,990.0800
2.93,-21.1149,-3.2793,989.9234
2.94,-21.2030,-3.5143,990.1877
2.95,-21.1345,-3.3968,989.8745
2.96,-21.1736,-3.3576,990.0996
2.97,-21.3792,-3.2500,990.3639
2.98,-21.2226,-3.2989,989.8451
2.99,-21.0562,-3.4262,989.9626
3.00,-21.2813,-3.3870,989.9136
3.01,-21.3498,-2.9856,989.9038
3.02,-21.1443,-3.4457,990.0017
3.03,-21.3400,-3.3576,990.5989
3.04,-21.2813,-3.3185,990.4618
3.05,-21.2813,-3.3478,989.6004
3.06,-21.3205,-3.4751,989.5417
3.07,-21.2226,-3.6905,989.7276
3.08,-21.3890,-3.2989,990.7946
3.09,-21.3009,-3.4359,990.5108
3.10,-21.4771,-3.0150,990.1388
3.11,-21.3107,-3.3772,989.9038
3.12,-21.1051,-3.1227,990.1682
3.13,-21.1443,-3.0640,990.3541
3.14,-21.2617,-3.3576,990.0605
3.15,-21.1345,-3.3381,990.0996
3.16,-21.4086,-3.4359,989.8647
3.17,-21.4477,-3.3381,989.9919
3.18,-21.1834,-3.2793,990.0800
3.19,-20.9485,-3.4653,990.1682
3.20,-21.2226,-3.3968,990.2465
3.21,-21.4575,-3.2304,989.9919
3.22,-21.1149,-3.1423,990.6087
3.23,-21.3498,-3.4359,990.3639
3.24,-21.0659,-3.3087,989.6591
3.25,-21.2324,-3.2304,989.8941
3.26,-21.3107,-3.0346,989.7179
3.27,-21.1736,-3.2304,989.9626
3.28,-21.2911,-3.1227,990.9317
3.29,-21.4281,-3.4262,990.3933
3.30,-21.2813,-3.5338,990.5206
3.31,-21.3988,-3.3283,990.0115
3.32,-21.4184,-3.4164,990.5206
3.33,-21.1541,-3.2695,990.1290
3.34,-21.1736,-3.2206,990.0213
3.35,-21.2226,-3.3576,989.4927
3.36,-21.2422,-3.3283,989.5221
3.37,-21.2128,-3.1521,990.1975
3.38,-21.4967,-2.9759,990.0115
3.39,-21.1247,-3.2891,989.7081
3.40,-21.3009,-3.0052,989.9724
3.41,-21.5065,-3.0737,989.4242
3.42,-21.2128,-2.9269,990.1975
3.43,-21.4869,-3.3283,989.8255
3.44,-21.4086,-3.0835,990.3639
3.45,-21.4086,-3.2695,990.3346
3.46,-21.3107,-3.4164,989.7276
3.47,-21.4575,-3.3576,989.6102
3.48,-21.3498,-3.2206,990.0703
3.49,-21.3303,-3.3478,989.8549
3.50,-21.3205,-3.3087,990.2563
3.51,-21.2911,-3.3381,989.6102
3.52,-21.1638,-3.2010,989.6983
3.53,-21.5065,-3.1912,989.7766
3.54,-21.4379,-3.4164,990.3248
3.55,-21.3107,-3.3087,990.0898
3.56,-21.3009,-3.2695,989.6983
3.57,-21.2911,-3.2010,989.8353
3.58,-21.3107,-3.1814,990.2073
3.59,-21.5358,-3.2500,989.8941
3.60,-21.1443,-2.8878,989.7472
3.61,-21.4869,-3.2793,989.4731
3.62,-21.3400,-3.0346,989.8451
3.63,-20.8604,-3.2402,990.1584
3.64,-21.2422,-3.3478,990.0605
3.65,-21.1541,-3.2108,989.6983
3.66,-21.2715,-3.2989,989.7276
3.67,-21.2519,-3.3283,989.7962
3.68,-21.1541,-3.1423,990.3444
3.69,-21.2617,-3.3478,990.0507
3.70,-21.3890,-3.2989,990.4912
3.71,-21.4967,-3.3478,990.1290
3.72,-21.5065,-3.1325,989.8353
3.73,-21.2519,-3.5045,990.7065
3.74,-21.1443,-3.0737,989.5808
3.75,-21.1051,-3.2500,990.2856
3.76,-21.3596,-3.1814,989.8549
3.77,-21.1443,-3.5143,989.8647
3.78,-21.1541,-3.2402,990.0213
3.79,-21.3792,-3.4359,990.1192
3.80,-21.2715,-3.3968,990.2367
3.81,-21.2128,-3.1716,989.9626
3.82,-21.2617,-3.2402,990.1486
3.83,-21.2617,-3.2989,989.8745
3.84,-21.2617,-3.2891,989.7668
3.85,-21.3107,-3.1521,990.3444
3.86,-21.2715,-3.3968,989.9038
3.87,-21.1247,-3.3968,990.1192
3.88,-21.4477,-3.4359,990.1486
3.89,-21.5554,-3.2402,989.7668
3.90,-21.3303,-3.4164,990.1486
3.91,-21.1736,-3.6807,989.7962
3.92,-21.0170,-3.2108,989.7668
3.93,-21.0562,-3.1325,990.4031
3.94,-21.1736,-3.3283,990.2073
3.95,-21.2911,-3.2206,990.2660
3.96,-21.3009,-3.1521,989.6787
3.97,-21.2715,-3.4653,990.0311
3.98,-21.2715,-3.1521,989.8060
3.99,-21.2226,-2.9661,989.9626
4.00,-21.3694,-3.6121,990.0898
4.01,-21.0855,-2.9954,989.8060
4.02,-21.1149,-3.2989,989.5612
4.03,-21.1736,-3.2402,989.6298
4.04,-21.1051,-3.5240,990.0017
4.05,-20.9387,-3.4359,990.0409
4.06,-21.0366,-3.1227,989.7179
4.07,-21.3792,-3.3576,990.2073
4.08,-21.1345,-3.2010,990.2073
4.09,-20.8800,-3.4457,989.8157
4.10,-21.2422,-3.3576,989.9822
4.11,-21.1541,-3.1716,990.2073
4.12,-21.1149,-3.4653,989.4438
4.13,-21.2324,-3.4066,989.7570
4.14,-21.3303,-3.6807,990.4031
4.15,-21.2813,-3.5240,990.3541
4.16,-21.2519,-3.4262,989.7962
4.17,-21.0855,-3.3674,989.7570
4.18,-20.9485,-3.2597,989.9528
4.19,-21.3400,-3.4359,989.8843
4.20,-21.2813,-3.3674,990.3933
4.21,-21.4281,-3.4164,990.3639
4.22,-21.4086,-3.5436,989.6787
4.23,-21.1834,-3.2597,989.5319
4.24,-21.3107,-3.2989,990.2563
4.25,-21.1051,-3.4164,989.9626
4.26,-21.1541,-3.3478,990.3052
4.27,-21.2617,-3.2206,989.7864
4.28,-20.9974,-3.5143,990.1094
4.29,-21.3792,-3.3674,990.0017
4.30,-21.2715,-3.3087,990.5597
4.31,-21.1736,-3.3381,990.1682
4.32,-21.2911,-3.3870,989.7962
4.33,-21.3694,-3.5045,989.8060
4.34,-21.2813,-3.3478,989.8255
4.35,-21.0855,-3.2500,990.1877
4.36,-20.9093,-3.4947,990.3052
4.37,-20.9681,-3.4849,990.0703
4.38,-21.1541,-3.3478,990.1290
4.39,-21.2324,-3.5436,990.1192
4.40,-21.6337,-3.4653,990.1682
4.41,-21.2324,-3.1619,990.0996
4.42,-21.3107,-3.2206,989.9528
4.43,-21.1247,-3.3576,989.7276
4.44,-21.2422,-3.1814,990.0311
4.45,-21.3205,-3.3478,989.8549
4.46,-21.1834,-3.5045,990.1682
4.47,-21.2226,-3.4457,990.5891
4.48,-21.1736,-3.0737,990.0017
4.49,-20.9778,-3.1814,990.0213
4.50,-21.3107,-3.0933,989.8157
4.51,-21.1736,-3.4457,989.9332
4.52,-21.3205,-3.1521,989.8060
4.53,-21.1736,-3.1227,989.9919
4.54,-21.0757,-3.0640,990.1877
4.55,-21.2617,-3.2108,989.8353
