#StationCode: 5AF48
#EventDetectionTime: 2022-12-09T08:28:42.935631
#SamplingRate: 100.0
#NumPoints: 27009
#StartTime: 2022-12-09T08:27:12.851631Z
#pga_x: 1.02 gal
#pga_y: 1.04 gal
#pga_z: 2.85 gal
#pga_H: 1.46 gal
#pga: 3.20 gal
#CWBIntensity: 2
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,6.5195,-20.8016,975.8468
0.01,6.3531,-20.7135,975.7098
0.02,6.1377,-20.3905,975.8566
0.03,6.3335,-20.4297,975.8370
0.04,6.1377,-20.4982,975.8468
0.05,6.3726,-20.5765,975.7881
0.06,6.0790,-20.5667,976.0328
0.07,6.5391,-20.3220,975.8762
0.08,6.3824,-20.5667,976.0328
0.09,6.3335,-20.6646,976.0524
0.10,6.4412,-20.4786,975.3476
0.11,6.4412,-20.5863,976.2580
0.12,6.4216,-20.5765,975.6413
0.13,6.4705,-20.5961,976.0132
0.14,6.5097,-20.3709,976.0622
0.15,6.5488,-20.6352,975.9251
0.16,6.4999,-20.6352,975.8664
0.17,6.2356,-20.6157,976.3069
0.18,6.5293,-20.6646,975.7783
0.19,6.1083,-20.5667,975.7979
0.20,6.2062,-20.4003,975.7098
0.21,6.2748,-20.5373,975.8860
0.22,6.2160,-20.6646,975.9349
0.23,6.5488,-20.8114,976.0818
0.24,6.1671,-20.5373,975.8370
0.25,6.3531,-20.3220,976.3363
0.26,6.0888,-20.3122,975.8273
0.27,6.3726,-20.5471,975.5629
0.28,6.4314,-20.6842,976.3852
0.29,6.3139,-20.6548,976.1307
0.30,6.3237,-20.4688,975.7783
0.31,6.1769,-20.6352,975.9349
0.32,6.6957,-20.4492,975.9349
0.33,6.5293,-20.5863,975.9741
0.34,6.5488,-20.6254,976.0818
0.35,6.1279,-20.5863,975.8566
0.36,6.3433,-20.4590,975.9937
0.37,6.3726,-20.7331,976.2580
0.38,6.6272,-20.5667,975.6804
0.39,6.2552,-20.5471,975.6804
0.40,6.4607,-20.7233,975.8468
0.41,6.3335,-20.4003,975.9741
0.42,6.3726,-20.5373,975.4455
0.43,6.2552,-20.7331,976.1699
0.44,6.5391,-20.6254,975.6119
0.45,6.5195,-20.5667,975.8860
0.46,6.7250,-20.4982,975.9349
0.47,6.4020,-20.4786,975.9839
0.48,6.3433,-20.5276,975.4357
0.49,6.3433,-20.7723,975.8468
0.50,6.1573,-20.5178,976.2188
0.51,6.3629,-20.4395,976.3265
0.52,6.2062,-20.3220,975.9839
0.53,6.4510,-20.5569,975.6804
