#StationCode: 5AE28
#EventDetectionTime: 2022-12-06T04:45:10.743733
#SamplingRate: 100.0
#NumPoints: 27085
#StartTime: 2022-12-06T04:43:39.898733Z
#pga_x: 0.66 gal
#pga_y: 0.58 gal
#pga_z: 1.26 gal
#pga_H: 0.88 gal
#pga: 1.53 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.7645,15.0653,974.1142
0.01,-38.6764,15.2806,973.5170
0.02,-38.7253,15.2513,973.8792
0.03,-38.7253,15.0261,974.1435
0.04,-38.8134,14.9380,973.7422
0.05,-39.0581,15.0947,973.9478
0.06,-38.9896,15.4079,973.8107
0.07,-38.6470,15.2219,973.8107
0.08,-38.6960,15.0653,973.6737
0.09,-38.7743,15.0947,973.6443
0.10,-38.5589,15.2121,974.0946
0.11,-38.8134,15.1338,974.2806
0.12,-38.8036,15.0163,974.0750
0.13,-38.7351,15.0653,974.1338
0.14,-38.6764,15.0751,973.6835
0.15,-38.8526,15.1044,973.5758
0.16,-38.4708,15.2415,973.9869
0.17,-38.8819,15.3492,973.5464
0.18,-38.8232,15.1142,973.8988
0.19,-38.8428,15.2513,973.9184
0.20,-38.9896,15.3687,974.2414
0.21,-38.3925,15.2806,973.9869
0.22,-38.8232,15.2121,973.5170
0.23,-39.0190,15.4862,973.6149
0.24,-38.8428,15.0359,973.6541
0.25,-38.6274,15.3002,974.3687
0.26,-38.7155,15.1338,973.9869
0.27,-38.5002,15.2611,973.6541
0.28,-38.6764,15.0947,973.7716
0.29,-38.9896,15.2121,973.9282
0.30,-39.0190,15.2317,973.7324
0.31,-38.4023,15.3492,974.2316
0.32,-39.0679,15.0555,974.0554
0.33,-38.7547,15.2415,973.8107
0.34,-38.6470,15.2904,973.7030
0.35,-38.8624,14.9282,974.0848
0.36,-38.7155,14.8010,973.8205
0.37,-38.7351,15.1828,974.1925
0.38,-38.6666,15.1925,974.2219
0.39,-38.7155,15.0457,974.2023
0.40,-38.8330,15.1044,974.5938
0.41,-38.9015,14.9185,974.3100
0.42,-38.8036,14.8010,973.6247
0.43,-38.8036,15.1142,974.0261
0.44,-38.5883,14.8401,973.9380
0.45,-38.7645,15.0066,974.2219
0.46,-38.6372,15.0555,973.7911
0.47,-38.9994,14.9478,974.2904
0.48,-38.7841,15.1240,973.8890
0.49,-38.8819,15.0653,973.5758
0.50,-39.0581,15.1925,973.8890
0.51,-38.7938,15.2611,973.9575
0.52,-38.7547,15.1534,974.0750
0.53,-38.7645,14.8401,973.9673
0.54,-38.8819,15.0163,973.9575
