#StationCode: 5AE28
#EventDetectionTime: 2022-12-06T23:52:15.768478
#SamplingRate: 100.0
#NumPoints: 26893
#StartTime: 2022-12-06T23:50:46.850812Z
#pga_x: 0.61 gal
#pga_y: 0.77 gal
#pga_z: 1.37 gal
#pga_H: 0.99 gal
#pga: 1.69 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.8232,15.0163,974.7994
0.01,-38.5002,15.1436,974.6526
0.02,-38.7841,15.0555,974.2904
0.03,-38.9505,14.8206,974.1533
0.04,-38.7645,14.9380,974.9071
0.05,-38.7351,15.1632,974.4372
0.06,-38.6960,15.0163,974.7407
0.07,-38.8624,14.9380,974.4372
0.08,-38.5785,14.9870,974.4372
0.09,-38.6372,15.1044,974.4862
0.10,-38.8232,15.0163,974.2610
0.11,-38.7743,14.8108,974.0946
0.12,-38.7253,15.0261,974.5547
0.13,-38.6568,15.1240,974.1631
0.14,-38.8526,14.6737,974.5057
0.15,-38.7743,14.9282,974.5253
0.16,-38.5883,14.8793,974.6134
0.17,-38.9015,15.1240,974.3002
0.18,-38.6568,15.0849,974.3687
0.19,-38.7253,14.9087,974.3785
0.20,-38.8526,14.8989,974.7309
0.21,-38.6470,14.8597,974.2414
0.22,-38.6274,15.0653,974.2708
0.23,-38.7155,15.0261,975.0148
0.24,-38.7841,14.6150,974.5547
0.25,-38.9700,15.0163,974.6917
0.26,-38.7253,15.1632,974.4862
0.27,-38.7449,14.8597,974.0652
0.28,-38.6470,14.9478,974.3295
0.29,-38.5883,15.3785,974.4078
0.30,-38.5883,15.3198,974.4666
0.31,-38.7938,14.9674,974.0946
0.32,-38.8624,14.8793,974.4470
0.33,-38.6274,15.1730,974.4959
0.34,-38.7938,15.1436,974.0946
0.35,-38.7841,15.0163,974.5155
0.36,-38.5687,15.1142,974.8092
0.37,-38.8134,15.2121,974.2708
0.38,-38.7841,15.1730,973.9771
0.39,-38.7547,15.0359,974.1142
0.40,-38.6568,14.9185,974.8483
0.41,-38.6176,15.0555,974.6036
0.42,-38.7841,15.0066,974.2806
0.43,-38.6470,14.9576,974.2806
0.44,-38.8428,14.8597,974.0652
0.45,-38.8134,14.9478,974.1631
0.46,-38.6862,14.8108,974.0554
0.47,-38.7547,15.2904,974.2316
0.48,-38.6079,14.9576,974.3883
0.49,-38.7351,14.9772,973.8988
0.50,-38.5785,15.0066,974.1827
0.51,-38.6176,15.2611,973.9478
0.52,-38.6372,15.3100,974.6036
0.53,-38.7743,15.2904,974.2708
0.54,-38.7938,15.1142,973.9282
0.55,-38.7743,14.8304,974.8190
0.56,-38.6666,15.2904,974.5645
0.57,-38.8232,15.0359,974.3785
0.58,-38.5981,15.2023,974.4470
0.59,-39.0777,14.8206,974.1044
0.60,-38.4512,15.1436,974.6624
0.61,-38.5002,15.0261,974.8288
0.62,-38.7057,15.0457,974.1533
0.63,-38.7449,15.1338,974.1533
0.64,-38.8134,14.8108,974.2610
0.65,-38.7841,15.0163,974.4666
0.66,-38.9113,15.1240,974.5155
0.67,-38.4806,15.1534,974.6819
0.68,-38.8526,15.1730,974.4176
0.69,-38.5785,15.0653,974.4764
0.70,-38.7253,14.9772,974.2708
0.71,-38.7547,15.2611,974.6721
0.72,-38.6274,14.9576,975.0441
0.73,-38.8428,14.8793,974.4959
0.74,-38.4317,15.0555,974.2512
0.75,-38.9505,14.8499,974.3589
0.76,-38.7253,15.1730,974.4078
0.77,-38.6764,15.2806,974.5743
0.78,-38.6274,14.9576,974.8875
0.79,-38.7351,14.9576,974.7994
0.80,-38.7057,15.3296,974.5449
0.81,-38.6666,14.9772,974.6428
0.82,-38.9211,15.0751,974.5449
0.83,-38.7351,15.0555,974.0163
0.84,-38.6764,14.8989,974.0359
0.85,-38.8232,14.7716,974.7113
0.86,-38.5295,14.8108,974.5938
0.87,-38.4904,15.0163,974.5351
0.88,-38.7645,15.0849,974.3295
0.89,-38.5002,15.1632,974.2708
0.90,-38.6274,15.0653,974.5840
0.91,-38.8526,15.2415,974.3883
0.92,-38.6372,15.2121,975.2203
0.93,-38.5883,15.0359,974.1435
0.94,-38.7645,15.0653,974.4568
0.95,-38.8819,15.0653,974.1338
0.96,-38.8428,15.1142,974.7505
0.97,-38.5198,15.1044,974.6232
0.98,-38.5883,15.0163,974.4372
0.99,-38.7547,15.2219,974.3687
1.00,-38.5687,15.3002,973.7520
1.01,-38.5589,14.9968,974.9267
1.02,-38.4708,14.8010,974.7407
1.03,-38.6470,14.9087,974.5253
1.04,-38.8819,15.1828,974.7015
1.05,-38.5785,15.3492,974.2708
1.06,-39.0777,14.9674,974.2904
1.07,-38.9505,14.7520,974.4078
1.08,-39.0386,14.6933,974.5155
1.09,-38.8330,14.8304,974.5645
1.10,-38.5785,14.8891,974.6526
1.11,-38.6960,14.8793,974.4372
1.12,-38.8819,14.8206,974.8190
1.13,-38.9015,14.8891,974.3295
1.14,-38.8624,15.0555,974.3883
1.15,-38.6862,14.9185,974.3491
1.16,-38.7155,15.0066,974.9169
1.17,-38.7057,15.0163,974.5645
1.18,-38.6372,14.8206,974.7505
1.19,-39.0581,14.8108,973.8890
1.20,-38.6862,14.9478,973.9771
1.21,-38.6862,15.0261,974.2121
1.22,-39.2050,15.0653,974.5743
