#StationCode: 5AE28
#EventDetectionTime: 2022-12-06T05:27:23.973399
#SamplingRate: 100.0
#NumPoints: 26883
#StartTime: 2022-12-06T05:25:55.154399Z
#pga_x: 0.61 gal
#pga_y: 0.60 gal
#pga_z: 1.53 gal
#pga_H: 0.86 gal
#pga: 1.76 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.6764,15.1828,974.0163
0.01,-38.8134,14.9772,974.1044
0.02,-38.7841,15.1534,973.7716
0.03,-38.5393,15.1044,973.9869
0.04,-38.3729,15.1240,973.8499
0.05,-38.6470,14.9087,973.9869
0.06,-38.5589,15.0261,974.2023
0.07,-38.6372,15.1534,974.0946
0.08,-38.6274,15.1730,973.8107
0.09,-38.6862,15.1828,974.2610
0.10,-38.9113,15.2023,973.9575
0.11,-38.8232,15.0751,974.2023
0.12,-38.4317,14.8597,974.0457
0.13,-38.4219,15.3687,973.8009
0.14,-38.4904,15.0261,973.5758
0.15,-38.6079,15.3492,973.5758
0.16,-38.6372,15.0653,973.6639
0.17,-38.7743,15.0555,974.0359
0.18,-38.8428,15.2121,973.6051
0.19,-38.8330,15.0163,974.0946
0.20,-38.9309,14.8597,973.6541
0.21,-38.9896,15.0163,973.8988
0.22,-38.6764,15.1240,974.4666
0.23,-38.7449,15.2121,973.9184
0.24,-38.6862,15.1044,973.8988
0.25,-38.6372,15.2904,974.2121
0.26,-38.7547,14.7814,973.6443
0.27,-38.6176,14.8891,974.3002
0.28,-38.6079,15.2219,974.3295
0.29,-38.5883,15.3198,973.8988
0.30,-38.9211,15.1925,973.8792
0.31,-38.6372,14.9380,973.7813
0.32,-38.8917,14.9087,973.6541
0.33,-38.7351,15.1142,974.3100
0.34,-38.8036,15.4079,973.9478
0.35,-38.9407,15.0359,974.1729
0.36,-38.9407,14.8597,974.1827
0.37,-38.6274,15.1142,973.5562
0.38,-38.5295,15.0457,973.9478
0.39,-38.5687,15.2121,973.9282
0.40,-38.5491,15.2415,973.6149
0.41,-38.7253,15.2415,974.1240
0.42,-38.7057,15.1925,973.6737
0.43,-38.7057,15.4373,974.2610
0.44,-38.7253,14.9478,973.8597
0.45,-38.6862,15.2415,973.8988
0.46,-38.5295,15.1828,974.2316
0.47,-38.6666,14.9968,974.1925
0.48,-38.5883,14.9772,974.4470
0.49,-38.4904,15.0849,973.6247
0.50,-38.6764,15.3002,973.9380
0.51,-38.9113,15.0849,973.8303
0.52,-38.7938,15.3492,973.9380
0.53,-38.6862,14.9282,974.0163
0.54,-38.8036,15.0359,973.8694
0.55,-38.7057,15.0261,973.7324
0.56,-38.7645,14.9772,973.8890
0.57,-38.9505,15.0359,974.0457
0.58,-38.8134,15.0653,973.7813
0.59,-38.7547,15.2904,974.1142
0.60,-38.8232,15.0163,973.8792
0.61,-38.7841,15.2513,973.8890
0.62,-38.7253,14.8597,974.3687
0.63,-38.7743,14.7325,973.9184
0.64,-38.8232,15.0751,973.8401
0.65,-38.8722,14.9087,974.0163
0.66,-38.6176,14.9380,974.0750
0.67,-38.5589,15.4079,974.1631
0.68,-38.7645,15.1632,974.3295
0.69,-38.7547,14.9282,973.7422
0.70,-38.7743,14.9772,973.9673
0.71,-38.5687,15.0751,973.9575
0.72,-38.8330,15.1730,973.8694
0.73,-38.7449,15.2806,974.3785
0.74,-38.7547,14.8989,973.8205
0.75,-38.7351,14.8108,973.8499
0.76,-38.6372,15.1142,973.6541
0.77,-38.5785,15.1142,974.1631
0.78,-38.7547,15.1044,974.3002
0.79,-38.6862,14.8793,973.9869
0.80,-38.7253,15.0261,974.5253
0.81,-38.7449,14.8304,974.2316
0.82,-38.8036,14.9772,974.3002
0.83,-38.7743,15.0163,974.3687
0.84,-38.5785,14.9478,974.0946
0.85,-38.4023,14.9576,974.1925
0.86,-38.4708,14.8108,974.0652
0.87,-38.4414,15.1240,973.8792
0.88,-38.7155,15.1142,974.3295
0.89,-38.8036,14.9185,974.2219
0.90,-38.5198,15.1436,973.8009
0.91,-38.8134,14.9968,973.8694
0.92,-38.5393,15.0261,973.6737
0.93,-38.6176,15.0359,974.0848
0.94,-38.7645,15.0457,974.6134
0.95,-38.4414,15.0359,974.0848
0.96,-38.6176,15.0751,973.9478
0.97,-38.6470,15.0066,973.9575
0.98,-38.5100,15.2023,974.3981
0.99,-38.3925,15.0751,973.9086
1.00,-38.6079,14.9772,973.4779
1.01,-38.6666,15.2415,974.4666
1.02,-38.7057,15.1632,974.2708
1.03,-38.7547,15.3883,974.2806
1.04,-38.3925,15.2219,974.2023
1.05,-38.4904,15.3785,973.8107
1.06,-38.5295,15.2219,974.1435
1.07,-38.8134,15.0359,973.9184
1.08,-38.3925,14.8010,973.8597
1.09,-38.8428,14.8891,974.2023
1.10,-38.8134,15.1240,974.2414
1.11,-38.7253,14.7325,973.8009
1.12,-38.5198,15.0751,973.7813
1.13,-38.6372,14.9968,974.3785
1.14,-38.5198,15.0849,974.3100
1.15,-38.4806,14.7912,974.0457
1.16,-38.3827,15.1534,974.4764
1.17,-38.6568,15.0653,973.9575
1.18,-38.5981,15.0359,973.8694
1.19,-38.3436,15.0947,974.0652
1.20,-38.3338,15.0359,974.1044
1.21,-38.5491,14.8695,974.1925
1.22,-38.7841,15.0751,973.8303
1.23,-38.6568,15.1240,973.9380
1.24,-38.9505,15.0163,974.0359
1.25,-38.6176,14.8793,973.9673
1.26,-38.6176,14.9087,974.5253
1.27,-38.7938,15.1044,973.7813
1.28,-38.9505,14.8989,974.6917
1.29,-38.7547,14.8499,974.3002
1.30,-38.7155,15.2121,974.4372
1.31,-38.5883,15.2023,974.0750
1.32,-38.9015,14.9380,973.9478
1.33,-38.9015,15.1044,974.5547
