#StationCode: 5AE28
#EventDetectionTime: 2022-12-06T02:48:40.123453
#SamplingRate: 100.0
#NumPoints: 27036
#StartTime: 2022-12-06T02:47:09.775453Z
#pga_x: 0.69 gal
#pga_y: 0.63 gal
#pga_z: 1.45 gal
#pga_H: 0.93 gal
#pga: 1.73 gal
#CWBIntensity: 1
#timestamps,xaccl(gal),yaccl(gal),zaccl(gal)
0.00,-38.6372,14.9968,974.0261
0.01,-38.5883,14.8499,973.5366
0.02,-38.6666,14.9576,973.6541
0.03,-38.5100,15.0163,974.1827
0.04,-38.7841,15.1828,974.0946
0.05,-38.5589,14.9380,973.8988
0.06,-38.9113,15.0947,974.0652
0.07,-38.6274,14.9772,974.0554
0.08,-38.8624,14.9282,973.4387
0.09,-38.9603,14.9282,973.6345
0.10,-38.9407,14.8597,973.7618
0.11,-38.8232,14.9478,973.5562
0.12,-38.7351,15.4471,974.4176
0.13,-38.9309,14.8989,974.0848
0.14,-39.0777,15.0163,973.6541
0.15,-38.7351,14.9576,973.7716
0.16,-38.9505,15.1240,974.2708
0.17,-38.9896,14.9576,974.0359
0.18,-38.9896,14.9576,973.4387
0.19,-38.9896,14.9185,974.3002
0.20,-38.9211,14.9185,974.3197
0.21,-38.7841,14.9870,973.9478
0.22,-38.5589,14.8499,973.8303
0.23,-38.9798,15.2317,973.9967
0.24,-38.7938,15.2219,974.2316
0.25,-38.8526,14.9772,974.0457
0.26,-38.7938,15.2415,974.2904
0.27,-38.6666,15.3590,973.7324
0.28,-38.6666,15.2709,974.6624
0.29,-38.7547,15.1436,973.8009
0.30,-38.8526,15.1828,973.9575
0.31,-38.8134,14.9674,973.9575
0.32,-38.7057,14.9968,974.2023
0.33,-38.7938,14.6737,974.0163
0.34,-38.5687,15.2317,973.8009
0.35,-38.5785,14.9087,974.1338
0.36,-39.2539,15.0457,973.8890
0.37,-38.9309,14.8793,974.1533
0.38,-38.7938,15.0555,973.6835
0.39,-38.8232,14.9968,973.8988
0.40,-38.9407,14.9380,974.1142
0.41,-38.9309,14.9576,974.1338
0.42,-38.9505,15.0066,973.5366
0.43,-38.7841,14.9380,973.8009
0.44,-38.4904,15.3002,974.2708
0.45,-38.6568,15.0261,974.0848
0.46,-38.5491,14.9968,973.7128
0.47,-38.7547,15.0261,974.4470
0.48,-38.9896,15.0555,973.7226
0.49,-38.8330,14.7129,973.6835
0.50,-38.8917,14.9185,973.5954
0.51,-38.7743,14.9968,973.7226
0.52,-38.9603,14.8989,973.9282
0.53,-38.7743,14.9772,974.2121
0.54,-38.6176,15.0947,973.6737
0.55,-38.7743,14.8010,974.1533
0.56,-38.9309,14.9576,974.0946
0.57,-39.2441,14.6541,974.5449
0.58,-38.9798,14.9772,973.6737
0.59,-38.9309,14.9870,973.6051
0.60,-38.7253,14.8401,973.9086
0.61,-38.9211,15.0163,974.3491
0.62,-38.9113,14.8891,973.7324
0.63,-38.7253,15.0359,974.0848
0.64,-38.7547,14.7422,973.6639
0.65,-38.6764,14.9870,973.9282
0.66,-38.7253,14.8891,973.8694
0.67,-38.9700,14.9870,974.1044
0.68,-38.9309,14.9968,973.8792
0.69,-38.8917,14.9478,974.1338
0.70,-38.9798,15.0653,973.9086
0.71,-38.7547,14.9870,973.8694
0.72,-38.8526,15.0457,974.0359
0.73,-38.9015,14.9674,973.7911
0.74,-38.8526,14.9380,973.4387
0.75,-38.9994,15.0849,973.5954
0.76,-38.9113,14.9185,974.0750
0.77,-38.7351,15.0261,974.1240
0.78,-38.9896,15.1044,973.4192
0.79,-38.8819,14.9478,973.8988
